Rank,SelectionTier,SelectionMethod,SourceRowIndex,Score,RecruitPostName,BusinessLine,LocationName,LastUpdateTime,PostURL,ManualMatchReason,PotentialGap,Responsibility,Requirement
1,主投,执行日2026-06-09；美团全详情岗位池（31条详情页，含美团.txt中的share-position职位和补充核实的详情页）+近3个月/学历规则硬过滤+豆包评分+人工复核,29,72,AI应用产品经理（B端）,核心本地商业-美团平台,北京市,2026-05-19,https://zhaopin.meituan.com/web/position/detail?jobUnionId=3343483756&highlightType=social,这是全详情池里最适合你的岗位。它本质上是 B 端 AI Agent 应用产品岗，核心是评测体系、数据分析、跨团队推进和产品优化。你做过企业级 AI 中台、商机评分、运维智能体和多场景 Agent 落地，既懂业务闭环，也能和算法/工程对话，迁移成本比美团其他岗位小很多。,短板是商业分析场景和评测体系的直接经验还不够强，且岗位写明有 2 年以上相关经验，你要把现有项目包装成可验证的 AI 应用产品实战。,负责Agent产品在商业分析场景下的评测体系构建，客观全面评估产品真实价值并驱动模型/产品优化；持续迭代评估方法论、标准、Benchmark和工具平台；开展线上AB/用户数据/评估报告分析，提出问题解决建议并推动迭代。,有AIGC、AI产品应用直接从业经验≥2年，toB应用场景偏AI助手或AI预测方向优先；对数据变化敏感，能设计验证方案；具备优秀项目管理和协同推动能力；了解AI Agent技术原理，关注行业前沿动态。
2,主投,执行日2026-06-09；美团全详情岗位池（31条详情页，含美团.txt中的share-position职位和补充核实的详情页）+近3个月/学历规则硬过滤+豆包评分+人工复核,19,68,LongCat大模型 - Agent 评测产品经理（欢迎算法/工程转型）,核心本地商业-基础研发平台,北京市、上海市,2026-05-29,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4301295312&highlightType=social,这是第二适合你的岗位。它强调 Agent 评测、长程任务、数据闭环、Rubrics、框架跟踪和生产力场景，你现有经历里最能复用的是“流程拆解 - Agent 串联 - 人工复核 - 持续优化”这一整套方法论，尤其适合把合同审核、商机评分、运维智能体经验翻译成评测语言来讲。,缺少大模型评测体系和 Coding/数据分析生产力场景的直接项目，需要提前准备任务成功率、过程指标和 badcase 归因方法。,围绕OpenClaw、Claude Code等主流Agent框架设计长程任务场景评测体系；设计Coding和数据分析等生产力场景的端到端评测流程，搭建自动化数据生产与Rubrics pipeline；建立评测-归因-策略建议-效果验证的闭环；持续跟踪前沿Agent框架并适配评测策略。,本科及以上，1年以上大模型评测或智能体应用落地相关经验；关注评测方案科学性和新范式，对Claude Code/OpenClaw等工具链演进保持敏感；具备数据归因分析、沟通协作和资源管理能力。优先：计算机背景、理解大模型/Agent机制、工作中能熟练用AI提效。
3,主投,执行日2026-06-09；美团全详情岗位池（31条详情页，含美团.txt中的share-position职位和补充核实的详情页）+近3个月/学历规则硬过滤+豆包评分+人工复核,23,65,LongCat大模型 - 大模型评测平台产品经理,核心本地商业-基础研发平台,北京市、上海市,2026-05-29,https://zhaopin.meituan.com/web/position/detail?jobUnionId=3506281745&highlightType=social,这条更偏平台型产品经理，要求把训练追踪、评测集管理、实验自动化、报表系统和评测效率做成平台。你在集团 AI 中台、统一接入层、权限治理、监控日志和多场景复用上的经验，和它要的平台抽象能力高度同构。,没有大模型评测平台的直接项目名头，面试里要把你做过的监控、分析、反馈闭环讲成平台能力，不要只讲单点业务成果。,主导评测平台核心功能迭代，包括训练过程追踪、评测集数据管理、实验自动化、多维报表系统和动态评测榜单；跟进大模型能力迭代，提升评测科学性和稳定性监控；优化评测数据建设、实验和结果追踪流程，提升实验人效。,具备强产品思维与用户洞察力，能够将需求转化为高可用功能；精通数据分析，能通过指标定位系统瓶颈；熟悉大模型评测关键技术栈和主流评测框架；具备出色跨团队协作和敏捷项目管理能力。优先：大模型评测平台经验、一定开发基础、主导算法与产品协同项目经验。
4,次选,执行日2026-06-09；美团全详情岗位池（31条详情页，含美团.txt中的share-position职位和补充核实的详情页）+近3个月/学历规则硬过滤+豆包评分+人工复核,1,52,LongCat - 大模型数据运营,核心本地商业-基础研发平台,北京市、成都市,2026-05-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=3285026405&highlightType=social,这条虽然不是标准 PM，但它和 Agent 评测、标注体系、数据质量、效果分析强相关。你理解智能体能力边界，也做过 AI 产品效果闭环，如果愿意接受“产品向数据运营/评测”靠拢的转法，这条比纯算法岗可投性高。,缺少正式的大模型标注和评测运营经历，岗位本身也偏数据运营而不是产品经理，需要你接受角色边界变化。,围绕不同场景智能体应用，拆解多轮、规划、插件调用等核心能力，建立评测和标注体系；主导标注人员管理与数据构建；设计自动化数据合成及清洗方案；监测智能体效果并输出系统化分析报告。,本科及以上，计算机/人工智能相关背景；1年以上大模型标注/评测经验，接触过agent或智能系统应用；强调细节和端到端效果，具备良好沟通协作能力。优先：智能体数据建设、大规模数据合成和清洗经验。
5,次选,执行日2026-06-09；美团全详情岗位池（31条详情页，含美团.txt中的share-position职位和补充核实的详情页）+近3个月/学历规则硬过滤+豆包评分+人工复核,28,48,产品经理,核心本地商业-美团平台,北京市,2026-04-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4131315764&highlightType=social,这是美团平台的通用产品经理岗，包含 AI/大模型能力探索，但本质还是 C 端商业化增长。它的优点是职位序列标准、门槛清晰，你可以用“问题发现、策略设计、算法协同、AI辅助决策”这些能力去竞争。,核心短板是本地生活和商业化增长经验不足，且它更偏 C 端增长，不适合当主攻岗，只建议作为平台通道补位。,负责Push承接页面设计与迭代；联动商业化引入全业务线供给，搭建供需匹配链路，提升访购率；设计转化玩法和人群-承接匹配策略，提升商业化收入；数据驱动迭代，沉淀SOP；结合AI/大模型能力探索产品智能化方向。,三年以上互联网产品经验，有本地生活/商业化增长经验者优先；理解用户分层，具备转化类产品设计能力；优秀跨部门协同能力和数据分析能力；具备AI产品思维，能结合大模型/AI Agent等能力进行产品设计与体验优化。
6,次选,执行日2026-06-09；美团全详情岗位池（31条详情页，含美团.txt中的share-position职位和补充核实的详情页）+近3个月/学历规则硬过滤+豆包评分+人工复核,5,47,LongCat - 大模型数据策略运营,核心本地商业-基础研发平台,北京市、上海市、成都市,2026-06-01,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4476108218&highlightType=social,这条偏 Coding 场景的数据策略与运营，但至少仍在大模型、代码数据、评测、质量闭环这条线上。相比纯基础设施和算法研发岗，它更看重对 AI 能力和数据流程的理解，与你的转化路径稍微顺一点。,你的核心经历是产品，不是数据运营，更不是代码数据生产；如果投这条，要接受岗位中心从“做产品”转成“做数据/评测运营”。,针对大模型Coding场景，拆解代码生成、补全等核心能力，建立标注和评测体系；主导代码标注资源管理与数据构建；设计自动化数据合成及清洗方案；监测模型效果并持续优化数据方案。,本科及以上，计算机/软件工程/人工智能相关背景；具备扎实编程基础，熟练Python并掌握Java/C++/JavaScript之一；1年以上大模型数据运营经验。优先：代码类数据生产经验、开发工程师经验。
7,保底,执行日2026-06-09；美团全详情岗位池（31条详情页，含美团.txt中的share-position职位和补充核实的详情页）+近3个月/学历规则硬过滤+豆包评分+人工复核,27,35,LongCat - 大模型自进化与自动化研究智能体研究员,核心本地商业-基础研发平台,北京市、上海市,2026-05-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4491091941&highlightType=social,这条的主题和你对 Agent、长任务、工具调用、自动化研究工作流的兴趣高度一致，所以从兴趣和方向上不算偏。如果团队愿意接受强产品思维、会动手做原型的人，它是极少数你能在业务语言上接住的研究岗。,岗位本质是研究员，要求算法功底、框架经验、论文/开源背景，你当前背景不满足核心门槛，只能作为极低优先级冲一冲。,研发下一代自动化研究智能体系统，构建从问题发现、假设生成、实验执行到结果验证、经验沉淀和策略迭代的自进化闭环；重点覆盖自动化研究环境、长程上下文与记忆、reward设计、评测体系和策略库复用。,扎实算法功底，熟悉NLP和机器学习，对大模型和AGI有热情；熟悉Python/Java等编程语言，动手能力强；熟悉PyTorch/Megtron/Huggingface/Triton/vLLM/SGLang等框架并有项目经验；顶会论文、开源项目或权威评测名次优先。优先：模型研发全链路、Coding Agent/AI scientist/Deep Research/长期记忆系统经验。
8,保底,执行日2026-06-09；美团全详情岗位池（31条详情页，含美团.txt中的share-position职位和补充核实的详情页）+近3个月/学历规则硬过滤+豆包评分+人工复核,9,35,LongCat - 通用 agent 算法研究员,核心本地商业-基础研发平台,北京市、上海市,2026-05-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4302139093&highlightType=social,从方向上说，这条是 LongCat 里最贴近通用 Agent 产品形态和能力边界的一类岗位，你对 Agent 产品设计与工作流的理解能帮助你看懂它在做什么。,问题也很明确：它是强化学习和大模型训练导向的算法研究岗，不是产品岗。没有对应算法研究背景的话，基本不应作为重点投递。,通过Large Scale RL训练模型在真实全模态环境中稳定使用Tools、Skills和Subagents；探索高信息密度memory的构建、维护和复用；提升长程任务拆解与多agent并行执行能力；探索多模态推理与环境交互范式。,本科及以上，计算机、人工智能、自动化、数学、物理等相关专业；在强化学习、大模型训练、Agent等领域有深入研究与实践；具备好奇心驱动、自主探索和协作能力。
9,保底,执行日2026-06-09；美团全详情岗位池（31条详情页，含美团.txt中的share-position职位和补充核实的详情页）+近3个月/学历规则硬过滤+豆包评分+人工复核,3,35,LongCat - Pretrain Infra AI 工程师,核心本地商业-基础研发平台,北京市,2026-05-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=1466951634&highlightType=social,这条之所以还能进前十，不是因为真的合适，而是因为硬过滤后可用池子里可投岗位本来就不多。它至少和 LLM、Alignment、RAG、工程落地相关，你在产品工程侧有一点共鸣。,岗位核心是分布式训练、CUDA、训练框架和Infra，不属于你的求职方向。正常情况下不建议投，只作为结果榜单中的低优先级补位。,参与超大规模AI大模型训练平台建设；负责LLM Alignment工程方案支持与优化，协同业务和算法效果迭代；跟进RAG、MemGPT、MetaGPT、WebGPT等前沿算法与架构。,熟悉分布式训练原理与Megatron/Zero/FSDP等范式；熟悉LLM推理优化和量化原理；了解强化学习基础及其在LLM的应用；熟悉Python/C++/CUDA；熟悉GPT/VIT等模型结构，有实际优化经验更佳。
10,保底,执行日2026-06-09；美团全详情岗位池（31条详情页，含美团.txt中的share-position职位和补充核实的详情页）+近3个月/学历规则硬过滤+豆包评分+人工复核,4,33,LongCat - 异构算力 AI 工程师,核心本地商业-基础研发平台,北京市、上海市,2026-05-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4285596871&highlightType=social,这条也是因为池子稀疏才进入前十。它和 AI 基础设施、大模型平台相关，算是还在同一技术大方向里。,岗位核心是异构算力、PyTorch分布式、NCCL、CUDA、Kernel和Benchmark，这些都不是你的能力主轴，实操匹配度很低，不建议投入太多时间。,围绕大模型异构算力集群做训练和推理场景的算力评估、适配和维护，覆盖分布式优化框架、PyTorch、kernel算子、集合通信和Benchmark评测等工作。,有扎实计算机基础，熟练掌握C++或Python；具备问题分析与解决能力；对LLM和多模态模型有基本算法理解；有训练或推理场景实践。优先：PyTorch分布式、NCCL、CUDA、GPU/NPU经验。
