company,source_row_index,title,location,publish_date,post_url,business_line,filter_keep,filter_reasons,source_schema
字节,1,AI产品经理,北京,2025-02-19,https://jobs.bytedance.com/experienced/position/7473015537938827528/detail,产品,False,发布日期早于2026-03-08,bytedance
字节,2,AI产品经理-火山方舟MaaS,上海,2024-02-29,https://jobs.bytedance.com/experienced/position/7340707372484806949/detail,火山方舟MaaS,False,发布日期早于2026-03-08,bytedance
字节,3,AI产品经理（资源运营平台方向）-火山引擎,上海,2025-02-14,https://jobs.bytedance.com/experienced/position/7471192214635710728/detail,火山引擎,False,发布日期早于2026-03-08,bytedance
字节,4,AI产品经理（数据知识/数据语义层方向）-Data,北京,2023-03-15,https://jobs.bytedance.com/experienced/position/7210674773684619575/detail,Data,False,发布日期早于2026-03-08,bytedance
字节,5,AI产品经理-火山方舟MaaS,北京,2021-11-15,https://jobs.bytedance.com/experienced/position/7030689021407873311/detail,火山方舟MaaS,False,发布日期早于2026-03-08,bytedance
字节,6,AI产品经理（异构计算方向）-基础设施,深圳,2025-03-14,https://jobs.bytedance.com/experienced/position/7481502264948689170/detail,基础设施,False,发布日期早于2026-03-08,bytedance
字节,7,AI产品经理（异构计算方向）-基础设施,北京,2025-03-14,https://jobs.bytedance.com/experienced/position/7481501617917856018/detail,基础设施,False,发布日期早于2026-03-08,bytedance
字节,8,AI产品经理-ArkClaw,上海,2026-03-11,https://jobs.bytedance.com/experienced/position/7615915798603827509/detail,ArkClaw,True,,bytedance
字节,9,AI产品经理-AI Coding,上海,2025-04-19,https://jobs.bytedance.com/experienced/position/7494870018459846919/detail,AI Coding,False,发布日期早于2026-03-08,bytedance
字节,10,AI产品经理-AI Coding,杭州,2025-04-19,https://jobs.bytedance.com/experienced/position/7494870211914008839/detail,AI Coding,False,发布日期早于2026-03-08,bytedance
字节,11,AI产品经理-ArkClaw,杭州,2026-03-11,https://jobs.bytedance.com/experienced/position/7615916167356041477/detail,ArkClaw,True,,bytedance
字节,12,AI产品经理-ArkClaw,北京,2026-03-11,https://jobs.bytedance.com/experienced/position/7615914486223603973/detail,ArkClaw,True,,bytedance
字节,13,研发平台AI产品经理-Dev Infra,杭州,2023-06-26,https://jobs.bytedance.com/experienced/position/7248886398798317861/detail,Dev Infra,False,发布日期早于2026-03-08,bytedance
字节,14,AI产品经理-AI Coding,深圳,2025-04-19,https://jobs.bytedance.com/experienced/position/7494869795275245842/detail,AI Coding,False,发布日期早于2026-03-08,bytedance
字节,15,AI产品经理-AI Coding,北京,2025-04-18,https://jobs.bytedance.com/experienced/position/7494489223861438727/detail,AI Coding,False,发布日期早于2026-03-08,bytedance
字节,16,AI产品经理（智能客服）-TikTok,北京,2025-11-19,https://jobs.bytedance.com/experienced/position/7574271101550840069/detail,TikTok,False,发布日期早于2026-03-08,bytedance
字节,17,AI产品经理（可观测性方向）-Dev Infra,杭州,2025-06-10,https://jobs.bytedance.com/experienced/position/7514278326501804295/detail,Dev Infra,False,发布日期早于2026-03-08,bytedance
字节,18,法务AI产品经理-信息系统,北京,2024-10-22,https://jobs.bytedance.com/experienced/position/7428483612711946505/detail,信息系统,False,发布日期早于2026-03-08,bytedance
字节,19,AI产品经理-飞书多维表格,深圳,2022-10-25,https://jobs.bytedance.com/experienced/position/7158335852224661791/detail,飞书多维表格,False,发布日期早于2026-03-08,bytedance
字节,20,高级AI产品经理-飞书多维表格,深圳,2025-11-10,https://jobs.bytedance.com/experienced/position/7571096273624631557/detail,飞书多维表格,False,发布日期早于2026-03-08,bytedance
字节,21,高级AI产品经理-集团信息系统,北京,2026-05-13,https://jobs.bytedance.com/experienced/position/7639347683555133701/detail,集团信息系统,True,,bytedance
字节,22,AI产品经理-Data语音,深圳,2024-03-20,https://jobs.bytedance.com/experienced/position/7348334602769172745/detail,Data语音,False,发布日期早于2026-03-08,bytedance
字节,23,AI产品经理（搜索方向）-飞书项目,北京,2026-04-10,https://jobs.bytedance.com/experienced/position/7627125252828481845/detail,飞书项目,True,,bytedance
字节,24,资深AI产品经理-飞书多维表格,深圳,2024-10-11,https://jobs.bytedance.com/experienced/position/7424441750486272283/detail,飞书多维表格,False,发布日期早于2026-03-08,bytedance
字节,25,AI产品经理-Dev Infra,北京,2026-04-08,https://jobs.bytedance.com/experienced/position/7626223336313817349/detail,Dev Infra,True,,bytedance
字节,26,AI产品经理-Dev Infra,杭州,2026-04-08,https://jobs.bytedance.com/experienced/position/7626223705287788853/detail,Dev Infra,True,,bytedance
字节,27,财务AI产品经理-集团信息系统,上海,2026-03-05,https://jobs.bytedance.com/experienced/position/7613677369900828933/detail,集团信息系统,False,发布日期早于2026-03-08,bytedance
字节,28,财务AI产品经理-集团信息系统,杭州,2026-03-05,https://jobs.bytedance.com/experienced/position/7613677357501925685/detail,集团信息系统,False,发布日期早于2026-03-08,bytedance
字节,29,商家增长策略AI产品经理-抖音电商,上海,2025-03-19,https://jobs.bytedance.com/experienced/position/7483372038481463559/detail,抖音电商,False,发布日期早于2026-03-08,bytedance
字节,30,AI产品经理-抖音搜索,北京,2026-05-20,https://jobs.bytedance.com/experienced/position/7641919889154705669/detail,抖音搜索,True,,bytedance
字节,31,AI产品经理-豆包,上海,2026-05-06,https://jobs.bytedance.com/experienced/position/7636711627346463029/detail,豆包,True,,bytedance
字节,32,商家增长AI产品经理-抖音电商,上海,2026-04-13,https://jobs.bytedance.com/experienced/position/7628084252005140741/detail,抖音电商,True,,bytedance
字节,33,AI产品经理-抖音电商,上海,2026-04-21,https://jobs.bytedance.com/experienced/position/7631136762592758021/detail,抖音电商,True,,bytedance
字节,34,AI产品经理-小云雀Pippit,北京,2025-08-28,https://jobs.bytedance.com/experienced/position/7543473856541116680/detail,小云雀Pippit,False,发布日期早于2026-03-08,bytedance
