company,source_schema,source_row_index,title,business_line,location,publish_date,post_url,experience_text,responsibility,requirement_text,jd_text,model,business_scene_fit,platform_agent_fit,execution_fit,technical_fit,domain_transfer_fit,confidence,verdict,reason,strengths,risks,total_score
美团,meituan_detail_20260609,29,AI应用产品经理（B端）,核心本地商业-美团平台,北京市,2026-05-19,https://zhaopin.meituan.com/web/position/detail?jobUnionId=3343483756&highlightType=social,2年,负责Agent产品在商业分析场景下的评测体系构建，客观全面评估产品真实价值并驱动模型/产品优化；持续迭代评估方法论、标准、Benchmark和工具平台；开展线上AB/用户数据/评估报告分析，提出问题解决建议并推动迭代。,有AIGC、AI产品应用直接从业经验≥2年，toB应用场景偏AI助手或AI预测方向优先；对数据变化敏感，能设计验证方案；具备优秀项目管理和协同推动能力；了解AI Agent技术原理，关注行业前沿动态。,"岗位职责：
负责Agent产品在商业分析场景下的评测体系构建，客观全面评估产品真实价值并驱动模型/产品优化；持续迭代评估方法论、标准、Benchmark和工具平台；开展线上AB/用户数据/评估报告分析，提出问题解决建议并推动迭代。

任职要求：
有AIGC、AI产品应用直接从业经验≥2年，toB应用场景偏AI助手或AI预测方向优先；对数据变化敏感，能设计验证方案；具备优秀项目管理和协同推动能力；了解AI Agent技术原理，关注行业前沿动态。",doubao-seed-2-0-pro-260215,18,20,16,11,7,medium,中高匹配,候选人有AI Agent、B端产品落地经验，但缺乏商业分析场景评测体系建设经验，领域迁移有一定成本。,"['有丰富的AI Agent类、企业级B端AI产品0-1落地经验', '具备跨部门推进落地、产品全链路闭环能力，懂AI相关工程技术']","['缺少商业分析场景下AI产品评测体系搭建的相关经验', '过往从业年限偏短，对应美团2年经验要求有一定差距']",72
美团,meituan_detail_20260609,19,LongCat大模型 - Agent 评测产品经理（欢迎算法/工程转型）,核心本地商业-基础研发平台,北京市、上海市,2026-05-29,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4301295312&highlightType=social,3年,围绕OpenClaw、Claude Code等主流Agent框架设计长程任务场景评测体系；设计Coding和数据分析等生产力场景的端到端评测流程，搭建自动化数据生产与Rubrics pipeline；建立评测-归因-策略建议-效果验证的闭环；持续跟踪前沿Agent框架并适配评测策略。,本科及以上，1年以上大模型评测或智能体应用落地相关经验；关注评测方案科学性和新范式，对Claude Code/OpenClaw等工具链演进保持敏感；具备数据归因分析、沟通协作和资源管理能力。优先：计算机背景、理解大模型/Agent机制、工作中能熟练用AI提效。,"岗位职责：
围绕OpenClaw、Claude Code等主流Agent框架设计长程任务场景评测体系；设计Coding和数据分析等生产力场景的端到端评测流程，搭建自动化数据生产与Rubrics pipeline；建立评测-归因-策略建议-效果验证的闭环；持续跟踪前沿Agent框架并适配评测策略。

任职要求：
本科及以上，1年以上大模型评测或智能体应用落地相关经验；关注评测方案科学性和新范式，对Claude Code/OpenClaw等工具链演进保持敏感；具备数据归因分析、沟通协作和资源管理能力。优先：计算机背景、理解大模型/Agent机制、工作中能熟练用AI提效。",doubao-seed-2-0-pro-260215,10,18,16,12,12,medium,partial,有Agent落地、闭环搭建经验，但缺少Agent评测体系、Coding场景相关实践，需迁移适配。,"['有丰富Agent类产品0-1落地、闭环搭建经验', '懂技术工具，理解LLM/Agent机制，适配性较强']","['无Agent评测体系相关建设经验', '缺少Coding、数据分析类生产力场景沉淀']",68
美团,meituan_detail_20260609,23,LongCat大模型 - 大模型评测平台产品经理,核心本地商业-基础研发平台,北京市、上海市,2026-05-29,https://zhaopin.meituan.com/web/position/detail?jobUnionId=3506281745&highlightType=social,3年,主导评测平台核心功能迭代，包括训练过程追踪、评测集数据管理、实验自动化、多维报表系统和动态评测榜单；跟进大模型能力迭代，提升评测科学性和稳定性监控；优化评测数据建设、实验和结果追踪流程，提升实验人效。,具备强产品思维与用户洞察力，能够将需求转化为高可用功能；精通数据分析，能通过指标定位系统瓶颈；熟悉大模型评测关键技术栈和主流评测框架；具备出色跨团队协作和敏捷项目管理能力。优先：大模型评测平台经验、一定开发基础、主导算法与产品协同项目经验。,"岗位职责：
主导评测平台核心功能迭代，包括训练过程追踪、评测集数据管理、实验自动化、多维报表系统和动态评测榜单；跟进大模型能力迭代，提升评测科学性和稳定性监控；优化评测数据建设、实验和结果追踪流程，提升实验人效。

任职要求：
具备强产品思维与用户洞察力，能够将需求转化为高可用功能；精通数据分析，能通过指标定位系统瓶颈；熟悉大模型评测关键技术栈和主流评测框架；具备出色跨团队协作和敏捷项目管理能力。优先：大模型评测平台经验、一定开发基础、主导算法与产品协同项目经验。",doubao-seed-2-0-pro-260215,12,14,16,10,13,medium,partial,候选人有AI平台建设和跨团队落地经验，但缺少大模型评测领域直接经验，需适配场景差异,"['有AI中台/平台类产品0-1落地经验', '具备AI技术理解、跨团队推进及工程落地能力']","['无大模型评测平台相关经验', '对算法侧评测流程、技术栈的熟悉度待验证']",65
美团,meituan_detail_20260609,1,LongCat - 大模型数据运营,核心本地商业-基础研发平台,北京市、成都市,2026-05-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=3285026405&highlightType=social,1年,围绕不同场景智能体应用，拆解多轮、规划、插件调用等核心能力，建立评测和标注体系；主导标注人员管理与数据构建；设计自动化数据合成及清洗方案；监测智能体效果并输出系统化分析报告。,本科及以上，计算机/人工智能相关背景；1年以上大模型标注/评测经验，接触过agent或智能系统应用；强调细节和端到端效果，具备良好沟通协作能力。优先：智能体数据建设、大规模数据合成和清洗经验。,"岗位职责：
围绕不同场景智能体应用，拆解多轮、规划、插件调用等核心能力，建立评测和标注体系；主导标注人员管理与数据构建；设计自动化数据合成及清洗方案；监测智能体效果并输出系统化分析报告。

任职要求：
本科及以上，计算机/人工智能相关背景；1年以上大模型标注/评测经验，接触过agent或智能系统应用；强调细节和端到端效果，具备良好沟通协作能力。优先：智能体数据建设、大规模数据合成和清洗经验。",doubao-seed-2-0-pro-260215,10,12,8,10,12,medium,weak,候选人有AI Agent相关产品经验，但岗位为大模型数据运营，核心数据标注、评测经验缺失，匹配度较低。,"['有智能体类产品设计经验，理解Agent能力边界', '具备跨部门推进落地、业务闭环经验']","['无大模型标注、评测体系建设相关经验', '过往为AI产品经理岗位，与数据运营岗位职能差异较大']",52
美团,meituan_detail_20260609,28,产品经理,核心本地商业-美团平台,北京市,2026-04-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4131315764&highlightType=social,3年,负责Push承接页面设计与迭代；联动商业化引入全业务线供给，搭建供需匹配链路，提升访购率；设计转化玩法和人群-承接匹配策略，提升商业化收入；数据驱动迭代，沉淀SOP；结合AI/大模型能力探索产品智能化方向。,三年以上互联网产品经验，有本地生活/商业化增长经验者优先；理解用户分层，具备转化类产品设计能力；优秀跨部门协同能力和数据分析能力；具备AI产品思维，能结合大模型/AI Agent等能力进行产品设计与体验优化。,"岗位职责：
负责Push承接页面设计与迭代；联动商业化引入全业务线供给，搭建供需匹配链路，提升访购率；设计转化玩法和人群-承接匹配策略，提升商业化收入；数据驱动迭代，沉淀SOP；结合AI/大模型能力探索产品智能化方向。

任职要求：
三年以上互联网产品经验，有本地生活/商业化增长经验者优先；理解用户分层，具备转化类产品设计能力；优秀跨部门协同能力和数据分析能力；具备AI产品思维，能结合大模型/AI Agent等能力进行产品设计与体验优化。",doubao-seed-2-0-pro-260215,5,10,12,11,10,high,weak,候选人擅长ToB企业AI产品落地，岗位为C端本地生活商业化增长，业务场景匹配度低，领域迁移成本高。,"['具备AI产品0-1落地与跨部门推进能力', '熟悉LLM、Agent相关技术与产品设计']","['无本地生活、商业化增长相关经验', '过往为ToB场景，与岗位C端业务差异大']",48
美团,meituan_detail_20260609,5,LongCat - 大模型数据策略运营,核心本地商业-基础研发平台,北京市、上海市、成都市,2026-06-01,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4476108218&highlightType=social,2年,针对大模型Coding场景，拆解代码生成、补全等核心能力，建立标注和评测体系；主导代码标注资源管理与数据构建；设计自动化数据合成及清洗方案；监测模型效果并持续优化数据方案。,本科及以上，计算机/软件工程/人工智能相关背景；具备扎实编程基础，熟练Python并掌握Java/C++/JavaScript之一；1年以上大模型数据运营经验。优先：代码类数据生产经验、开发工程师经验。,"岗位职责：
针对大模型Coding场景，拆解代码生成、补全等核心能力，建立标注和评测体系；主导代码标注资源管理与数据构建；设计自动化数据合成及清洗方案；监测模型效果并持续优化数据方案。

任职要求：
本科及以上，计算机/软件工程/人工智能相关背景；具备扎实编程基础，熟练Python并掌握Java/C++/JavaScript之一；1年以上大模型数据运营经验。优先：代码类数据生产经验、开发工程师经验。",doubao-seed-2-0-pro-260215,5,8,10,12,12,high,weak,候选人是AI产品经理，岗位为大模型数据策略运营，业务场景差异大，无相关数据运营经验，匹配度低。,"['有编程基础，熟悉Python等技术栈，适配岗位技术要求', '有AI产品从0到1落地、跨团队推进经验']","['无大模型数据运营、代码类数据生产相关经验', '过往为ToB/企业AI产品经验，与岗位大模型Coding场景适配性差']",47
美团,meituan_detail_20260609,3,LongCat - Pretrain Infra AI 工程师,核心本地商业-基础研发平台,北京市,2026-05-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=1466951634&highlightType=social,3年,参与超大规模AI大模型训练平台建设；负责LLM Alignment工程方案支持与优化，协同业务和算法效果迭代；跟进RAG、MemGPT、MetaGPT、WebGPT等前沿算法与架构。,熟悉分布式训练原理与Megatron/Zero/FSDP等范式；熟悉LLM推理优化和量化原理；了解强化学习基础及其在LLM的应用；熟悉Python/C++/CUDA；熟悉GPT/VIT等模型结构，有实际优化经验更佳。,"岗位职责：
参与超大规模AI大模型训练平台建设；负责LLM Alignment工程方案支持与优化，协同业务和算法效果迭代；跟进RAG、MemGPT、MetaGPT、WebGPT等前沿算法与架构。

任职要求：
熟悉分布式训练原理与Megatron/Zero/FSDP等范式；熟悉LLM推理优化和量化原理；了解强化学习基础及其在LLM的应用；熟悉Python/C++/CUDA；熟悉GPT/VIT等模型结构，有实际优化经验更佳。",doubao-seed-2-0-pro-260215,5,7,8,8,7,high,weak,岗位为大模型预训练 infra 工程师，要求算法、分布式训练等技术能力，候选人是AI产品经理，匹配度极低。,"['有AI产品落地经验，理解LLM能力边界', '具备一定工程基础，了解相关技术工具']","['岗位是技术研发岗，候选人无大模型训练优化相关经验', '缺乏分布式训练、CUDA等岗位要求的核心技术能力']",35
美团,meituan_detail_20260609,27,LongCat - 大模型自进化与自动化研究智能体研究员,核心本地商业-基础研发平台,北京市、上海市,2026-05-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4491091941&highlightType=social,不限,研发下一代自动化研究智能体系统，构建从问题发现、假设生成、实验执行到结果验证、经验沉淀和策略迭代的自进化闭环；重点覆盖自动化研究环境、长程上下文与记忆、reward设计、评测体系和策略库复用。,扎实算法功底，熟悉NLP和机器学习，对大模型和AGI有热情；熟悉Python/Java等编程语言，动手能力强；熟悉PyTorch/Megtron/Huggingface/Triton/vLLM/SGLang等框架并有项目经验；顶会论文、开源项目或权威评测名次优先。优先：模型研发全链路、Coding Agent/AI scientist/Deep Research/长期记忆系统经验。,"岗位职责：
研发下一代自动化研究智能体系统，构建从问题发现、假设生成、实验执行到结果验证、经验沉淀和策略迭代的自进化闭环；重点覆盖自动化研究环境、长程上下文与记忆、reward设计、评测体系和策略库复用。

任职要求：
扎实算法功底，熟悉NLP和机器学习，对大模型和AGI有热情；熟悉Python/Java等编程语言，动手能力强；熟悉PyTorch/Megtron/Huggingface/Triton/vLLM/SGLang等框架并有项目经验；顶会论文、开源项目或权威评测名次优先。优先：模型研发全链路、Coding Agent/AI scientist/Deep Research/长期记忆系统经验。",doubao-seed-2-0-pro-260215,5,10,7,3,10,high,weak,岗位为算法研发类智能体研究员，要求扎实算法功底与相关框架经验，候选人是AI产品经理，匹配度低。,"['有智能体产品落地经验', '有0-1项目跨团队推进能力']","['缺乏算法研发功底与要求的框架使用经验', '岗位为研发岗与产品岗定位差异大']",35
美团,meituan_detail_20260609,9,LongCat - 通用 agent 算法研究员,核心本地商业-基础研发平台,北京市、上海市,2026-05-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4302139093&highlightType=social,不限,通过Large Scale RL训练模型在真实全模态环境中稳定使用Tools、Skills和Subagents；探索高信息密度memory的构建、维护和复用；提升长程任务拆解与多agent并行执行能力；探索多模态推理与环境交互范式。,本科及以上，计算机、人工智能、自动化、数学、物理等相关专业；在强化学习、大模型训练、Agent等领域有深入研究与实践；具备好奇心驱动、自主探索和协作能力。,"岗位职责：
通过Large Scale RL训练模型在真实全模态环境中稳定使用Tools、Skills和Subagents；探索高信息密度memory的构建、维护和复用；提升长程任务拆解与多agent并行执行能力；探索多模态推理与环境交互范式。

任职要求：
本科及以上，计算机、人工智能、自动化、数学、物理等相关专业；在强化学习、大模型训练、Agent等领域有深入研究与实践；具备好奇心驱动、自主探索和协作能力。",doubao-seed-2-0-pro-260215,5,8,7,5,10,high,weak,岗位为算法研究岗，核心要求强化学习、大模型训练等算法能力，候选人是AI产品经理，无对应算法研究经验，匹配度极低。,"['有Agent类产品设计落地经验', '具备AI产品全链路0-1能力']","['无算法研究背景，不符合岗位核心要求', '岗位为算法岗，和候选人求职的产品经理岗位方向不符']",35
美团,meituan_detail_20260609,4,LongCat - 异构算力 AI 工程师,核心本地商业-基础研发平台,北京市、上海市,2026-05-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4285596871&highlightType=social,1年,围绕大模型异构算力集群做训练和推理场景的算力评估、适配和维护，覆盖分布式优化框架、PyTorch、kernel算子、集合通信和Benchmark评测等工作。,有扎实计算机基础，熟练掌握C++或Python；具备问题分析与解决能力；对LLM和多模态模型有基本算法理解；有训练或推理场景实践。优先：PyTorch分布式、NCCL、CUDA、GPU/NPU经验。,"岗位职责：
围绕大模型异构算力集群做训练和推理场景的算力评估、适配和维护，覆盖分布式优化框架、PyTorch、kernel算子、集合通信和Benchmark评测等工作。

任职要求：
有扎实计算机基础，熟练掌握C++或Python；具备问题分析与解决能力；对LLM和多模态模型有基本算法理解；有训练或推理场景实践。优先：PyTorch分布式、NCCL、CUDA、GPU/NPU经验。",doubao-seed-2-0-pro-260215,3,5,8,7,10,high,weak,候选人是AI产品经理，岗位为异构算力AI工程师，二者核心职责要求差异极大，匹配度极低。,"['具备Python技能基础', '有0到1项目落地、跨部门推进经验']","['无算力集群、分布式优化、算子开发等核心相关经验', '产品背景与工程师岗位技能要求不匹配']",33
