company,source_schema,source_row_index,title,business_line,location,publish_date,post_url,experience_text,responsibility,requirement_text,jd_text,model,business_scene_fit,platform_agent_fit,execution_fit,technical_fit,domain_transfer_fit,confidence,verdict,reason,strengths,risks,total_score
美团,meituan_detail_ai_pm_20260609,3,AI应用产品经理（B端）,核心本地商业-美团平台,北京市,2026-05-19,https://zhaopin.meituan.com/web/position/detail?jobUnionId=3343483756&highlightType=social,2年,负责商业分析场景下 Agent 产品的评测体系构建与持续迭代，覆盖评估方法论、标准、Benchmark 与工具平台设计；同时基于线上 AB、用户数据与评估报告发现问题并推动跨团队优化。,要求2年以上 AIGC/AI 产品应用经验，优先 toB AI 助手或 AI 预测方向；对数据变化敏感，能快速定位问题、设计验证方案；了解 AI Agent 原理、关注前沿动态并能推动复杂项目落地。,"岗位职责：
负责商业分析场景下 Agent 产品的评测体系构建与持续迭代，覆盖评估方法论、标准、Benchmark 与工具平台设计；同时基于线上 AB、用户数据与评估报告发现问题并推动跨团队优化。

岗位基本要求：
要求2年以上 AIGC/AI 产品应用经验，优先 toB AI 助手或 AI 预测方向；对数据变化敏感，能快速定位问题、设计验证方案；了解 AI Agent 原理、关注前沿动态并能推动复杂项目落地。",doubao-seed-2-0-pro-260215,15,20,16,12,10,medium,medium_high,候选人有ToB AI产品及Agent落地经验，但缺少商业分析场景评测体系相关经验，迁移成本中等。,"['有丰富ToB AI产品0-1落地及跨部门推进经验', '熟悉Agent、AI中台设计，具备相关技术理解能力']","['无商业分析场景AI评测体系搭建经验', '美团本地商业领域需要重新熟悉，迁移成本不低']",73
美团,meituan_detail_ai_pm_20260609,1,LongCat大模型 - Agent 评测产品经理（欢迎算法/工程转型）,核心本地商业-基础研发平台,北京市、上海市,2026-05-29,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4301295312&highlightType=social,3年,围绕 OpenClaw、Claude Code 等主流 Agent 框架设计长程任务评测体系，覆盖 Coding、数据分析等生产力场景的端到端评测流程、自动化数据生产与 Rubrics pipeline，并建立“评测-归因-策略建议-效果验证”的闭环。,本科及以上，1年以上大模型评测或智能体应用落地经验；对评测科学性、观测与数据闭环敏感，理解 Agent 工具链演进；优先技术背景、理解大模型/Agent 机制、能熟练用 AI 提效。,"岗位职责：
围绕 OpenClaw、Claude Code 等主流 Agent 框架设计长程任务评测体系，覆盖 Coding、数据分析等生产力场景的端到端评测流程、自动化数据生产与 Rubrics pipeline，并建立“评测-归因-策略建议-效果验证”的闭环。

岗位基本要求：
本科及以上，1年以上大模型评测或智能体应用落地经验；对评测科学性、观测与数据闭环敏感，理解 Agent 工具链演进；优先技术背景、理解大模型/Agent 机制、能熟练用 AI 提效。",doubao-seed-2-0-pro-260215,15,20,16,12,10,medium,中高匹配,候选人有Agent落地和闭环经验，但核心场景为企业服务，与美团Agent评测的生产力场景有差异。,"['具备多类Agent 0-1落地、产品闭环及跨团队推进经验', '懂LLM/Agent技术原理，有工程基础可快速搭建验证方案']","['过往无专门的Agent评测体系建设经验，需适配新场景', '过往经验集中在央国企ToB场景，本地商业生产力场景适配需时间']",73
美团,meituan_detail_ai_pm_20260609,4,小团Agent AI Builder,核心本地商业-美团平台,北京市,2026-06-05,https://zhaopin.meituan.com/web/position/detail?jobUnionId=3777123757&highlightType=social,3年,负责小团具体场景的 Agent 日常迭代，不只写需求，还要参与上下文策略、Prompt Engineering 编排、模型数据合成与本地 Demo 跑通；并独立主导 Badcase 评测、归因、调优与端到端交付闭环。,要求3年以上 Agent 产品经验，优先有 Agent/对话式 AI 端到端交付经历；强调 AI Builder 基因，要求能在产品设计与代码/算法细节间切换，具备跑代码、Prompt 调优或自动化工作流构建经验。,"岗位职责：
负责小团具体场景的 Agent 日常迭代，不只写需求，还要参与上下文策略、Prompt Engineering 编排、模型数据合成与本地 Demo 跑通；并独立主导 Badcase 评测、归因、调优与端到端交付闭环。

岗位基本要求：
要求3年以上 Agent 产品经验，优先有 Agent/对话式 AI 端到端交付经历；强调 AI Builder 基因，要求能在产品设计与代码/算法细节间切换，具备跑代码、Prompt 调优或自动化工作流构建经验。",doubao-seed-2-0-pro-260215,12,20,16,13,12,medium,中高匹配,有企业AI Agent与工作流落地经验，技术能力匹配，本地生活场景经验不足，年限略短。,"['有多类AI Agent、工作流产品从0到1落地经验', '具备代码、Prompt调优等AI Builder适配能力', '熟悉端到端产品交付与迭代闭环流程']","['无本地生活业务场景相关经验，迁移存在成本', '从业年限不足岗位要求的3年']",73
美团,meituan_detail_ai_pm_20260609,6,SaaS-餐饮门店系统产品经理,软硬件服务-餐饮SaaS事业部,成都市,2026-05-06,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4257328451&highlightType=social,1年,负责餐饮 SaaS 门店系统产品能力建设，深入商家经营痛点持续迭代优化；积极探索 AI 技术在门店经营场景中的落地，包含智能经营分析、AI 辅助决策、自动化运营等方向。,要求本科及以上，具备 B 端产品设计经验，SaaS 经验更优；要有需求分析、产品设计、项目管理和数据分析能力；理解大模型、AI Agent 等主流 AI 工具及产品形态，能结合业务提出产品方案。,"岗位职责：
负责餐饮 SaaS 门店系统产品能力建设，深入商家经营痛点持续迭代优化；积极探索 AI 技术在门店经营场景中的落地，包含智能经营分析、AI 辅助决策、自动化运营等方向。

岗位基本要求：
要求本科及以上，具备 B 端产品设计经验，SaaS 经验更优；要有需求分析、产品设计、项目管理和数据分析能力；理解大模型、AI Agent 等主流 AI 工具及产品形态，能结合业务提出产品方案。",doubao-seed-2-0-pro-260215,12,18,16,13,10,medium,partial,候选人有B端AI产品落地经验，但缺乏餐饮SaaS场景积累，需适配餐饮领域业务,"['有丰富的B端AI产品0-1落地经验，熟悉Agent、工作流设计', '具备AI中台、多场景AI应用落地能力，懂相关技术栈']","['无餐饮SaaS行业相关经验，对餐饮门店经营场景不熟悉', '过往是面向集团/央国企场景，需适配美团商户SaaS的业务逻辑']",69
美团,meituan_detail_ai_pm_20260609,7,履约服务及安全治理产品经理,核心本地商业-到家履约平台,北京市,2026-03-31,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4058240729&highlightType=social,2年,围绕骑手履约过程中的交接摩擦、安全治理等问题建设策略和工具产品，覆盖判责、申诉、处置等能力，并探索利用大模型推理判责、骑手申诉 Agent 等 AI 形态改善治理效率。,要求本科及以上，2年以上互联网产品经验，优先 AI 产品经验或平台服务/安全治理策略工具背景；具备较强数据分析、业务洞察、结构化思维与协同推动能力，能够深度理解并运用 AI。,"岗位职责：
围绕骑手履约过程中的交接摩擦、安全治理等问题建设策略和工具产品，覆盖判责、申诉、处置等能力，并探索利用大模型推理判责、骑手申诉 Agent 等 AI 形态改善治理效率。

岗位基本要求：
要求本科及以上，2年以上互联网产品经验，优先 AI 产品经验或平台服务/安全治理策略工具背景；具备较强数据分析、业务洞察、结构化思维与协同推动能力，能够深度理解并运用 AI。",doubao-seed-2-0-pro-260215,12,15,13,12,13,medium,partial,AI产品经验匹配，但缺本地生活履约/安全治理场景经验，需适配业务域,"['具备AI产品0-1落地、多场景Agent、企业级AI中台建设经验', '有跨团队推进、AI流程提效、人机协同产品设计的成熟经验']","['无本地生活履约、安全治理相关业务经验，业务适配成本高', '缺乏互联网平台级C端/履约类产品经验，对骑手场景不熟悉']",65
美团,meituan_detail_ai_pm_20260609,2,LongCat大模型 - 大模型评测平台产品经理,核心本地商业-基础研发平台,北京市、上海市,2026-05-29,https://zhaopin.meituan.com/web/position/detail?jobUnionId=3506281745&highlightType=social,3年,主导评测平台核心功能迭代，包括训练追踪、评测集管理、评测实验自动化、多维报表与动态榜单，建设可追溯、可复现的评测流程与指标稳定性监控体系，并协同算法/工程团队提升评测全链路实验人效。,要求强产品思维、用户洞察和数据分析能力，能通过指标波动与失败率定位系统瓶颈；熟悉大模型评测技术栈与主流评测框架；优先有大模型评测/实验平台产品经验、开发基础或大模型落地案例。,"岗位职责：
主导评测平台核心功能迭代，包括训练追踪、评测集管理、评测实验自动化、多维报表与动态榜单，建设可追溯、可复现的评测流程与指标稳定性监控体系，并协同算法/工程团队提升评测全链路实验人效。

岗位基本要求：
要求强产品思维、用户洞察和数据分析能力，能通过指标波动与失败率定位系统瓶颈；熟悉大模型评测技术栈与主流评测框架；优先有大模型评测/实验平台产品经验、开发基础或大模型落地案例。",doubao-seed-2-0-pro-260215,11,15,16,10,12,medium,partial,候选人有AI中台/Agent落地经验，但缺乏大模型评测平台相关经验，业务场景匹配度较低,"['有AI平台从0到1落地经验，具备跨团队推进能力', '懂AI技术栈，有工程基础，可快速搭建MVP']","['无大模型评测平台相关产品经验，业务场景适配需时间', '过往以企业内部AI转型场景为主，对基础研发平台类产品认知待验证']",64
美团,meituan_detail_ai_pm_20260609,5,闪购-商家端产品经理（经营工具方向）,核心本地商业-闪购事业部,北京市,2026-04-06,https://zhaopin.meituan.com/web/position/detail?jobUnionId=3839496996&highlightType=social,3年,聚焦商家经营工具方向，围绕商品管理、经营分析、预警诊断等场景设计 AI 应用策略与产品机制；定义 AI Agent 交互策略、分层工具策略与效果评估体系，并协同工程、算法、运营推动智能经营工具落地。,要求本科及以上，有4年以上产品经验，优先 B 端商家端/经营工具/O2O 工具类背景；能将 AI 能力与商家经营逻辑结合，设计可落地、可收敛、可评估的策略方案；对数据和业务敏感。,"岗位职责：
聚焦商家经营工具方向，围绕商品管理、经营分析、预警诊断等场景设计 AI 应用策略与产品机制；定义 AI Agent 交互策略、分层工具策略与效果评估体系，并协同工程、算法、运营推动智能经营工具落地。

岗位基本要求：
要求本科及以上，有4年以上产品经验，优先 B 端商家端/经营工具/O2O 工具类背景；能将 AI 能力与商家经营逻辑结合，设计可落地、可收敛、可评估的策略方案；对数据和业务敏感。",doubao-seed-2-0-pro-260215,8,15,12,12,10,medium,weak,候选人AI产品落地能力强，但缺乏闪购商家端、O2O经营工具相关经验，领域匹配度低。,"['具备AI产品0-1落地、多场景Agent设计、AI中台建设经验', '有跨团队推进、业务流程提效、上线复盘的完整落地能力']","['无B端商家经营、O2O闪购相关业务经验，领域迁移成本高', '岗位要求4年以上产品经验，候选人工作年限较短']",57
美团,meituan_detail_ai_pm_20260609,10,产品经理,核心本地商业-美团平台,北京市,2026-04-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4131315764&highlightType=social,3年,负责 Push 承接页面设计与迭代，联动商业化供给、权益玩法和算法策略提升访购率与收入；并探索结合大模型/AI Agent 做产品智能化、辅助决策或智能交互。,要求3年以上互联网产品经验，优先本地生活/商业化增长背景；需要理解用户分层、具备转化类产品设计和数据分析能力；优先具备 AI 产品思维与 AI 工具辅助需求分析经验。,"岗位职责：
负责 Push 承接页面设计与迭代，联动商业化供给、权益玩法和算法策略提升访购率与收入；并探索结合大模型/AI Agent 做产品智能化、辅助决策或智能交互。

岗位基本要求：
要求3年以上互联网产品经验，优先本地生活/商业化增长背景；需要理解用户分层、具备转化类产品设计和数据分析能力；优先具备 AI 产品思维与 AI 工具辅助需求分析经验。",doubao-seed-2-0-pro-260215,5,10,12,10,9,high,weak,候选人深耕ToB企业AI产品，岗位为C端本地商业增长类产品，业务场景匹配度低，迁移成本高。,"['具备AI产品0-1落地能力，熟悉大模型、Agent相关技术', '有跨团队推进、产品全链路闭环落地经验']","['无互联网C端、本地生活商业化增长相关经验', '缺乏用户分层、转化类产品设计经验']",46
美团,meituan_detail_ai_pm_20260609,8,交易履约产品经理,核心本地商业-美团平台,北京市,2026-03-24,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4061597370&highlightType=social,2年,负责兼职频道交易履约全链路产品规划与设计，覆盖供给上单、支付交易、履约售后等核心模块；并建设订单中心、履约监控、规则引擎等中台与工具能力，支持业务规模化运营。,要求3年以上交易履约、订单系统或售后相关产品经验；需要理解交易结算与履约售后需求，具备数据敏感度与跨团队推进能力；优先具备 AI 产品思维，能结合大模型/AI Agent 优化体验。,"岗位职责：
负责兼职频道交易履约全链路产品规划与设计，覆盖供给上单、支付交易、履约售后等核心模块；并建设订单中心、履约监控、规则引擎等中台与工具能力，支持业务规模化运营。

岗位基本要求：
要求3年以上交易履约、订单系统或售后相关产品经验；需要理解交易结算与履约售后需求，具备数据敏感度与跨团队推进能力；优先具备 AI 产品思维，能结合大模型/AI Agent 优化体验。",doubao-seed-2-0-pro-260215,5,8,12,7,10,high,weak,候选人核心为企业AI产品经验，无交易履约相关沉淀，匹配度低。,"['有AI产品0-1落地及跨团队推进经验', '具备LLM、Agent相关技术理解']","['无交易履约、订单系统相关业务经验', '岗位核心要求与候选人过往领域差异大']",42
美团,meituan_detail_ai_pm_20260609,9,无人车业务部-营销产品经理,软硬件服务-无人车业务部,北京市,2026-05-25,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4260189790&highlightType=social,3年,负责无人车配送用户增长与营销平台化建设，覆盖拉新、激活、留存、召回、券类促销、投放触达、多触点营销体系与 ROI 归因；结合 AI 个性化推荐与用户行为数据推动从规则驱动到模型驱动的营销升级。,要求3年以上增长/营销/电商类产品经验，具备复杂项目全生命周期管理与数据分析能力；优先了解机器学习/推荐算法原理，具备营销中台或平台化产品设计经验。,"岗位职责：
负责无人车配送用户增长与营销平台化建设，覆盖拉新、激活、留存、召回、券类促销、投放触达、多触点营销体系与 ROI 归因；结合 AI 个性化推荐与用户行为数据推动从规则驱动到模型驱动的营销升级。

岗位基本要求：
要求3年以上增长/营销/电商类产品经验，具备复杂项目全生命周期管理与数据分析能力；优先了解机器学习/推荐算法原理，具备营销中台或平台化产品设计经验。",doubao-seed-2-0-pro-260215,3,5,10,7,8,high,weak,候选人经验集中于企业ToB AI产品，与无人车C端增长营销场景差异大，无相关领域沉淀。,"['具备AI产品0-1落地及跨团队推进经验', '有AI中台、智能体相关产品设计能力']","['无增长营销、电商类产品经验，场景匹配度极低', '无人车业务领域知识缺失，迁移成本高']",33
