"Rank","SelectionMethod","SourceRowIndex","RecruitPostName","BusinessLine","LocationName","LastUpdateTime","PostURL","ManualMatchReason","PotentialGap","Responsibility","Requirement"
"1","执行日2026-06-08；近3个月过滤+排除5年以上+豆包Top50初筛后人工复核","76","企业微信-产品经理-AI智能机器人","WXG / 企业微信SaaS","广州","2026-06-03","http://careers.tencent.com/jobdesc.html?postId=1985253844522782720","企业场景下的智能体搭建、企业应用服务和数据结合，是你现有履历里最直接的映射之一。你已经做过企业内部多场景 AI 落地、智能体工作台和跨系统复用，这个岗位的产品方法和落地路径与你当前经验高度同构。","需要补足企业微信生态、IM 协同链路和对外生态合作细节。","1. 负责企业微信AI智能机器人相关产品策划工作，具体包括但不限于功能的策略制定、功能设计及推动上线；
2. 主要负责企业场景下的智能体搭建服务，包括企业应用服务、数据与AI的结合，提供产品解决方案；
3. 持续了解企业AI应用场景，与更多生态伙伴合作，帮助用户解决问题并为企业微信带来增长。","三年以上工作经验"
"2","执行日2026-06-08；近3个月过滤+排除5年以上+豆包Top50初筛后人工复核","95","腾讯会议-AI产品经理-企业应用方向","CSIG / 腾讯会议","深圳","2026-03-25","http://careers.tencent.com/jobdesc.html?postId=2036620119203020800","这个岗位强调企业管理体系、身份体系、Agent 安全使用和开放能力整合，几乎正对你做过的 AI 统一接入层、权限映射、跨 SaaS 能力整合和企业 AI 治理。你的“平台化 + 企业权限 + Agent 落地”经验非常能打。","会议协同场景不是当前主场景，面试时要把经验翻译成会议/协作场景语言。","1.负责腾讯会议内 AI 在企业场景相关的产品策划工作；
2.结合AI技术，搭建腾讯会议企业管理体系、身份体系，使Agent在企业内便捷、安全的使用；
3.与腾讯内部SaaS产品线合作，整合面向AI的开放能力，形成拓展性强、高可用的开放体系；
4.持续分析竞品动态及行业趋势，了解企业客户需求，定义产品差异化能力，规划产品功能迭代。","两年以上工作经验"
"3","执行日2026-06-08；近3个月过滤+排除5年以上+豆包Top50初筛后人工复核","8","AI原生产品经理","CSIG / 腾讯云","深圳","2026-03-18","http://careers.tencent.com/jobdesc.html?postId=2034117546277498880","岗位核心是销售、运营、客服等内部流程的 AI Agent 产品化，要求系统整合、工具调用、自动化闭环和效果评估。你做过商机推送、运维智能体、合同审核和 AI 中台，和它需要的业务自动化思路高度一致。","更偏经营流程和商业化提效，需要准备销售/客服场景的指标和 ROI 讲法。","1.产品规划与目标定义：深入理解销售、运营、客服等内部业务流程与痛点，规划AI Agent产品的核心场景、能力矩阵与演进路线，并设定可量化的效率提升与增收目标；
2.智能体体验与流程设计：主导Agent的交互逻辑、决策流程与工具调用设计。将复杂的业务规则与AI能力，转化为简单、高效、可靠的产品功能与用户体验；
3.系统整合与自动化闭环：设计并推动AI Agent与现有业务系统（如经营系统、知识库等）的深度集成方案，实现从“感知-决策-执行-反馈”的业务自动化闭环；
4.数据驱动与效果评估：建立AI Agent产品的核心指标体系，监控使用效果、准确率与业务影响，通过数据分析驱动产品的持续迭代与优化；
5.全链路项目推动：协同算法、工程、业务与设计团队，主导产品从需求、开发、测试到上线运营的全过程，确保产品高质量落地并产生实际业务价值。","三年以上工作经验"
"4","执行日2026-06-08；近3个月过滤+排除5年以上+豆包Top50初筛后人工复核","112","腾讯云AI-ToB产品经理-OCR与大模型应用方向","CSIG / 腾讯云","厦门","2026-05-15","http://careers.tencent.com/jobdesc.html?postId=1956030763174612992","这是标准 ToB AI 方案型岗位，强调客户痛点洞察、方案抽象、跨算法工程销售协同和商业价值落地。你当前在企业 AI 转型、合同审核、商机筛选等场景里的 0-1 方案经验，很适合讲成一套可规模复制的行业方案。","OCR 和对客方案宣讲经验需要补强，面试时要多准备“客户视角”的表达。","1.通过打造具有核心竞争力的AI产品与解决方案，驱动公司在大模型和OCR应用领域的市场增长与客户成功；
2.产品战略与规划：深入调研分析行业趋势、竞争格局和客户痛点，主导制定产品的长期愿景、战略规划及实施路线图（Roadmap），确保产品方向具备前瞻性和竞争力；
3.解决方案架构与落地：深度挖掘并洞察关键客户的真实业务需求，将其转化为可量化和具有商业价值的技术方案与产品解决方案；协同算法、工程团队，推动产品从设计、开发到测试上线的全流程；
4.产品商业化与增长：制定产品上市策略，独立面向决策层进行方案宣讲与价值沟通；通过数据分析驱动产品迭代和运营策略优化，实现产品在不同客户群体的规模化扩张；
5.跨团队领导与协同：作为产品核心角色，高效协同销售、研发、算法、市场等多部门团队，确保项目高质量按时交付，并营造良好的协作氛围。","三年以上工作经验"
"5","执行日2026-06-08；近3个月过滤+排除5年以上+豆包Top50初筛后人工复核","66","产品经理（人-Agent 协作编辑器方向）","CSIG / 腾讯文档","深圳","2026-06-02","http://careers.tencent.com/jobdesc.html?postId=2061646301208162304","人-Agent 协作、工作流设计、Prompt/Function Call 编排、评测集建设这些关键词和你现在的 AI 产品工程能力非常贴。你不仅懂产品闭环，也能下沉到工具调用、体验设计和效果优化层，属于少见的强匹配。","富文本编辑器、协同渲染和插件架构不是你的现成经验，需要提前补工程约束认知。","1.负责下一代 AI 协作编辑器的产品规划与从 0 到 1 设计，主导产品定位、路线图与关键版本落地；
2.定义""人-Agent 协作范式""：设计 Agent 在AI协作工具中的唤起、接管、回退与信任机制，让 AI 成为协作工具的原生参与者而非侧边栏附属；
3.与工程团队深度协作，理解富文本、协同、渲染管线与插件架构的工程约束，共同打磨编辑体验、性能与稳定性；
4.主导大模型在编辑场景的应用：Agent 能力拆解、工作流设计、Prompt 与 Function Call 编排、评测集建设与效果调优，对产品智能化效果负责；
5.面向个人与企业场景开展用户研究与市场洞察，识别高价值落地机会，结合核心指标与用户反馈驱动产品持续迭代。","一年以上工作经验"
"6","执行日2026-06-08；近3个月过滤+排除5年以上+豆包Top50初筛后人工复核","23","智能审核平台产品经理","PCG / 星航内容管线","北京","2026-05-15","http://careers.tencent.com/jobdesc.html?postId=2052322555175550976","虽然场景从合同/投标审核切到内容审核，但方法论极其接近：机审/人审协同、多模态、Agent 编排、质检指标、平台化复用、效果归因。你现有审核项目很容易迁移成这类岗位可理解的经历。","需要把你现有审核经验翻译成内容治理、审核链路和风控语言。","1.负责智能审核平台产品体系建设，参与机审、人审、管理一个或多个方向的产品规划与落地，推动内容审核从向AI 驱动型演进；
2.深入理解审核全链路（事前机审拦截→事中人审研判→事后质检培训），完成需求分析、产品设计及项目推进；
3.探索大模型、多模态模型及 Agent 技术在审核场景的落地应用，包括智能策略编排、辅助审核决策、自动化质检等；
4.建立数据驱动的迭代机制，定义核心指标体系（准确率、召回率、人效比、降量率等），通过数据归因持续优化效果；
5.与算法、工程、运营协同，推动跨 BG 的平台化能力输出与复用。","三年以上工作经验"
"7","执行日2026-06-08；近3个月过滤+排除5年以上+豆包Top50初筛后人工复核","34","企业微信-产品经理-AI方向","WXG / 企业微信SaaS","广州","2026-06-08","http://careers.tencent.com/jobdesc.html?postId=1880770535693004800","企业微信 AI 方向覆盖企业 AI 功能、主框架、基础管理体验，本质上是“协同产品基础层 + AI 能力融合”。你做过企业 AI 中台、权限和工作台产品，很适合讲“基础能力如何支撑多场景复用”。","比 AI 智能机器人岗位更偏基础模块，需补 IM 和协同产品的主框架理解。","1.负责企业微信内的基础模块和AI功能的相关产品策划工作，具体包括但不限于基础功能的策略制定、功能设计及推动上线；
2.主要负责的功能模块是企业微信AI相关功能、主框架、基础IM体验、基础管理体验等；
3.持续了解企业通讯工具、协同工具、企业微信与AI结合的需求和体验提升。","一年以上工作经验"
"8","执行日2026-06-08；近3个月过滤+排除5年以上+豆包Top50初筛后人工复核","99","营销与交易产品部-营销云AI产品经理","CSIG / 腾讯云","北京","2026-05-14","http://careers.tencent.com/jobdesc.html?postId=2042466628104515584","岗位里同时出现智能体平台、AI Agent、CodeBuddy/Cloud Code、LLM、RAG、harness 和数据迭代，这和你“既懂业务场景又能做产品工程”的组合能力非常契合。营销云虽然是垂直场景，但产品方法与你现有打法接近。","营销场景理解和商业效果指标需要补，面试时要把商机推送、CRM 经验讲透。","1.负责营销云 AI 产品（智能体平台/AI Agent）的产品规划与设计，围绕社媒营销、内容生成、智能投放等场景，将大模型能力转化为可落地的产品方案；
2.深入理解企业营销场景和用户需求，主导需求调研、竞品分析、用户画像梳理，定义产品方向和优先级；
3.适配 CodeBuddy、Cloud Code 等 AI原生开发工具，探索 AI 原生产品协同模式，推动以 AI 为核心的产品设计与团队协作方式变革，实现需求定义、方案输出、原型验证的 AI 化提效；
4.紧跟 AI/大模型技术前沿，包括但不限于 LLM、AI Agent、RAG、多模态、harness、上下文工程等 等方向，评估新技术对产品的应用价值，将技术能力翻译为产品功能；
5.建立产品数据监控体系，通过数据分析驱动产品迭代，持续优化用户体验和商业效果。","三年以上工作经验"
"9","执行日2026-06-08；近3个月过滤+排除5年以上+豆包Top50初筛后人工复核","29","腾讯云- MaaS高级产品经理","CSIG / 腾讯云-云原生","深圳","2026-04-01","http://careers.tencent.com/jobdesc.html?postId=2034975730101809152","MaaS 岗位更偏平台和工具链，但其中模型精选、微调训练、推理优化、安全合规、开放生态这些点，和你做 AI 接入层、模型治理、稳定性和复用能力建设有明显共通。对你的平台化能力是加分题。","MaaS 平台和云产品深度仍是短板，需要补模型服务化、算力和生态协同认知。","1.参与腾讯云MaaS产品的战略规划与roadmap制定，结合行业趋势、客户需求及集团技术优势，明确产品核心定位与差异化竞争力，对齐业务增长目标；
2.负责MaaS全链路产品能力搭建，围绕模型精选、数据标注、微调训练、推理优化、安全合规等核心环节，设计标准化产品方案与工具链，降低企业AI应用门槛，加速大模型在金融、文旅、政务等行业的落地适配；
3.联动内部算法、工程、算力团队，推动产品功能落地与迭代优化，解决模型适配、异构算力纳管、动态扩缩容等核心产品问题，保障产品性能与用户体验；
4.挖掘企业客户核心需求，沉淀行业解决方案，推动MaaS产品与腾讯云TI平台、向量数据库等产品的协同，构建开放的MaaS生态，对接第三方模型与合作伙伴，提升产品市场竞争力；
5.跟踪行业动态与竞品趋势，输出产品优化建议，推动技术创新与产品形态升级，助力腾讯云MaaS巩固行业领先地位。","三年以上工作经验"
"10","执行日2026-06-08；近3个月过滤+排除5年以上+豆包Top50初筛后人工复核","72","ima-AI Agent 策略产品经理(深圳/北京)","CSIG / IMA","深圳","2026-05-11","http://careers.tencent.com/jobdesc.html?postId=1998225333643530240","这是很技术化的 Agent 策略岗位，涉及多 Agent、工具调用、长程记忆、GUI Agent 和 badcase 驱动优化。你对 Agent、Workflow、Memory、产品工程的理解比较深，能和这个岗位产生较强共振。","更偏前沿 Agent 策略与实验型产品，需补真实用户规模化场景和对应产品指标讲法。","1.负责 IMA Agent 能力的策略规划与落地，包括 Agent 架构设计、工具调用策略、多 Agent 协作机制等；
2.定义 Agent 场景下的能力理想态与评估标准，通过 badcase 分析和数据驱动持续优化 Agent 表现；
3.深入理解用户意图与任务场景，设计 Agent 的任务拆解、规划与执行策略；
4.跟踪 Agent 领域前沿进展（长程记忆与状态管理、GUI Agent / Computer Use、多步规划与推理等），推动技术能力在产品中的应用。","两年以上工作经验"
