company,source_schema,source_row_index,title,business_line,location,publish_date,post_url,experience_text,responsibility,requirement_text,jd_text
美团,meituan_detail_ai_pm_20260609,1,LongCat大模型 - Agent 评测产品经理（欢迎算法/工程转型）,核心本地商业-基础研发平台,北京市、上海市,2026-05-29,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4301295312&highlightType=social,3年,围绕 OpenClaw、Claude Code 等主流 Agent 框架设计长程任务评测体系，覆盖 Coding、数据分析等生产力场景的端到端评测流程、自动化数据生产与 Rubrics pipeline，并建立“评测-归因-策略建议-效果验证”的闭环。,本科及以上，1年以上大模型评测或智能体应用落地经验；对评测科学性、观测与数据闭环敏感，理解 Agent 工具链演进；优先技术背景、理解大模型/Agent 机制、能熟练用 AI 提效。,"岗位职责：
围绕 OpenClaw、Claude Code 等主流 Agent 框架设计长程任务评测体系，覆盖 Coding、数据分析等生产力场景的端到端评测流程、自动化数据生产与 Rubrics pipeline，并建立“评测-归因-策略建议-效果验证”的闭环。

岗位基本要求：
本科及以上，1年以上大模型评测或智能体应用落地经验；对评测科学性、观测与数据闭环敏感，理解 Agent 工具链演进；优先技术背景、理解大模型/Agent 机制、能熟练用 AI 提效。"
美团,meituan_detail_ai_pm_20260609,2,LongCat大模型 - 大模型评测平台产品经理,核心本地商业-基础研发平台,北京市、上海市,2026-05-29,https://zhaopin.meituan.com/web/position/detail?jobUnionId=3506281745&highlightType=social,3年,主导评测平台核心功能迭代，包括训练追踪、评测集管理、评测实验自动化、多维报表与动态榜单，建设可追溯、可复现的评测流程与指标稳定性监控体系，并协同算法/工程团队提升评测全链路实验人效。,要求强产品思维、用户洞察和数据分析能力，能通过指标波动与失败率定位系统瓶颈；熟悉大模型评测技术栈与主流评测框架；优先有大模型评测/实验平台产品经验、开发基础或大模型落地案例。,"岗位职责：
主导评测平台核心功能迭代，包括训练追踪、评测集管理、评测实验自动化、多维报表与动态榜单，建设可追溯、可复现的评测流程与指标稳定性监控体系，并协同算法/工程团队提升评测全链路实验人效。

岗位基本要求：
要求强产品思维、用户洞察和数据分析能力，能通过指标波动与失败率定位系统瓶颈；熟悉大模型评测技术栈与主流评测框架；优先有大模型评测/实验平台产品经验、开发基础或大模型落地案例。"
美团,meituan_detail_ai_pm_20260609,3,AI应用产品经理（B端）,核心本地商业-美团平台,北京市,2026-05-19,https://zhaopin.meituan.com/web/position/detail?jobUnionId=3343483756&highlightType=social,2年,负责商业分析场景下 Agent 产品的评测体系构建与持续迭代，覆盖评估方法论、标准、Benchmark 与工具平台设计；同时基于线上 AB、用户数据与评估报告发现问题并推动跨团队优化。,要求2年以上 AIGC/AI 产品应用经验，优先 toB AI 助手或 AI 预测方向；对数据变化敏感，能快速定位问题、设计验证方案；了解 AI Agent 原理、关注前沿动态并能推动复杂项目落地。,"岗位职责：
负责商业分析场景下 Agent 产品的评测体系构建与持续迭代，覆盖评估方法论、标准、Benchmark 与工具平台设计；同时基于线上 AB、用户数据与评估报告发现问题并推动跨团队优化。

岗位基本要求：
要求2年以上 AIGC/AI 产品应用经验，优先 toB AI 助手或 AI 预测方向；对数据变化敏感，能快速定位问题、设计验证方案；了解 AI Agent 原理、关注前沿动态并能推动复杂项目落地。"
美团,meituan_detail_ai_pm_20260609,4,小团Agent AI Builder,核心本地商业-美团平台,北京市,2026-06-05,https://zhaopin.meituan.com/web/position/detail?jobUnionId=3777123757&highlightType=social,3年,负责小团具体场景的 Agent 日常迭代，不只写需求，还要参与上下文策略、Prompt Engineering 编排、模型数据合成与本地 Demo 跑通；并独立主导 Badcase 评测、归因、调优与端到端交付闭环。,要求3年以上 Agent 产品经验，优先有 Agent/对话式 AI 端到端交付经历；强调 AI Builder 基因，要求能在产品设计与代码/算法细节间切换，具备跑代码、Prompt 调优或自动化工作流构建经验。,"岗位职责：
负责小团具体场景的 Agent 日常迭代，不只写需求，还要参与上下文策略、Prompt Engineering 编排、模型数据合成与本地 Demo 跑通；并独立主导 Badcase 评测、归因、调优与端到端交付闭环。

岗位基本要求：
要求3年以上 Agent 产品经验，优先有 Agent/对话式 AI 端到端交付经历；强调 AI Builder 基因，要求能在产品设计与代码/算法细节间切换，具备跑代码、Prompt 调优或自动化工作流构建经验。"
美团,meituan_detail_ai_pm_20260609,5,闪购-商家端产品经理（经营工具方向）,核心本地商业-闪购事业部,北京市,2026-04-06,https://zhaopin.meituan.com/web/position/detail?jobUnionId=3839496996&highlightType=social,3年,聚焦商家经营工具方向，围绕商品管理、经营分析、预警诊断等场景设计 AI 应用策略与产品机制；定义 AI Agent 交互策略、分层工具策略与效果评估体系，并协同工程、算法、运营推动智能经营工具落地。,要求本科及以上，有4年以上产品经验，优先 B 端商家端/经营工具/O2O 工具类背景；能将 AI 能力与商家经营逻辑结合，设计可落地、可收敛、可评估的策略方案；对数据和业务敏感。,"岗位职责：
聚焦商家经营工具方向，围绕商品管理、经营分析、预警诊断等场景设计 AI 应用策略与产品机制；定义 AI Agent 交互策略、分层工具策略与效果评估体系，并协同工程、算法、运营推动智能经营工具落地。

岗位基本要求：
要求本科及以上，有4年以上产品经验，优先 B 端商家端/经营工具/O2O 工具类背景；能将 AI 能力与商家经营逻辑结合，设计可落地、可收敛、可评估的策略方案；对数据和业务敏感。"
美团,meituan_detail_ai_pm_20260609,6,SaaS-餐饮门店系统产品经理,软硬件服务-餐饮SaaS事业部,成都市,2026-05-06,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4257328451&highlightType=social,1年,负责餐饮 SaaS 门店系统产品能力建设，深入商家经营痛点持续迭代优化；积极探索 AI 技术在门店经营场景中的落地，包含智能经营分析、AI 辅助决策、自动化运营等方向。,要求本科及以上，具备 B 端产品设计经验，SaaS 经验更优；要有需求分析、产品设计、项目管理和数据分析能力；理解大模型、AI Agent 等主流 AI 工具及产品形态，能结合业务提出产品方案。,"岗位职责：
负责餐饮 SaaS 门店系统产品能力建设，深入商家经营痛点持续迭代优化；积极探索 AI 技术在门店经营场景中的落地，包含智能经营分析、AI 辅助决策、自动化运营等方向。

岗位基本要求：
要求本科及以上，具备 B 端产品设计经验，SaaS 经验更优；要有需求分析、产品设计、项目管理和数据分析能力；理解大模型、AI Agent 等主流 AI 工具及产品形态，能结合业务提出产品方案。"
美团,meituan_detail_ai_pm_20260609,7,履约服务及安全治理产品经理,核心本地商业-到家履约平台,北京市,2026-03-31,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4058240729&highlightType=social,2年,围绕骑手履约过程中的交接摩擦、安全治理等问题建设策略和工具产品，覆盖判责、申诉、处置等能力，并探索利用大模型推理判责、骑手申诉 Agent 等 AI 形态改善治理效率。,要求本科及以上，2年以上互联网产品经验，优先 AI 产品经验或平台服务/安全治理策略工具背景；具备较强数据分析、业务洞察、结构化思维与协同推动能力，能够深度理解并运用 AI。,"岗位职责：
围绕骑手履约过程中的交接摩擦、安全治理等问题建设策略和工具产品，覆盖判责、申诉、处置等能力，并探索利用大模型推理判责、骑手申诉 Agent 等 AI 形态改善治理效率。

岗位基本要求：
要求本科及以上，2年以上互联网产品经验，优先 AI 产品经验或平台服务/安全治理策略工具背景；具备较强数据分析、业务洞察、结构化思维与协同推动能力，能够深度理解并运用 AI。"
美团,meituan_detail_ai_pm_20260609,8,交易履约产品经理,核心本地商业-美团平台,北京市,2026-03-24,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4061597370&highlightType=social,2年,负责兼职频道交易履约全链路产品规划与设计，覆盖供给上单、支付交易、履约售后等核心模块；并建设订单中心、履约监控、规则引擎等中台与工具能力，支持业务规模化运营。,要求3年以上交易履约、订单系统或售后相关产品经验；需要理解交易结算与履约售后需求，具备数据敏感度与跨团队推进能力；优先具备 AI 产品思维，能结合大模型/AI Agent 优化体验。,"岗位职责：
负责兼职频道交易履约全链路产品规划与设计，覆盖供给上单、支付交易、履约售后等核心模块；并建设订单中心、履约监控、规则引擎等中台与工具能力，支持业务规模化运营。

岗位基本要求：
要求3年以上交易履约、订单系统或售后相关产品经验；需要理解交易结算与履约售后需求，具备数据敏感度与跨团队推进能力；优先具备 AI 产品思维，能结合大模型/AI Agent 优化体验。"
美团,meituan_detail_ai_pm_20260609,9,无人车业务部-营销产品经理,软硬件服务-无人车业务部,北京市,2026-05-25,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4260189790&highlightType=social,3年,负责无人车配送用户增长与营销平台化建设，覆盖拉新、激活、留存、召回、券类促销、投放触达、多触点营销体系与 ROI 归因；结合 AI 个性化推荐与用户行为数据推动从规则驱动到模型驱动的营销升级。,要求3年以上增长/营销/电商类产品经验，具备复杂项目全生命周期管理与数据分析能力；优先了解机器学习/推荐算法原理，具备营销中台或平台化产品设计经验。,"岗位职责：
负责无人车配送用户增长与营销平台化建设，覆盖拉新、激活、留存、召回、券类促销、投放触达、多触点营销体系与 ROI 归因；结合 AI 个性化推荐与用户行为数据推动从规则驱动到模型驱动的营销升级。

岗位基本要求：
要求3年以上增长/营销/电商类产品经验，具备复杂项目全生命周期管理与数据分析能力；优先了解机器学习/推荐算法原理，具备营销中台或平台化产品设计经验。"
美团,meituan_detail_ai_pm_20260609,10,产品经理,核心本地商业-美团平台,北京市,2026-04-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4131315764&highlightType=social,3年,负责 Push 承接页面设计与迭代，联动商业化供给、权益玩法和算法策略提升访购率与收入；并探索结合大模型/AI Agent 做产品智能化、辅助决策或智能交互。,要求3年以上互联网产品经验，优先本地生活/商业化增长背景；需要理解用户分层、具备转化类产品设计和数据分析能力；优先具备 AI 产品思维与 AI 工具辅助需求分析经验。,"岗位职责：
负责 Push 承接页面设计与迭代，联动商业化供给、权益玩法和算法策略提升访购率与收入；并探索结合大模型/AI Agent 做产品智能化、辅助决策或智能交互。

岗位基本要求：
要求3年以上互联网产品经验，优先本地生活/商业化增长背景；需要理解用户分层、具备转化类产品设计和数据分析能力；优先具备 AI 产品思维与 AI 工具辅助需求分析经验。"
