company,source_schema,code,title,business_line,department,project,category_name,batch_name,location,publish_date,raw_update_time,post_url,responsibility,requirement_text,bonus,experience_text,jd_text,list_job_name,list_job_category,merge_selected_from,merge_source_count,merge_source_files
拼多多,pdd_tampermonkey,PR023686,用户体验产品经理,产品类,,,产品类,,上海,2026-06-09,2026-06-09,https://careers.pddglobalhr.com/jobs/detail?code=PR023686,"1、负责用户购物体验关键触点（商品质量、商品履约、团点服务、下单体验、售后体验等）的设计优化，对用户体验负责；

2、从仓配作业链路入手，设计产品工具改善缺货和品质问题，保证商品交付体验；

3、从用户反馈中挖掘售后痛点，通过改造售后逻辑，提升用户满意度；

4、结合作业逻辑深度分析，找到体验与成本的产品策略平衡点

5、你将有机会成长为用户体验产品专家，为消费者打造领先的购物体验，并获得跨链路实战机会；","1、有较好的逻辑分析和数据敏感度，能运用数据验证假设、驱动决策；

2、充满好奇心，同理心强，乐于接受挑战，同时有良好的业务理解能力；

3、较强的自我驱动力，对于拿到业务结果有渴求。",无,"1、有较好的逻辑分析和数据敏感度，能运用数据验证假设、驱动决策；

2、充满好奇心，同理心强，乐于接受挑战，同时有良好的业务理解能力；

3、较强的自我驱动力，对于拿到业务结果有渴求。","岗位职责：
1、负责用户购物体验关键触点（商品质量、商品履约、团点服务、下单体验、售后体验等）的设计优化，对用户体验负责；

2、从仓配作业链路入手，设计产品工具改善缺货和品质问题，保证商品交付体验；

3、从用户反馈中挖掘售后痛点，通过改造售后逻辑，提升用户满意度；

4、结合作业逻辑深度分析，找到体验与成本的产品策略平衡点

5、你将有机会成长为用户体验产品专家，为消费者打造领先的购物体验，并获得跨链路实战机会；

任职要求：
1、有较好的逻辑分析和数据敏感度，能运用数据验证假设、驱动决策；

2、充满好奇心，同理心强，乐于接受挑战，同时有良好的业务理解能力；

3、较强的自我驱动力，对于拿到业务结果有渴求。

加分项：
无",用户体验产品经理,产品类,pinduoduo_jobs_产品经理_all_20260609_162018.csv,4,pinduoduo_jobs_产品经理_all_20260609_162018.csv | pinduoduo_jobs_产品经理_all_20260609_162730 copy.csv | pinduoduo_jobs_产品经理_all_20260609_162730.csv | pinduoduo_jobs_产品经理_part_1_14_all_20260609_163854.csv
拼多多,pdd_tampermonkey,PR020775,电商产品经理（会员营销方向）,产品类,,,产品类,,上海,2026-06-08,2026-06-08,https://careers.pddglobalhr.com/jobs/detail?code=PR020775,"1、负责电商会员的用户数、交易额增长；

2、通过数据分析、策略优化、补贴政策、活动玩法迭代等手段，达成上述目标；

3、对用户生命周期做拆解、分析，制定单独的增长手段；

4、跟踪行业的优秀案例，做出创新的增长方案、政策。","1、1年以上相关工作经验，有用户增长、营销活动、业务分析产品经验优先；

2、熟悉电商平台补贴、福利活动相关的手段，能有效地和内外部进行合作，并不断探索和发现新的思路；

3、精通常见的分析方式，能够与相关团队深度合作，通过数据的分析与洞察，找到增长空间。",无,"1、1年以上相关工作经验，有用户增长、营销活动、业务分析产品经验优先；

2、熟悉电商平台补贴、福利活动相关的手段，能有效地和内外部进行合作，并不断探索和发现新的思路；

3、精通常见的分析方式，能够与相关团队深度合作，通过数据的分析与洞察，找到增长空间。","岗位职责：
1、负责电商会员的用户数、交易额增长；

2、通过数据分析、策略优化、补贴政策、活动玩法迭代等手段，达成上述目标；

3、对用户生命周期做拆解、分析，制定单独的增长手段；

4、跟踪行业的优秀案例，做出创新的增长方案、政策。

任职要求：
1、1年以上相关工作经验，有用户增长、营销活动、业务分析产品经验优先；

2、熟悉电商平台补贴、福利活动相关的手段，能有效地和内外部进行合作，并不断探索和发现新的思路；

3、精通常见的分析方式，能够与相关团队深度合作，通过数据的分析与洞察，找到增长空间。

加分项：
无",电商产品经理（会员营销方向）,产品类,pinduoduo_jobs_产品经理_all_20260609_162018.csv,4,pinduoduo_jobs_产品经理_all_20260609_162018.csv | pinduoduo_jobs_产品经理_all_20260609_162730 copy.csv | pinduoduo_jobs_产品经理_all_20260609_162730.csv | pinduoduo_jobs_产品经理_part_1_14_all_20260609_163854.csv
拼多多,pdd_tampermonkey,PR024115,物流代收点产品经理,产品类,,,产品类,,上海,2026-06-07,2026-06-07,https://careers.pddglobalhr.com/jobs/detail?code=PR024115,"1、根据市场情况设计灵活、高效的站点/服务商激励策略，提升拼多多驿站市场占有率

2、拆解取件场景客诉，制定差异化站点激励方案和治理策略，打造极致的取件服务，提升拼多多市场口碑

3、设计C端取件营销活动，在用户取件时提供兼具趣味性和社交传播力的交互体验，提升用户扫码意愿，挖掘用户消费潜力","1、本科及以上学历，1年及以上互联网产品工作经验，有增长策略经验优先

2、对业务数据敏感，有较好的数据分析能力和优秀的逻辑思维，可以从业务数据中发现问题提炼需求

3、自驱力强，能围绕核心目标去主动解决问题，主导方案落地

4、拥有优秀的沟通能力、执行力和产品判断力",暂无,"1、本科及以上学历，1年及以上互联网产品工作经验，有增长策略经验优先

2、对业务数据敏感，有较好的数据分析能力和优秀的逻辑思维，可以从业务数据中发现问题提炼需求

3、自驱力强，能围绕核心目标去主动解决问题，主导方案落地

4、拥有优秀的沟通能力、执行力和产品判断力","岗位职责：
1、根据市场情况设计灵活、高效的站点/服务商激励策略，提升拼多多驿站市场占有率

2、拆解取件场景客诉，制定差异化站点激励方案和治理策略，打造极致的取件服务，提升拼多多市场口碑

3、设计C端取件营销活动，在用户取件时提供兼具趣味性和社交传播力的交互体验，提升用户扫码意愿，挖掘用户消费潜力

任职要求：
1、本科及以上学历，1年及以上互联网产品工作经验，有增长策略经验优先

2、对业务数据敏感，有较好的数据分析能力和优秀的逻辑思维，可以从业务数据中发现问题提炼需求

3、自驱力强，能围绕核心目标去主动解决问题，主导方案落地

4、拥有优秀的沟通能力、执行力和产品判断力

加分项：
暂无",物流代收点产品经理,产品类,pinduoduo_jobs_产品经理_all_20260609_162018.csv,4,pinduoduo_jobs_产品经理_all_20260609_162018.csv | pinduoduo_jobs_产品经理_all_20260609_162730 copy.csv | pinduoduo_jobs_产品经理_all_20260609_162730.csv | pinduoduo_jobs_产品经理_part_1_14_all_20260609_163854.csv
拼多多,pdd_tampermonkey,PR023594,平台服务B端产品经理,产品类,,,产品类,,上海,2026-06-05,2026-06-05,https://careers.pddglobalhr.com/jobs/detail?code=PR023594,"1.负责平台客服工具类产品的规划迭代及运营工作，对产品的效果负责；

2.主动与业务、数据、工程、算法等团队密切合作，输出产品化、智能化的产品方案解决业务痛点问题，提升客服的服务效率。","1.3年以上客服（呼叫中心）行业产品经验，有过智能客服工作台、工单系统、呼叫中心、质检、外包管理等模块的项目经验优先；

2.具备优秀的逻辑思维能力，善于系统性思考，抽象简化复杂问题；

3.项目中能够独当一面，具备优秀的沟通能力和跨团队合作能力、较强的抗压能力；

4.经历过客服中台能力建设及应用项目的优先，大型客服中心（千人以上或多业态客服）供职经历优先。",无,"1.3年以上客服（呼叫中心）行业产品经验，有过智能客服工作台、工单系统、呼叫中心、质检、外包管理等模块的项目经验优先；

2.具备优秀的逻辑思维能力，善于系统性思考，抽象简化复杂问题；

3.项目中能够独当一面，具备优秀的沟通能力和跨团队合作能力、较强的抗压能力；

4.经历过客服中台能力建设及应用项目的优先，大型客服中心（千人以上或多业态客服）供职经历优先。","岗位职责：
1.负责平台客服工具类产品的规划迭代及运营工作，对产品的效果负责；

2.主动与业务、数据、工程、算法等团队密切合作，输出产品化、智能化的产品方案解决业务痛点问题，提升客服的服务效率。

任职要求：
1.3年以上客服（呼叫中心）行业产品经验，有过智能客服工作台、工单系统、呼叫中心、质检、外包管理等模块的项目经验优先；

2.具备优秀的逻辑思维能力，善于系统性思考，抽象简化复杂问题；

3.项目中能够独当一面，具备优秀的沟通能力和跨团队合作能力、较强的抗压能力；

4.经历过客服中台能力建设及应用项目的优先，大型客服中心（千人以上或多业态客服）供职经历优先。

加分项：
无",平台服务B端产品经理,产品类,pinduoduo_jobs_产品经理_all_20260609_162018.csv,4,pinduoduo_jobs_产品经理_all_20260609_162018.csv | pinduoduo_jobs_产品经理_all_20260609_162730 copy.csv | pinduoduo_jobs_产品经理_all_20260609_162730.csv | pinduoduo_jobs_产品经理_part_1_14_all_20260609_163854.csv
拼多多,pdd_tampermonkey,PR020283,客服产品经理,产品类,,,产品类,,上海,2026-06-03,2026-06-03,https://careers.pddglobalhr.com/jobs/detail?code=PR020283,"1、负责电商平台客服系统的产品，从复杂场景中抽象问题和解决方案赋能客服，为消费者提供更好的服务体验；

2、负责某条业务线的产品维护和迭代。和运营团队一起配合，通过模型优化、业务流程优化等方式，提高消费者满意度，效率成本，风险控制三类指标；

3、能从消费者体验的视角出发，挖掘交易链路和服务流程中的问题，推动上下游团队配合，更源头地解决问题；

4、关注行业的趋势和动态，结合业务现状，寻找产品和业务创新的机会点。","1、2~5年互联网产品经验；

2、有较强的用户同理心；

3、有较好的沟通和跨团队协作能力；

4、工作积极主动靠谱，有进取心，学习能力强。",无,"1、2~5年互联网产品经验；

2、有较强的用户同理心；

3、有较好的沟通和跨团队协作能力；

4、工作积极主动靠谱，有进取心，学习能力强。","岗位职责：
1、负责电商平台客服系统的产品，从复杂场景中抽象问题和解决方案赋能客服，为消费者提供更好的服务体验；

2、负责某条业务线的产品维护和迭代。和运营团队一起配合，通过模型优化、业务流程优化等方式，提高消费者满意度，效率成本，风险控制三类指标；

3、能从消费者体验的视角出发，挖掘交易链路和服务流程中的问题，推动上下游团队配合，更源头地解决问题；

4、关注行业的趋势和动态，结合业务现状，寻找产品和业务创新的机会点。

任职要求：
1、2~5年互联网产品经验；

2、有较强的用户同理心；

3、有较好的沟通和跨团队协作能力；

4、工作积极主动靠谱，有进取心，学习能力强。

加分项：
无",客服产品经理,产品类,pinduoduo_jobs_产品经理_all_20260609_162018.csv,4,pinduoduo_jobs_产品经理_all_20260609_162018.csv | pinduoduo_jobs_产品经理_all_20260609_162730 copy.csv | pinduoduo_jobs_产品经理_all_20260609_162730.csv | pinduoduo_jobs_产品经理_part_1_14_all_20260609_163854.csv
拼多多,pdd_tampermonkey,PR021574,智能客服产品经理,产品类,,,产品类,,上海,2026-06-03,2026-06-03,https://careers.pddglobalhr.com/jobs/detail?code=PR021574,"1、负责电商平台的智能客服系统产品设计，构建高效和智能化的服务流程，提升消费者服务体验；

2、深入分析消费者求助问题，设计并实现全链路智能化的服务体验，包括：平台售后机器人、售前商家机器人等智能化产品实现；

3、负责语言大模型对话能力的产品应用落地，以提高智能客服的自动化、智能化和个性化，实现多语言语种、全球市场都得到优质服务体验；

4.对相关业务数据负责，结合算法模型能力，给出可执行的解决方案；

5. 把控进度，协调资源，保证模块迭代优化效果。","1. 对大模型、人工智能感兴趣，或有相关经验；

2. 有较强的学习能力，创新能力，和部门协作与沟通能力；

3. 具备较强的数据敏感性、逻辑思维能力强。",暂无,"1. 对大模型、人工智能感兴趣，或有相关经验；

2. 有较强的学习能力，创新能力，和部门协作与沟通能力；

3. 具备较强的数据敏感性、逻辑思维能力强。","岗位职责：
1、负责电商平台的智能客服系统产品设计，构建高效和智能化的服务流程，提升消费者服务体验；

2、深入分析消费者求助问题，设计并实现全链路智能化的服务体验，包括：平台售后机器人、售前商家机器人等智能化产品实现；

3、负责语言大模型对话能力的产品应用落地，以提高智能客服的自动化、智能化和个性化，实现多语言语种、全球市场都得到优质服务体验；

4.对相关业务数据负责，结合算法模型能力，给出可执行的解决方案；

5. 把控进度，协调资源，保证模块迭代优化效果。

任职要求：
1. 对大模型、人工智能感兴趣，或有相关经验；

2. 有较强的学习能力，创新能力，和部门协作与沟通能力；

3. 具备较强的数据敏感性、逻辑思维能力强。

加分项：
暂无",智能客服产品经理,产品类,pinduoduo_jobs_产品经理_all_20260609_162018.csv,4,pinduoduo_jobs_产品经理_all_20260609_162018.csv | pinduoduo_jobs_产品经理_all_20260609_162730 copy.csv | pinduoduo_jobs_产品经理_all_20260609_162730.csv | pinduoduo_jobs_产品经理_part_1_14_all_20260609_163854.csv
拼多多,pdd_tampermonkey,PR022017,C端电商AI产品经理,产品类,,,产品类,,上海,2026-05-28,2026-05-28,https://careers.pddglobalhr.com/jobs/detail?code=PR022017,"1、 围绕消费者在电商中的真实需求，结合AI能力设计实用、好用的AI电商功能，创造新的导购/客服/营销等方面的体验；
2、关注AI领域的新技术、新应用，评估其在电商场景中的可行性，并推动落地验证。","1、2年以上产品经验，对AI技术有基本理解，有将其转化为用户价值的经验或强烈兴趣；

2、重视体验细节；

3、有责任感，有消费者洞察，关注长期效果。",/,"1、2年以上产品经验，对AI技术有基本理解，有将其转化为用户价值的经验或强烈兴趣；

2、重视体验细节；

3、有责任感，有消费者洞察，关注长期效果。","岗位职责：
1、 围绕消费者在电商中的真实需求，结合AI能力设计实用、好用的AI电商功能，创造新的导购/客服/营销等方面的体验；
2、关注AI领域的新技术、新应用，评估其在电商场景中的可行性，并推动落地验证。

任职要求：
1、2年以上产品经验，对AI技术有基本理解，有将其转化为用户价值的经验或强烈兴趣；

2、重视体验细节；

3、有责任感，有消费者洞察，关注长期效果。

加分项：
/",C端电商AI产品经理,产品类,pinduoduo_jobs_产品经理_all_20260609_162018.csv,4,pinduoduo_jobs_产品经理_all_20260609_162018.csv | pinduoduo_jobs_产品经理_all_20260609_162730 copy.csv | pinduoduo_jobs_产品经理_all_20260609_162730.csv | pinduoduo_jobs_产品经理_part_1_14_all_20260609_163854.csv
拼多多,pdd_tampermonkey,PR016472,策略中台高级产品经理,产品类,,,产品类,,上海,2026-05-27,2026-05-27,https://careers.pddglobalhr.com/jobs/detail?code=PR016472,"1. 负责拼多多客服业务智能策略相关的基础产品和架构设计，以此支撑消费者售中/售后问题的智能、准确、高效解决；

2. 负责消费者售中/售后问题自动化策略流程、半自动化策略流程的流程编排设计、基础产品规划等；

3. 负责承接业务团队针对消费者各问题场景的策略需求，保障业务策略的高效、严谨落地；

4. 对策略中台的简洁性易用性、健康完善度负责，保证策略中台的架构清晰、逻辑严谨以及多业务场景的敏捷接入。","1. 3-5年产品经理工作经验，至少1年以上中台产品规划工作经验，有客服业务、消费者服务相关履历的优先考虑；

2. 拥有计算机等理工类专业背景、互联网电商相关行业背景；

3. 具备优秀的产品设计和逻辑思维能力，擅长架构设计和问题抽象；

4. 拥有严谨的工作态度和高度的责任心，对系统的严谨和鲁棒能保持持久高度关心。",无,"1. 3-5年产品经理工作经验，至少1年以上中台产品规划工作经验，有客服业务、消费者服务相关履历的优先考虑；

2. 拥有计算机等理工类专业背景、互联网电商相关行业背景；

3. 具备优秀的产品设计和逻辑思维能力，擅长架构设计和问题抽象；

4. 拥有严谨的工作态度和高度的责任心，对系统的严谨和鲁棒能保持持久高度关心。","岗位职责：
1. 负责拼多多客服业务智能策略相关的基础产品和架构设计，以此支撑消费者售中/售后问题的智能、准确、高效解决；

2. 负责消费者售中/售后问题自动化策略流程、半自动化策略流程的流程编排设计、基础产品规划等；

3. 负责承接业务团队针对消费者各问题场景的策略需求，保障业务策略的高效、严谨落地；

4. 对策略中台的简洁性易用性、健康完善度负责，保证策略中台的架构清晰、逻辑严谨以及多业务场景的敏捷接入。

任职要求：
1. 3-5年产品经理工作经验，至少1年以上中台产品规划工作经验，有客服业务、消费者服务相关履历的优先考虑；

2. 拥有计算机等理工类专业背景、互联网电商相关行业背景；

3. 具备优秀的产品设计和逻辑思维能力，擅长架构设计和问题抽象；

4. 拥有严谨的工作态度和高度的责任心，对系统的严谨和鲁棒能保持持久高度关心。

加分项：
无",策略中台高级产品经理,产品类,pinduoduo_jobs_产品经理_all_20260609_162018.csv,4,pinduoduo_jobs_产品经理_all_20260609_162018.csv | pinduoduo_jobs_产品经理_all_20260609_162730 copy.csv | pinduoduo_jobs_产品经理_all_20260609_162730.csv | pinduoduo_jobs_产品经理_part_1_14_all_20260609_163854.csv
拼多多,pdd_tampermonkey,PR016668,电商售后资深产品经理/产品leader,产品类,,,产品类,,上海,2026-05-27,2026-05-27,https://careers.pddglobalhr.com/jobs/detail?code=PR016668,"1. 通过竞品分析、业务数据分析，基于用户原声case等完善拼多多售后流程体系。包括消费者售后体验优化、售后流程及效率优化，保障消费者售后权益；

2. 负责分析并定义拼多多C端售后自动化策略，包括但不限于极速退款策略、闪电退货策略等，对策略的准确度、完备性、执行效率等负责；

3. 对拼多多整体电商服务策略的C端交互能力负责，通过设计并抽象丰富的交互手段，发现、收集并快速解决消费者在各场景下的更多服务问题；

4. 协同各有关团队，赋能各项售后相关服务策略，并通过这个过程沉淀并持续提升售后基础能力。","1. 3-5年以上电商交易、售后、客服等相关行业产品经验；

2. 有强烈的责任感、同理心和自驱力。能体会并发现用户售后过程中的痛点，具备扎实的用户体验洞察力，具备深度竞品分析、产品规划的能力；

3. 有系统的 C 端交互设计方法论者、主导或独立负责过具体的C端产品交互设计并有典型成功案例者优先考虑；

4. 具备扎实的数据分析功底，逻辑性好；

5. 有自驱力，有过团队管理经验者优先考虑。",无,"1. 3-5年以上电商交易、售后、客服等相关行业产品经验；

2. 有强烈的责任感、同理心和自驱力。能体会并发现用户售后过程中的痛点，具备扎实的用户体验洞察力，具备深度竞品分析、产品规划的能力；

3. 有系统的 C 端交互设计方法论者、主导或独立负责过具体的C端产品交互设计并有典型成功案例者优先考虑；

4. 具备扎实的数据分析功底，逻辑性好；

5. 有自驱力，有过团队管理经验者优先考虑。","岗位职责：
1. 通过竞品分析、业务数据分析，基于用户原声case等完善拼多多售后流程体系。包括消费者售后体验优化、售后流程及效率优化，保障消费者售后权益；

2. 负责分析并定义拼多多C端售后自动化策略，包括但不限于极速退款策略、闪电退货策略等，对策略的准确度、完备性、执行效率等负责；

3. 对拼多多整体电商服务策略的C端交互能力负责，通过设计并抽象丰富的交互手段，发现、收集并快速解决消费者在各场景下的更多服务问题；

4. 协同各有关团队，赋能各项售后相关服务策略，并通过这个过程沉淀并持续提升售后基础能力。

任职要求：
1. 3-5年以上电商交易、售后、客服等相关行业产品经验；

2. 有强烈的责任感、同理心和自驱力。能体会并发现用户售后过程中的痛点，具备扎实的用户体验洞察力，具备深度竞品分析、产品规划的能力；

3. 有系统的 C 端交互设计方法论者、主导或独立负责过具体的C端产品交互设计并有典型成功案例者优先考虑；

4. 具备扎实的数据分析功底，逻辑性好；

5. 有自驱力，有过团队管理经验者优先考虑。

加分项：
无",电商售后资深产品经理/产品leader,产品类,pinduoduo_jobs_产品经理_all_20260609_162018.csv,4,pinduoduo_jobs_产品经理_all_20260609_162018.csv | pinduoduo_jobs_产品经理_all_20260609_162730 copy.csv | pinduoduo_jobs_产品经理_all_20260609_162730.csv | pinduoduo_jobs_产品经理_part_1_14_all_20260609_163854.csv
拼多多,pdd_tampermonkey,PR024083,用户增长产品经理,产品类,,,产品类,,上海,2026-05-26,2026-05-26,https://careers.pddglobalhr.com/jobs/detail?code=PR024083,"岗位职责

1、负责平台物流产品规划与迭代，基于用户分层、场景化策略及增长实验等方法，持续完善用户体验，优化GMV与用户规模等核心指标；

2、基于消费者端物流体验和供应链全链路视角，持续优化核心物流能力，提升商家履约效率，助力业务规模化增长；

3、聚焦产品体验，提升全场景物流感知，结合用户调研与数据分析形成用户增长与留存策略。","1、本科及以上学历，1年及以上互联网产品工作经验，有知名互联网公司工作经验优先；

2、对业务数据敏感，有较好的数据分析能力和优秀的逻辑思维，可以从业务数据波动中发现问题，提炼需求；

3、具有优秀的沟通能力、执行力和产品判断力；

4、主动追踪业务结果，对产品全生命周期（规划→落地→优化）负责，敢于为决策担责，推动问题闭环解决。",无,"1、本科及以上学历，1年及以上互联网产品工作经验，有知名互联网公司工作经验优先；

2、对业务数据敏感，有较好的数据分析能力和优秀的逻辑思维，可以从业务数据波动中发现问题，提炼需求；

3、具有优秀的沟通能力、执行力和产品判断力；

4、主动追踪业务结果，对产品全生命周期（规划→落地→优化）负责，敢于为决策担责，推动问题闭环解决。","岗位职责：
岗位职责

1、负责平台物流产品规划与迭代，基于用户分层、场景化策略及增长实验等方法，持续完善用户体验，优化GMV与用户规模等核心指标；

2、基于消费者端物流体验和供应链全链路视角，持续优化核心物流能力，提升商家履约效率，助力业务规模化增长；

3、聚焦产品体验，提升全场景物流感知，结合用户调研与数据分析形成用户增长与留存策略。

任职要求：
1、本科及以上学历，1年及以上互联网产品工作经验，有知名互联网公司工作经验优先；

2、对业务数据敏感，有较好的数据分析能力和优秀的逻辑思维，可以从业务数据波动中发现问题，提炼需求；

3、具有优秀的沟通能力、执行力和产品判断力；

4、主动追踪业务结果，对产品全生命周期（规划→落地→优化）负责，敢于为决策担责，推动问题闭环解决。

加分项：
无",用户增长产品经理,产品类,pinduoduo_jobs_产品经理_all_20260609_162018.csv,2,pinduoduo_jobs_产品经理_all_20260609_162018.csv | pinduoduo_jobs_产品经理_part_1_14_all_20260609_163854.csv
