"Rank","company","RecruitPostName","BusinessLine","LocationName","LastUpdateTime","PostURL","Responsibility","Requirement","ModelScore","ModelVerdict","ManualMatchReason","PotentialGap"
"1","美团","LongCat大模型 - Agent 评测产品经理（欢迎算法/工程转型）","核心本地商业-基础研发平台","北京市、上海市","2026-05-29","https://zhaopin.meituan.com/web/position/detail?jobUnionId=4301295312&highlightType=social","围绕 OpenClaw、Claude Code 等主流 Agent 框架设计长程任务评测体系，覆盖 Coding、数据分析等生产力场景的端到端评测流程、自动化数据生产与 Rubrics pipeline，并建立“评测-归因-策略建议-效果验证”的闭环。","本科及以上，1年以上大模型评测或智能体应用落地经验；对评测科学性、观测与数据闭环敏感，理解 Agent 工具链演进；优先技术背景、理解大模型/Agent 机制、能熟练用 AI 提效。","73","中高匹配","强匹配 Agent、评测、归因和效果闭环，与你做多 Agent 审核、AI质量可控和反馈闭环的经历高度相关。","需要补生产力场景评测方法论，以及更系统的大模型评测经验表达。"
"2","美团","小团Agent AI Builder","核心本地商业-美团平台","北京市","2026-06-05","https://zhaopin.meituan.com/web/position/detail?jobUnionId=3777123757&highlightType=social","负责小团具体场景的 Agent 日常迭代，不只写需求，还要参与上下文策略、Prompt Engineering 编排、模型数据合成与本地 Demo 跑通；并独立主导 Badcase 评测、归因、调优与端到端交付闭环。","要求3年以上 Agent 产品经验，优先有 Agent/对话式 AI 端到端交付经历；强调 AI Builder 基因，要求能在产品设计与代码/算法细节间切换，具备跑代码、Prompt 调优或自动化工作流构建经验。","73","中高匹配","强调 AI Builder、Prompt 编排、Badcase 归因和本地 Demo 跑通，和你“产品+工程”复合能力很对口。","更偏 C 端本地生活场景，且要求较强 hands-on 工程参与度，需准备场景迁移说法。"
"3","美团","LongCat大模型 - 大模型评测平台产品经理","核心本地商业-基础研发平台","北京市、上海市","2026-05-29","https://zhaopin.meituan.com/web/position/detail?jobUnionId=3506281745&highlightType=social","主导评测平台核心功能迭代，包括训练追踪、评测集管理、评测实验自动化、多维报表与动态榜单，建设可追溯、可复现的评测流程与指标稳定性监控体系，并协同算法/工程团队提升评测全链路实验人效。","要求强产品思维、用户洞察和数据分析能力，能通过指标波动与失败率定位系统瓶颈；熟悉大模型评测技术栈与主流评测框架；优先有大模型评测/实验平台产品经验、开发基础或大模型落地案例。","64","partial","平台化、实验追踪、报表、评测流程可追溯等要求，和你做 AI 中台、监控评估、统一接入层的经历有较强同构。","需要补大模型评测平台专业术语、主流框架和实验管理经验表述。"
"4","美团","Agent产品经理","核心本地商业-基础研发平台","北京市","2026-04-20","https://zhaopin.meituan.com/web/social?token=c6ab1e83799a47d8b74143c2e0713657&keyword=%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86","1. 负责Agent产品的规划、设计、开发和优化工作，确保产品的持续优化和改进。
2. 负责制定Agent产品的发展战略和路线图，确保产品在市场上的竞争力。","","86","strong_match","从岗位摘要看，这是非常标准的 Agent 产品规划岗，核心就是规划、设计、路线图和持续优化。你现有优势正好是把真实业务问题拆成可落地的 Agent 链路，并能兼顾方案、原型、接入、测试与复盘，所以在“会定义产品、也能把产品做出来”这一点上非常占优。","目前只拿到了列表摘要，没有看到完整 JD；正式投递前要确认它更偏通用 Agent 平台，还是偏具体业务/搜索/商业分析场景。"
"5","美团","AI产品经理（NoCode&CatPaw系列产品）","核心本地商业-基础研发平台","北京市","2026-06-09","https://zhaopin.meituan.com/web/social?token=c6ab1e83799a47d8b74143c2e0713657&keyword=%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86","AI时代每个岗位都在被重新定义，我们在为NoCode&CatPaw系列产品寻找产品经理，在公司的划分中属于产品经理序列，但除了传统的产品经理岗位职责外，还希望你对AI产品充满热情，有很好的动手能力，借助AI工具可以出设计稿、写PRD、开发线上功能、测试、写运营策划案等。","","72","中高匹配","这条最大的亮点是它明确要求“AI Builder”型 PM，而不是纯文档型产品经理。你会自己上手 Python、Node.js、LangGraph、Codex/Claude 做 MVP，也能从需求、原型、接入到测试打通，这比传统 PM 更贴近它想要的“会用 AI 直接产出”的人。","需要准备你在 NoCode/低代码/AI 工具化工作流上的代表性例子，证明你不是只会调模型，而是真的能用工具直接产出功能和流程。"
"6","美团","AI高阶产品经理","软硬件服务-餐饮SaaS事业部","北京市、上海市","2026-04-22","https://zhaopin.meituan.com/web/position/detail?jobUnionId=4237823563&highlightType=social","1. 负责AI方向产品从需求定义到商业化落地的全链路推进。
2. AI能力与业务场景深度融合：深入商家真实经营场景，识别高价值的AI落地机会，推动大模型、工具调用、多步骤任务执行等Agent核心能力在业务场景中的落地与验证；深入连锁餐饮客户，挖掘AI能切实替代或升级的核心业务场景。","","71","中高匹配","这条虽然行业在餐饮 SaaS，但本质仍是 ToB AI 产品商业化：从需求定义、场景挖掘到 Agent 能力落地。你做企业 AI 转型、统一中台和多业务场景落地的经历，和“找到高价值场景 -> 做 MVP -> 形成复用”这套打法很接近，比纯 C 端增长岗更适合你。","缺少餐饮 SaaS 和商家经营场景经验，面试要提前补商家经营链路、门店流程、SaaS 交付和 ROI 叙事。"
"7","美团","闪购-商家端产品经理（经营工具方向）","核心本地商业-闪购事业部","北京市","2026-04-06","https://zhaopin.meituan.com/web/position/detail?jobUnionId=3839496996&highlightType=social","聚焦商家经营工具方向，围绕商品管理、经营分析、预警诊断等场景设计 AI 应用策略与产品机制；定义 AI Agent 交互策略、分层工具策略与效果评估体系，并协同工程、算法、运营推动智能经营工具落地。","要求本科及以上，有4年以上产品经验，优先 B 端商家端/经营工具/O2O 工具类背景；能将 AI 能力与商家经营逻辑结合，设计可落地、可收敛、可评估的策略方案；对数据和业务敏感。","57","weak","虽然不是纯 AI title，但核心是 B 端经营工具、AI Agent、分析预警和效果评估，和你商机平台、智能审核类产品的思路接近。","本地零售商家经营工具和 O2O 场景积累不足，且岗位文案里隐含更高年限预期。"
"8","美团","AI产品经理（AI Builder方向）","核心本地商业-美团平台","北京市","2026-05-19","https://zhaopin.meituan.com/web/social?token=c6ab1e83799a47d8b74143c2e0713657&keyword=%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86","岗位定位：我们在寻找AI Builder。不是传统产品经理的转型，而是原生于AI时代的产品构建者。你将从0到1定义和落地AI驱动的产品能力，用AI重新定义内容营销、广告投放、用户增长等核心场景。","","63","partial","这条和你的“AI产品0到1 + 自己会动手做”的气质很像，尤其适合把你用 AI 改造流程、快速做 MVP、打通原型到上线的能力讲出来。如果它真的是偏 Builder 角色，你比纯增长或纯营销背景的人更有优势。","它明显偏内容营销/广告投放/用户增长，这部分与你的央国企 ToB 业务差异较大，面试里要主动补“用户增长 + 实验 + 内容分发”认知。"
"9","美团","产品经理","核心本地商业-美团平台","北京市","2026-04-28","https://zhaopin.meituan.com/web/position/detail?jobUnionId=4131315764&highlightType=social","负责 Push 承接页面设计与迭代，联动商业化供给、权益玩法和算法策略提升访购率与收入；并探索结合大模型/AI Agent 做产品智能化、辅助决策或智能交互。","要求3年以上互联网产品经验，优先本地生活/商业化增长背景；需要理解用户分层、具备转化类产品设计和数据分析能力；优先具备 AI 产品思维与 AI 工具辅助需求分析经验。","46","weak","仍有 AI Agent 和数据驱动优化要求，能作为美团平台产品线的保底可投岗位。","岗位本质更偏 C 端增长和商业化转化，不是你简历里的强项方向。"
"10","美团","无人车业务部-营销产品经理","软硬件服务-无人车业务部","北京市","2026-05-25","https://zhaopin.meituan.com/web/position/detail?jobUnionId=4260189790&highlightType=social","负责无人车配送用户增长与营销平台化建设，覆盖拉新、激活、留存、召回、券类促销、投放触达、多触点营销体系与 ROI 归因；结合 AI 个性化推荐与用户行为数据推动从规则驱动到模型驱动的营销升级。","要求3年以上增长/营销/电商类产品经验，具备复杂项目全生命周期管理与数据分析能力；优先了解机器学习/推荐算法原理，具备营销中台或平台化产品设计经验。","33","weak","有平台化、ROI 归因、模型驱动营销闭环等要求，方法论上可迁移，适合作为尾部备选。","营销增长和无人车业务域迁移成本高，只建议放在末位保底。"
