company,source_schema,source_row_index,title,business_line,location,publish_date,post_url,experience_text,responsibility,requirement_text,jd_text,model,business_scene_fit,platform_agent_fit,execution_fit,technical_fit,domain_transfer_fit,confidence,verdict,reason,strengths,risks,total_score
腾讯,tencent,8,AI原生产品经理,CSIG / 腾讯云,深圳,2026-03-18,http://careers.tencent.com/jobdesc.html?postId=2034117546277498880,三年以上工作经验,"1.产品规划与目标定义：深入理解销售、运营、客服等内部业务流程与痛点，规划AI Agent产品的核心场景、能力矩阵与演进路线，并设定可量化的效率提升与增收目标；
2.智能体体验与流程设计：主导Agent的交互逻辑、决策流程与工具调用设计。将复杂的业务规则与AI能力，转化为简单、高效、可靠的产品功能与用户体验；
3.系统整合与自动化闭环：设计并推动AI Agent与现有业务系统（如经营系统、知识库等）的深度集成方案，实现从“感知-决策-执行-反馈”的业务自动化闭环；
4.数据驱动与效果评估：建立AI Agent产品的核心指标体系，监控使用效果、准确率与业务影响，通过数据分析驱动产品的持续迭代与优化；
5.全链路项目推动：协同算法、工程、业务与设计团队，主导产品从需求、开发、测试到上线运营的全过程，确保产品高质量落地并产生实际业务价值。",三年以上工作经验,"1.产品规划与目标定义：深入理解销售、运营、客服等内部业务流程与痛点，规划AI Agent产品的核心场景、能力矩阵与演进路线，并设定可量化的效率提升与增收目标；
2.智能体体验与流程设计：主导Agent的交互逻辑、决策流程与工具调用设计。将复杂的业务规则与AI能力，转化为简单、高效、可靠的产品功能与用户体验；
3.系统整合与自动化闭环：设计并推动AI Agent与现有业务系统（如经营系统、知识库等）的深度集成方案，实现从“感知-决策-执行-反馈”的业务自动化闭环；
4.数据驱动与效果评估：建立AI Agent产品的核心指标体系，监控使用效果、准确率与业务影响，通过数据分析驱动产品的持续迭代与优化；
5.全链路项目推动：协同算法、工程、业务与设计团队，主导产品从需求、开发、测试到上线运营的全过程，确保产品高质量落地并产生实际业务价值。",doubao-seed-2-0-pro-260215,23,24,19,13,9,high,strong_match,候选人有丰富企业级AI Agent、工作流、中台搭建经验，0-1落地能力突出，匹配腾讯云AI原生PM需求，仅工作年限较短。,"['具备多类企业AI Agent、工作流、AI中台从0到1落地经验，覆盖流程提效、多场景复用', '有完整跨部门推进、上线复盘全链路能力，熟悉LLM、RAG相关技术栈，可快速搭建MVP']","['当前工作年限不足3年，岗位要求3年以上经验存在匹配缺口', '过往是国企内部/央国企客户场景，需适配腾讯云面向更广泛客户的产品规划逻辑']",88
腾讯,tencent,15,元宝- AI策略产品经理,CSIG / 元宝,深圳,2026-05-07,http://careers.tencent.com/jobdesc.html?postId=1925398818564710400,两年以上工作经验,"1.优化Agent能力，通过包括不限于RAG、Tools、Memory等方式，不断提升用户体验；
2.了解行业最新动态，并总结产品创新路径，探索行业最佳实践；
3.抽象沉淀通用组建和能力，完善Agent平台能力，提升业务迭代效率。",两年以上工作经验,"1.优化Agent能力，通过包括不限于RAG、Tools、Memory等方式，不断提升用户体验；
2.了解行业最新动态，并总结产品创新路径，探索行业最佳实践；
3.抽象沉淀通用组建和能力，完善Agent平台能力，提升业务迭代效率。",doubao-seed-2-0-pro-260215,18,22,17,12,10,high,match,候选人有丰富Agent、AI平台落地经验，匹配岗位核心要求，但岗位面向C端，领域有一定迁移成本。,"['有Agent、AI平台0-1落地经验，熟悉RAG、工作流等相关能力', '有跨团队推进、上线复盘的成熟落地经验，懂相关技术栈']","['过往经验集中于ToB企业AI场景，岗位面向C端，存在场景迁移成本', '任职时间不满2年，未达岗位要求的两年工作经验']",79
腾讯,tencent,12,元宝- AI策略产品经理,CSIG / 元宝,北京,2026-05-14,http://careers.tencent.com/jobdesc.html?postId=1986268577531060224,一年以上工作经验,"1.优化Agent能力，通过包括不限于RAG、Tools、Memory等方式，不断提升用户体验；
2.了解行业最新动态，并总结产品创新路径，探索行业最佳实践；
3.抽象沉淀通用组建和能力，完善agent平台能力，提升业务迭代效率。",一年以上工作经验,"1.优化Agent能力，通过包括不限于RAG、Tools、Memory等方式，不断提升用户体验；
2.了解行业最新动态，并总结产品创新路径，探索行业最佳实践；
3.抽象沉淀通用组建和能力，完善agent平台能力，提升业务迭代效率。",doubao-seed-2-0-pro-260215,16,23,18,13,8,medium,中高匹配,候选人有丰富Agent、AI平台落地经验，但缺乏C端Agent优化经验，领域有一定迁移成本。,"['有AI中台、多类Agent场景0-1落地经验', '熟悉LLM、RAG、工作流等相关技术，懂工程实现']","['过往以ToB企业AI场景为主，缺乏C端Agent优化经验', '需要适配腾讯C端产品的用户体验导向逻辑']",78
腾讯,tencent,19,微信-产品经理-AI方向,WXG / 微信AI助手,广州,2026-04-02,http://careers.tencent.com/jobdesc.html?postId=2037392058448248832,不限,"1.从真实场景下的用户需求出发，负责探索微信AI应用场景并推动落地；
2.跟进并理解大模型等相关技术发展，深刻理解模型进化带来的改变，在产品的设计中充分应用模型能力。",不限,"1.从真实场景下的用户需求出发，负责探索微信AI应用场景并推动落地；
2.跟进并理解大模型等相关技术发展，深刻理解模型进化带来的改变，在产品的设计中充分应用模型能力。",doubao-seed-2-0-pro-260215,12,15,16,13,10,medium,partial,候选人有丰富ToB AI产品落地经验，但岗位为C端微信AI助手，场景匹配度不足，存在领域迁移成本。,"['具备多类AI产品0-1落地经验，跨团队推进能力强', '熟悉Agent、RAG相关技术，有AI中台、工作流设计经验']","['过往经验集中ToB领域，缺乏C端产品经验', '对微信生态用户场景无相关沉淀，场景适配成本较高']",66
腾讯,tencent,16,腾讯视频-AI 产品经理,PCG / 腾讯视频,北京,2026-04-29,http://careers.tencent.com/jobdesc.html?postId=2046845261342470144,两年以上工作经验,"1.参与腾讯视频worksolo等产品工作，包括AI Agent、skill、AI交互体验等核心模块的产品设计与迭代；
2.深入理解AI视频生成、Agent、多模态大模型等技术能力边界，将前沿AI能力产品化为普通创作者可用的功能；
3.持续关注AI行业趋势，规划核心功能，快速运用AI工具推动产品落地与版本迭代，协同算法、工程、设计、运营团队，定义产品目标与里程碑，保障产品按期高质量交付；
4.建立数据驱动的产品迭代机制，基于用户反馈与核心指标持续优化产品体验，提升AI工具的易用性与留存。",两年以上工作经验,"1.参与腾讯视频worksolo等产品工作，包括AI Agent、skill、AI交互体验等核心模块的产品设计与迭代；
2.深入理解AI视频生成、Agent、多模态大模型等技术能力边界，将前沿AI能力产品化为普通创作者可用的功能；
3.持续关注AI行业趋势，规划核心功能，快速运用AI工具推动产品落地与版本迭代，协同算法、工程、设计、运营团队，定义产品目标与里程碑，保障产品按期高质量交付；
4.建立数据驱动的产品迭代机制，基于用户反馈与核心指标持续优化产品体验，提升AI工具的易用性与留存。",doubao-seed-2-0-pro-260215,7,18,15,11,10,medium,partial,候选人AI Agent、落地能力匹配，但缺C端视频创作场景经验，领域迁移存在成本。,"['有丰富AI Agent、企业AI产品0-1落地经验', '具备跨团队协作、产品全链路闭环能力', '懂LLM、RAG相关技术及工程工具，技术理解力强']","['过往无C端视频创作领域相关产品经验', '此前聚焦ToB/企业内部场景，对C端用户需求理解不足']",61
腾讯,tencent,1,AI产品经理,PCG / 应用宝,深圳,2026-06-01,http://careers.tencent.com/jobdesc.html?postId=2027280257962377216,两年以上工作经验,"1.利用端侧的本地AI模型，挖掘并解决用户在PC端侧办公学习场景下的问题和需求；
2.理解电脑硬件、AIPC的迭代和原理；理解大模型的技术原理和能力边界，深刻理解模型进化带来的解决方式的改变，并充分应用在产品设计中。平衡模型效果和运行性能，并极致优化用户体验；
3.设计产品架构和迭代节奏，把握市场机遇，协同各端研发共同确保结果交付；
4.持续维护并发挥与合作伙伴等战略合作和规模优势。",两年以上工作经验,"1.利用端侧的本地AI模型，挖掘并解决用户在PC端侧办公学习场景下的问题和需求；
2.理解电脑硬件、AIPC的迭代和原理；理解大模型的技术原理和能力边界，深刻理解模型进化带来的解决方式的改变，并充分应用在产品设计中。平衡模型效果和运行性能，并极致优化用户体验；
3.设计产品架构和迭代节奏，把握市场机遇，协同各端研发共同确保结果交付；
4.持续维护并发挥与合作伙伴等战略合作和规模优势。",doubao-seed-2-0-pro-260215,8,12,15,12,12,high,weak,候选人擅长ToB企业AI场景落地，岗位是C端AIPC办公产品，业务场景差异大，匹配度较低。,"['具备丰富AI产品0-1落地及跨部门推进经验', '熟悉LLM、Agent、RAG等AI技术与工程实现逻辑']","['过往无C端产品经验，对端侧办公场景理解不足', '缺乏AIPC硬件、端侧模型性能优化相关经验']",59
腾讯,tencent,6,金融AI产品经理,CDG / 公共,深圳,2026-04-08,http://careers.tencent.com/jobdesc.html?postId=2034259565708734464,三年以上工作经验,"1.负责金融场景用户query回答质量提升的策略设计、验证及落地闭环，通过持续策略优化提升场景整体回答质量，并满足场景个性化需求；
2.与技术团队深度协作，通过驱动“模型+数据+工程”的三角协同，实现整体能力面向用户价值的持续优化；
3.调研市场动向，为创新提供思路；结合业务实际制定产品长期战略、规划和路线图。",三年以上工作经验,"1.负责金融场景用户query回答质量提升的策略设计、验证及落地闭环，通过持续策略优化提升场景整体回答质量，并满足场景个性化需求；
2.与技术团队深度协作，通过驱动“模型+数据+工程”的三角协同，实现整体能力面向用户价值的持续优化；
3.调研市场动向，为创新提供思路；结合业务实际制定产品长期战略、规划和路线图。",doubao-seed-2-0-pro-260215,8,12,13,10,12,high,weak,候选人缺乏金融场景相关AI产品经验，匹配度较低。,"['具备AI产品0-1落地、跨团队推进、上线复盘的完整能力', '熟悉Agent、AI中台、RAG相关技术，工程理解能力较强']","['无金融领域AI产品经验，领域迁移成本较高', '当前从业时间不足三年，未达岗位要求的工作年限']",55
腾讯,tencent,2,QQ-Agent产品经理,PCG / QQ,深圳,2026-06-08,http://careers.tencent.com/jobdesc.html?postId=2029837577405759488,一年以上工作经验,"1.负责QQ Agent产品规划与迭代，构建以用户需求为中心的智能交互体验；
2.深入理解用户场景，推动产品在消息提醒、好友状态感知、社交关系拓展等场景应用落地；
3.结合用户行为与反馈，持续优化RAG、Tools、Memory等能力，提升Agent的精准性与个性化水平；
4.协同算法、工程、设计等团队，高效推进产品方案从设计到上线的全过程。",一年以上工作经验,"1.负责QQ Agent产品规划与迭代，构建以用户需求为中心的智能交互体验；
2.深入理解用户场景，推动产品在消息提醒、好友状态感知、社交关系拓展等场景应用落地；
3.结合用户行为与反馈，持续优化RAG、Tools、Memory等能力，提升Agent的精准性与个性化水平；
4.协同算法、工程、设计等团队，高效推进产品方案从设计到上线的全过程。",doubao-seed-2-0-pro-260215,8,12,14,10,9,high,weak,候选人擅长ToB企业AI产品，岗位为C端QQ社交Agent，业务场景差异大，领域迁移成本高。,"['具备Agent、RAG等AI产品技术理解', '有AI产品0-1落地及跨团队推进经验']","['过往均为ToB场景，无C端社交产品经验', '对QQ用户社交场景缺乏相关沉淀']",53
腾讯,tencent,18,游戏美术 AIGC 产品经理,IEG / BG公共（IEG）,深圳,2026-04-09,http://careers.tencent.com/jobdesc.html?postId=2036274661179944960,三年以上工作经验,"1.产品规划与路线图管理：负责 AIGC 产品的整体规划、版本迭代计划制定，明确产品目标与里程碑，确保产品按期交付并持续迭代优化；
2.需求管理与优先级决策：统筹产品、TA、算法等多方需求，建立需求池管理机制，基于业务价值与技术可行性进行优先级排序，推动需求从定义到上线的全流程闭环；
3.跨团队协同与资源整合：作为产品与技术团队的桥梁，协调研发资源分配，推动产品-设计-开发-测试协同，把控产品质量与交付节奏，保障敏捷迭代高效运转；
4.产品流程与规范建设：建立并完善产品研发全流程规范（需求评审、版本管理、上线验收等），沉淀产品方法论与最佳实践，持续提升团队产品化能力；
5.风险预判与问题解决：具备敏锐的风险意识，提前识别产品/项目风险并制定应对预案，快速协调资源解决阻塞问题，确保产品平稳推进；
6.数据驱动与效果度量：定期输出产品迭代报告，建立 AI 工具提效的量化指标体系（如效率提升率、成本节约等），通过数据驱动产品决策，向上汇报并沉淀可复用的方法论。",三年以上工作经验,"1.产品规划与路线图管理：负责 AIGC 产品的整体规划、版本迭代计划制定，明确产品目标与里程碑，确保产品按期交付并持续迭代优化；
2.需求管理与优先级决策：统筹产品、TA、算法等多方需求，建立需求池管理机制，基于业务价值与技术可行性进行优先级排序，推动需求从定义到上线的全流程闭环；
3.跨团队协同与资源整合：作为产品与技术团队的桥梁，协调研发资源分配，推动产品-设计-开发-测试协同，把控产品质量与交付节奏，保障敏捷迭代高效运转；
4.产品流程与规范建设：建立并完善产品研发全流程规范（需求评审、版本管理、上线验收等），沉淀产品方法论与最佳实践，持续提升团队产品化能力；
5.风险预判与问题解决：具备敏锐的风险意识，提前识别产品/项目风险并制定应对预案，快速协调资源解决阻塞问题，确保产品平稳推进；
6.数据驱动与效果度量：定期输出产品迭代报告，建立 AI 工具提效的量化指标体系（如效率提升率、成本节约等），通过数据驱动产品决策，向上汇报并沉淀可复用的方法论。",doubao-seed-2-0-pro-260215,5,15,15,9,8,high,weak,具备AI产品落地、跨团队协作通用能力，但无游戏美术领域相关积累，领域适配成本高。,"['有丰富AI产品0-1落地经验，具备跨团队协同推进能力', '熟悉AI平台、Agent、工作流设计，掌握相关技术工具']","['无游戏美术行业相关经验，对美术AIGC场景缺乏认知', '原经验集中在央国企ToB/内部流程场景，业务适配成本高']",52
腾讯,tencent,13,游戏AI-高级产品经理,TEG,深圳,2026-05-13,http://careers.tencent.com/jobdesc.html?postId=1897945233740599296,三年以上工作经验,"1.负责探索AI技术在游戏中的应用，包括但不限于以AI为核心的玩法设计、拟人AI、AI测试等；
2.熟悉游戏研发流程与管线，根据项目需求推动AI能力产品化，用标准化的AI工具提升游戏体验或研发效率；
3.深入了解AIGC相关技术与业界进展，了解AI的能力边界并建设合理的评估标准体系。",三年以上工作经验,"1.负责探索AI技术在游戏中的应用，包括但不限于以AI为核心的玩法设计、拟人AI、AI测试等；
2.熟悉游戏研发流程与管线，根据项目需求推动AI能力产品化，用标准化的AI工具提升游戏体验或研发效率；
3.深入了解AIGC相关技术与业界进展，了解AI的能力边界并建设合理的评估标准体系。",doubao-seed-2-0-pro-260215,5,12,11,10,10,high,weak,候选人有企业AI产品经验，但无游戏领域相关积累，业务场景匹配度低。,"['有AI产品0-1落地和跨部门推进经验', '熟悉LLM、Agent、RAG等相关技术与平台设计']","['无游戏行业相关沉淀，业务场景迁移成本高', '岗位为高级PM，候选人工作年限较短']",48
