company,source_schema,source_row_index,title,business_line,location,publish_date,post_url,experience_text,responsibility,requirement_text,jd_text,model,business_scene_fit,platform_agent_fit,execution_fit,technical_fit,domain_transfer_fit,confidence,verdict,reason,strengths,risks,total_score
拼多多,pdd_tampermonkey,20,Agent智能服务产品经理,产品类,上海,2026-05-17,https://careers.pddglobalhr.com/jobs/detail?code=PR023937,1. 1年以上互联网产品经验，电商/服务/B端方向皆可，不要求大模型背景。2. 逻辑清楚，数据敏感。有独立拆解复杂问题的能力。3. 具备高度的责任心和较强的自我驱动力、抗压能力，善于合作，善于协调和调度资源推动业务发展。,1. 负责智能聊天机器人、智能服务工作台等智能化产品的规划和落地，推动Agent在真实消费者场景中持续迭代2. 面向消费者体验问题，通过机器人解决、机器人辅助人工解决等形式，革新解决能力3. 面向商家服务场景，通过机器人解决、机器人辅助商家等形式，提升商家售前售后解决能力4. 联合业务、算法、工程团队一起优化端到端的智能服务体验，对用户满意度负责,1. 1年以上互联网产品经验，电商/服务/B端方向皆可，不要求大模型背景。2. 逻辑清楚，数据敏感。有独立拆解复杂问题的能力。3. 具备高度的责任心和较强的自我驱动力、抗压能力，善于合作，善于协调和调度资源推动业务发展。,"岗位职责：
1. 负责智能聊天机器人、智能服务工作台等智能化产品的规划和落地，推动Agent在真实消费者场景中持续迭代2. 面向消费者体验问题，通过机器人解决、机器人辅助人工解决等形式，革新解决能力3. 面向商家服务场景，通过机器人解决、机器人辅助商家等形式，提升商家售前售后解决能力4. 联合业务、算法、工程团队一起优化端到端的智能服务体验，对用户满意度负责

任职要求：
1. 1年以上互联网产品经验，电商/服务/B端方向皆可，不要求大模型背景。2. 逻辑清楚，数据敏感。有独立拆解复杂问题的能力。3. 具备高度的责任心和较强的自我驱动力、抗压能力，善于合作，善于协调和调度资源推动业务发展。

加分项：
/",doubao-seed-2-0-pro-260215,12,20,18,15,9,medium,partial,候选人有丰富Agent/AI产品0-1经验，但过往为央国企ToB场景，需迁移到电商消费/商家服务场景。,"['具备多类Agent产品0-1落地与跨团队推进经验', '熟悉LLM、RAG等相关技术，有AI中台/工作流设计能力']","['过往无电商C端/商家服务场景经验，领域迁移成本较高', '过往为国企工作背景，可能需要适应互联网快节奏高压环境']",74
拼多多,pdd_tampermonkey,37,产品经理-企业信息化平台,产品类,上海,2026-04-01,https://careers.pddglobalhr.com/jobs/detail?code=PR013536,"1、本科以上学历，3年以上产品经理工作经验，主导过互联网产品全生命周期的管理。有企业信息化产品（如OA, E-HR, ERP等）的产品和项目管理经验优先；2、思维敏捷，性格开朗，责任感强，工作积极主动，具备学习意识，有良好的团队协作意识；3、具备沟通协调, 项目推进,文档书写等产品岗位能力；能够熟练应用制图工具完成产品原型、流程图、PRD文档编辑，能够熟练使用Jira, Wiki管理项目进度和项目文档。",1、负责公司企业信息化产品的需求分析，业务流程梳理，产品方案规划设计，交互和原型设计，最终产出详细的PRD文档；2、负责与业务、设计等各环节沟通协调，向开发人员讲解业务需求，确保产品功能被正确、及时的交付，并控制项目进度；3、依据需求分析文档，对技术开发结果进行需求验证，跟进产品发布；4、产品效果的持续跟踪和监控、产品持续迭代优化等；5、承担面向内部的正式场合培训用户工作。,"1、本科以上学历，3年以上产品经理工作经验，主导过互联网产品全生命周期的管理。有企业信息化产品（如OA, E-HR, ERP等）的产品和项目管理经验优先；2、思维敏捷，性格开朗，责任感强，工作积极主动，具备学习意识，有良好的团队协作意识；3、具备沟通协调, 项目推进,文档书写等产品岗位能力；能够熟练应用制图工具完成产品原型、流程图、PRD文档编辑，能够熟练使用Jira, Wiki管理项目进度和项目文档。","岗位职责：
1、负责公司企业信息化产品的需求分析，业务流程梳理，产品方案规划设计，交互和原型设计，最终产出详细的PRD文档；2、负责与业务、设计等各环节沟通协调，向开发人员讲解业务需求，确保产品功能被正确、及时的交付，并控制项目进度；3、依据需求分析文档，对技术开发结果进行需求验证，跟进产品发布；4、产品效果的持续跟踪和监控、产品持续迭代优化等；5、承担面向内部的正式场合培训用户工作。

任职要求：
1、本科以上学历，3年以上产品经理工作经验，主导过互联网产品全生命周期的管理。有企业信息化产品（如OA, E-HR, ERP等）的产品和项目管理经验优先；2、思维敏捷，性格开朗，责任感强，工作积极主动，具备学习意识，有良好的团队协作意识；3、具备沟通协调, 项目推进,文档书写等产品岗位能力；能够熟练应用制图工具完成产品原型、流程图、PRD文档编辑，能够熟练使用Jira, Wiki管理项目进度和项目文档。

加分项：
无",doubao-seed-2-0-pro-260215,15,16,17,10,10,medium,partial,有企业内部信息化落地、跨部门推进经验，但缺乏OA/ERP等场景经验，AI能力匹配度一般。,"['具备ToB企业级产品0-1落地、跨团队协调能力', '有企业中台、内部流程提效产品设计经验']","['无OA、E-HR、ERP等传统企业信息化场景经验', '工作年限较短，未达岗位要求的3年经验']",68
拼多多,pdd_tampermonkey,6,智能客服产品经理,产品类,上海,2026-06-03,https://careers.pddglobalhr.com/jobs/detail?code=PR021574,"1. 对大模型、人工智能感兴趣，或有相关经验；

2. 有较强的学习能力，创新能力，和部门协作与沟通能力；

3. 具备较强的数据敏感性、逻辑思维能力强。","1、负责电商平台的智能客服系统产品设计，构建高效和智能化的服务流程，提升消费者服务体验；

2、深入分析消费者求助问题，设计并实现全链路智能化的服务体验，包括：平台售后机器人、售前商家机器人等智能化产品实现；

3、负责语言大模型对话能力的产品应用落地，以提高智能客服的自动化、智能化和个性化，实现多语言语种、全球市场都得到优质服务体验；

4.对相关业务数据负责，结合算法模型能力，给出可执行的解决方案；

5. 把控进度，协调资源，保证模块迭代优化效果。","1. 对大模型、人工智能感兴趣，或有相关经验；

2. 有较强的学习能力，创新能力，和部门协作与沟通能力；

3. 具备较强的数据敏感性、逻辑思维能力强。","岗位职责：
1、负责电商平台的智能客服系统产品设计，构建高效和智能化的服务流程，提升消费者服务体验；

2、深入分析消费者求助问题，设计并实现全链路智能化的服务体验，包括：平台售后机器人、售前商家机器人等智能化产品实现；

3、负责语言大模型对话能力的产品应用落地，以提高智能客服的自动化、智能化和个性化，实现多语言语种、全球市场都得到优质服务体验；

4.对相关业务数据负责，结合算法模型能力，给出可执行的解决方案；

5. 把控进度，协调资源，保证模块迭代优化效果。

任职要求：
1. 对大模型、人工智能感兴趣，或有相关经验；

2. 有较强的学习能力，创新能力，和部门协作与沟通能力；

3. 具备较强的数据敏感性、逻辑思维能力强。

加分项：
暂无",doubao-seed-2-0-pro-260215,11,18,15,12,12,medium,partial,候选人有AI产品0-1及Agent落地经验，但缺乏电商、智能客服相关场景沉淀，需适配C端业务逻辑。,"['有丰富AI产品0-1落地、跨部门推进经验', '熟悉Agent、LLM应用、AI中台等相关技术与产品设计']","['无电商、智能客服相关业务场景经验', '过往以ToB/企业内部AI场景为主，需适配C端业务逻辑']",68
拼多多,pdd_tampermonkey,38,商家端产品经理,产品类,上海,2026-03-17,https://careers.pddglobalhr.com/jobs/detail?code=PR021337,1、本科及以上学历，2年及以上互联网产品工作经验，有大型平台B端产品工作经验者优先，有知名互联网公司工作经验优先；2、有较强的自驱力，快速学习，融入新领域，确保项目落地；3、对业务数据敏感，有较好的数据分析能力和优秀的逻辑思维，可以从业务数据波动中发现问题，提炼需求；4、具有优秀的沟通能力、执行力和产品判断力，情商高，有极强的工作热情。,1、熟悉并了解商家端系统行业痛点问题，能够有针对性的制定产品方案并落地；2、协调各方资源，带领团队一起推动相关产品的设计、开发及上线，并对产品质量进行把控； 3、负责产品从需求调研到上线落地的完整流程，具备独立B端产品设计经验。,1、本科及以上学历，2年及以上互联网产品工作经验，有大型平台B端产品工作经验者优先，有知名互联网公司工作经验优先；2、有较强的自驱力，快速学习，融入新领域，确保项目落地；3、对业务数据敏感，有较好的数据分析能力和优秀的逻辑思维，可以从业务数据波动中发现问题，提炼需求；4、具有优秀的沟通能力、执行力和产品判断力，情商高，有极强的工作热情。,"岗位职责：
1、熟悉并了解商家端系统行业痛点问题，能够有针对性的制定产品方案并落地；2、协调各方资源，带领团队一起推动相关产品的设计、开发及上线，并对产品质量进行把控； 3、负责产品从需求调研到上线落地的完整流程，具备独立B端产品设计经验。

任职要求：
1、本科及以上学历，2年及以上互联网产品工作经验，有大型平台B端产品工作经验者优先，有知名互联网公司工作经验优先；2、有较强的自驱力，快速学习，融入新领域，确保项目落地；3、对业务数据敏感，有较好的数据分析能力和优秀的逻辑思维，可以从业务数据波动中发现问题，提炼需求；4、具有优秀的沟通能力、执行力和产品判断力，情商高，有极强的工作热情。

加分项：
无",doubao-seed-2-0-pro-260215,10,8,15,10,15,medium,weak,候选人有B端产品落地经验，但缺乏电商商家端场景沉淀，AI能力与岗位匹配度低，迁移成本较高。,"['有丰富B端AI产品0-1落地经验', '具备跨部门协调推动项目能力']","['无电商商家端相关业务经验', 'AI相关能力与岗位需求不匹配']",58
拼多多,pdd_tampermonkey,29,合规产品经理,产品类,上海,2026-05-11,https://careers.pddglobalhr.com/jobs/detail?code=PR020870,1. 本科以上学历，一年以上产品相关经验；2. 对互联网电商系统的研发、运维、运营有一定的理解，能够基于实际产品、运营背景构建合规体系；3. 具备较强的跨部门、跨领域沟通协调能力，且工作推动力强；4. 具备良好的逻辑和抽象能力，较好的风险敏锐度、以及持续高效的学习能力，能够从实战中不断总结经验.,1. 负责公司合规管理平台产品规划、需求分析、方案设计、产品落地实施等工作；2. 与公司各团队共同协作，构建公司的合规管理体系和流程框架，并以此为基础，借鉴行业先进经验，形成可落地的解决方案和产品；3. 协同开发和数据团队完成合规管理平台产品的实现和落地。,1. 本科以上学历，一年以上产品相关经验；2. 对互联网电商系统的研发、运维、运营有一定的理解，能够基于实际产品、运营背景构建合规体系；3. 具备较强的跨部门、跨领域沟通协调能力，且工作推动力强；4. 具备良好的逻辑和抽象能力，较好的风险敏锐度、以及持续高效的学习能力，能够从实战中不断总结经验.,"岗位职责：
1. 负责公司合规管理平台产品规划、需求分析、方案设计、产品落地实施等工作；2. 与公司各团队共同协作，构建公司的合规管理体系和流程框架，并以此为基础，借鉴行业先进经验，形成可落地的解决方案和产品；3. 协同开发和数据团队完成合规管理平台产品的实现和落地。

任职要求：
1. 本科以上学历，一年以上产品相关经验；2. 对互联网电商系统的研发、运维、运营有一定的理解，能够基于实际产品、运营背景构建合规体系；3. 具备较强的跨部门、跨领域沟通协调能力，且工作推动力强；4. 具备良好的逻辑和抽象能力，较好的风险敏锐度、以及持续高效的学习能力，能够从实战中不断总结经验.

加分项：
1.熟悉合规政策法规优先；2.有互联网公司合规相关项目经验者优先",doubao-seed-2-0-pro-260215,8,12,15,10,13,medium,weak,候选人有AI产品落地及跨部门推进经验，但缺乏电商合规领域相关经验，业务匹配度低。,"['有0-1产品落地、跨团队推进经验', '具备AI产品技术理解及中台建设能力']","['无电商行业及合规领域相关经验，领域迁移成本高', '过往为ToB/企业AI产品经验，对电商合规业务场景陌生']",58
拼多多,pdd_tampermonkey,4,平台服务B端产品经理,产品类,上海,2026-06-05,https://careers.pddglobalhr.com/jobs/detail?code=PR023594,"1.3年以上客服（呼叫中心）行业产品经验，有过智能客服工作台、工单系统、呼叫中心、质检、外包管理等模块的项目经验优先；

2.具备优秀的逻辑思维能力，善于系统性思考，抽象简化复杂问题；

3.项目中能够独当一面，具备优秀的沟通能力和跨团队合作能力、较强的抗压能力；

4.经历过客服中台能力建设及应用项目的优先，大型客服中心（千人以上或多业态客服）供职经历优先。","1.负责平台客服工具类产品的规划迭代及运营工作，对产品的效果负责；

2.主动与业务、数据、工程、算法等团队密切合作，输出产品化、智能化的产品方案解决业务痛点问题，提升客服的服务效率。","1.3年以上客服（呼叫中心）行业产品经验，有过智能客服工作台、工单系统、呼叫中心、质检、外包管理等模块的项目经验优先；

2.具备优秀的逻辑思维能力，善于系统性思考，抽象简化复杂问题；

3.项目中能够独当一面，具备优秀的沟通能力和跨团队合作能力、较强的抗压能力；

4.经历过客服中台能力建设及应用项目的优先，大型客服中心（千人以上或多业态客服）供职经历优先。","岗位职责：
1.负责平台客服工具类产品的规划迭代及运营工作，对产品的效果负责；

2.主动与业务、数据、工程、算法等团队密切合作，输出产品化、智能化的产品方案解决业务痛点问题，提升客服的服务效率。

任职要求：
1.3年以上客服（呼叫中心）行业产品经验，有过智能客服工作台、工单系统、呼叫中心、质检、外包管理等模块的项目经验优先；

2.具备优秀的逻辑思维能力，善于系统性思考，抽象简化复杂问题；

3.项目中能够独当一面，具备优秀的沟通能力和跨团队合作能力、较强的抗压能力；

4.经历过客服中台能力建设及应用项目的优先，大型客服中心（千人以上或多业态客服）供职经历优先。

加分项：
无",doubao-seed-2-0-pro-260215,8,12,15,12,10,medium,weak,候选人无客服领域沉淀，仅通用AI产品、中台、0-1能力可复用，匹配度较低。,"['具备AI产品0-1落地、跨团队推进经验', '熟悉AI中台、Agent、工作流设计，有工程能力']","['无客服/呼叫中心相关行业经验，领域迁移成本高', '岗位要求3年以上客服产品经验，候选人履历较短']",57
拼多多,pdd_tampermonkey,8,策略中台高级产品经理,产品类,上海,2026-05-27,https://careers.pddglobalhr.com/jobs/detail?code=PR016472,"1. 3-5年产品经理工作经验，至少1年以上中台产品规划工作经验，有客服业务、消费者服务相关履历的优先考虑；

2. 拥有计算机等理工类专业背景、互联网电商相关行业背景；

3. 具备优秀的产品设计和逻辑思维能力，擅长架构设计和问题抽象；

4. 拥有严谨的工作态度和高度的责任心，对系统的严谨和鲁棒能保持持久高度关心。","1. 负责拼多多客服业务智能策略相关的基础产品和架构设计，以此支撑消费者售中/售后问题的智能、准确、高效解决；

2. 负责消费者售中/售后问题自动化策略流程、半自动化策略流程的流程编排设计、基础产品规划等；

3. 负责承接业务团队针对消费者各问题场景的策略需求，保障业务策略的高效、严谨落地；

4. 对策略中台的简洁性易用性、健康完善度负责，保证策略中台的架构清晰、逻辑严谨以及多业务场景的敏捷接入。","1. 3-5年产品经理工作经验，至少1年以上中台产品规划工作经验，有客服业务、消费者服务相关履历的优先考虑；

2. 拥有计算机等理工类专业背景、互联网电商相关行业背景；

3. 具备优秀的产品设计和逻辑思维能力，擅长架构设计和问题抽象；

4. 拥有严谨的工作态度和高度的责任心，对系统的严谨和鲁棒能保持持久高度关心。","岗位职责：
1. 负责拼多多客服业务智能策略相关的基础产品和架构设计，以此支撑消费者售中/售后问题的智能、准确、高效解决；

2. 负责消费者售中/售后问题自动化策略流程、半自动化策略流程的流程编排设计、基础产品规划等；

3. 负责承接业务团队针对消费者各问题场景的策略需求，保障业务策略的高效、严谨落地；

4. 对策略中台的简洁性易用性、健康完善度负责，保证策略中台的架构清晰、逻辑严谨以及多业务场景的敏捷接入。

任职要求：
1. 3-5年产品经理工作经验，至少1年以上中台产品规划工作经验，有客服业务、消费者服务相关履历的优先考虑；

2. 拥有计算机等理工类专业背景、互联网电商相关行业背景；

3. 具备优秀的产品设计和逻辑思维能力，擅长架构设计和问题抽象；

4. 拥有严谨的工作态度和高度的责任心，对系统的严谨和鲁棒能保持持久高度关心。

加分项：
无",doubao-seed-2-0-pro-260215,8,15,12,10,11,medium,weak,候选人有AI中台和智能体落地经验，但缺乏电商客服场景沉淀，行业迁移成本较高。,"['有企业级AI中台0-1落地及多场景复用经验', '具备AI Agent、工作流设计能力，懂相关技术栈']","['无电商、客服相关业务经验，场景适配成本高', '工作年限较短，互联网大厂中台复杂度适配待验证']",56
拼多多,pdd_tampermonkey,19,Agent策略产品经理,产品类,上海,2026-05-17,https://careers.pddglobalhr.com/jobs/detail?code=PR023782,- 3-5年电商平台及相关领域产品经验，有商品治理、agent深度工作应用相关经验者优先考虑；- 熟悉电商生态，对商家经营、消费者心理、平台规则有深刻理解；- 具备优秀的逻辑推理能力、问题抽象能力、策略制定能力、系统设计能力，能独立完成策略从0到1的构建；- 具备较强的沟通能力与项目推动力，较强的抗压能力。,1. 负责特定业务领域的策略制定，完成从复杂问题诊断、根因分析到长效解决方案设计的全链路工作，推动体验问题的系统化解决；2. 构建可复用的包含商品特征、商家行为、行业类目的知识库与案例库；3. 负责设计证据收集与验证机制，为责任判定提供可信依据，平衡消费者体验与商家体验；4. 设计差异化策略，通过产品化工具帮助商家自我诊断、优化商品信息与服务流程。,- 3-5年电商平台及相关领域产品经验，有商品治理、agent深度工作应用相关经验者优先考虑；- 熟悉电商生态，对商家经营、消费者心理、平台规则有深刻理解；- 具备优秀的逻辑推理能力、问题抽象能力、策略制定能力、系统设计能力，能独立完成策略从0到1的构建；- 具备较强的沟通能力与项目推动力，较强的抗压能力。,"岗位职责：
1. 负责特定业务领域的策略制定，完成从复杂问题诊断、根因分析到长效解决方案设计的全链路工作，推动体验问题的系统化解决；2. 构建可复用的包含商品特征、商家行为、行业类目的知识库与案例库；3. 负责设计证据收集与验证机制，为责任判定提供可信依据，平衡消费者体验与商家体验；4. 设计差异化策略，通过产品化工具帮助商家自我诊断、优化商品信息与服务流程。

任职要求：
- 3-5年电商平台及相关领域产品经验，有商品治理、agent深度工作应用相关经验者优先考虑；- 熟悉电商生态，对商家经营、消费者心理、平台规则有深刻理解；- 具备优秀的逻辑推理能力、问题抽象能力、策略制定能力、系统设计能力，能独立完成策略从0到1的构建；- 具备较强的沟通能力与项目推动力，较强的抗压能力。

加分项：
/",doubao-seed-2-0-pro-260215,7,15,12,12,8,high,weak,候选人有AI Agent产品能力，但缺乏电商、商品治理相关业务经验，领域迁移成本高。,"['具备AI Agent、多场景0-1落地经验', '熟悉AI相关技术栈，有中台、工作流设计能力']","['无电商平台、商品治理相关业务沉淀', '对电商生态、商家/消费者运营认知不足']",54
拼多多,pdd_tampermonkey,11,产品经理（规则策略）,产品类,上海,2026-05-21,https://careers.pddglobalhr.com/jobs/detail?code=PR022880,"1、本科及以上学历，2 年以上产品经理经验，有中后台产品规划落地经验（规则、风控策略背景优先）；

2、具备良好的逻辑和抽象能力，较好的风险敏锐度、以及持续高效的学习能力，能够从实战中不断总结经验；

3、优秀的沟通协调能力和高效的推动项目落地能力。","1、负责电商平台规则系统的设计、规划和策略制定；

2、根据法律法规要求、搭建与商品安全合规相关的规则体系和系统；

3、与相关团队合作，制定数据识别策略、建立并完善规则识别系统，提升风险识别系统能力；

4、对审核系统进行设计和落地，制定和优化审核策略，提升审核效率和准确率。","1、本科及以上学历，2 年以上产品经理经验，有中后台产品规划落地经验（规则、风控策略背景优先）；

2、具备良好的逻辑和抽象能力，较好的风险敏锐度、以及持续高效的学习能力，能够从实战中不断总结经验；

3、优秀的沟通协调能力和高效的推动项目落地能力。","岗位职责：
1、负责电商平台规则系统的设计、规划和策略制定；

2、根据法律法规要求、搭建与商品安全合规相关的规则体系和系统；

3、与相关团队合作，制定数据识别策略、建立并完善规则识别系统，提升风险识别系统能力；

4、对审核系统进行设计和落地，制定和优化审核策略，提升审核效率和准确率。

任职要求：
1、本科及以上学历，2 年以上产品经理经验，有中后台产品规划落地经验（规则、风控策略背景优先）；

2、具备良好的逻辑和抽象能力，较好的风险敏锐度、以及持续高效的学习能力，能够从实战中不断总结经验；

3、优秀的沟通协调能力和高效的推动项目落地能力。

加分项：
-",doubao-seed-2-0-pro-260215,8,10,15,10,11,medium,weak,候选人有AI审核/规则设计经验，但缺乏电商风控、平台规则相关背景，领域迁移成本较高。,"['具备0-1AI产品落地、跨团队推进经验', '有审核类AI场景设计、规则策略相关经验']","['无电商业务、平台风控规则相关经验', '岗位非AI产品方向，与求职目标匹配度低']",54
拼多多,pdd_tampermonkey,12,商家入驻产品经理,产品类,上海,2026-05-18,https://careers.pddglobalhr.com/jobs/detail?code=PR023849,"1、有能力拆解复杂系统（交易/风控/规则/流程），并抽象成产品结构；

2、对平台型业务有兴趣（电商、商家侧、供给体系等）；

3、能在“规则复杂性”和“用户体验”之间找到平衡，以用户为中心、具备同理心；

4、有数据敏感度，能通过数据发现问题并验证方案；

5、1-3年产品经验，有B端/平台经验者优先。","1、参与设计整套供给与风控的底层结构，设计从注册到审核、入驻、稳定经营的全链路体系；

2、将复杂的合规、审核与治理规则抽象为可规模化运行的产品能力；

3、与招商、运营、风控团队协同，打通入驻与后续经营、留存的联动。","1、有能力拆解复杂系统（交易/风控/规则/流程），并抽象成产品结构；

2、对平台型业务有兴趣（电商、商家侧、供给体系等）；

3、能在“规则复杂性”和“用户体验”之间找到平衡，以用户为中心、具备同理心；

4、有数据敏感度，能通过数据发现问题并验证方案；

5、1-3年产品经验，有B端/平台经验者优先。","岗位职责：
1、参与设计整套供给与风控的底层结构，设计从注册到审核、入驻、稳定经营的全链路体系；

2、将复杂的合规、审核与治理规则抽象为可规模化运行的产品能力；

3、与招商、运营、风控团队协同，打通入驻与后续经营、留存的联动。

任职要求：
1、有能力拆解复杂系统（交易/风控/规则/流程），并抽象成产品结构；

2、对平台型业务有兴趣（电商、商家侧、供给体系等）；

3、能在“规则复杂性”和“用户体验”之间找到平衡，以用户为中心、具备同理心；

4、有数据敏感度，能通过数据发现问题并验证方案；

5、1-3年产品经验，有B端/平台经验者优先。

加分项：
/",doubao-seed-2-0-pro-260215,8,10,15,7,12,high,weak,候选人擅长企业AI产品落地，无电商商家入驻相关经验，业务匹配度低，领域迁移成本较高。,"['有0-1产品落地经验，跨团队协作能力强', '具备复杂流程拆解、抽象产品化的能力']","['无电商商家侧、供给体系相关业务经验', 'AI相关能力与该岗位需求匹配度低']",52
