"Rank","SelectionMethod","SourceRowIndex","RecruitPostName","BusinessLine","LocationName","LastUpdateTime","PostURL","ManualMatchReason","PotentialGap","Responsibility","Requirement"
"1","执行日2026-06-08；近3个月过滤+排除5年以上+豆包Top50初筛后人工复核","67","AI产品经理-集团信息系统","集团信息系统","上海","2026-05-19","https://jobs.bytedance.com/experienced/position/7641521825382500661/detail","这是字节里和你现有履历最同构的岗位之一：企业内部多业务域 AI 场景挖掘、Agent/RAG/MCP/Skill、0到1 落地、评测闭环、跨团队推动，你现在做的集团 AI 转型和多场景智能体基本可以一一对应。","需要补更大型集团信息系统的复杂度认知，以及 FDE/内部部署方法论表达。","1、AI场景挖掘与产品规划
1）深度调研集团信息系统覆盖的全流程业务痛点，联合业务方挖掘财务、人力、采购、法务等AI应用场景，输出结构化需求文档与用户故事地图；
2）负责AI Agent在集团信息系统各业务场景的产品规划与路线图制定，独立完成从0到1的产品设计与迭代；
3）跟踪LLM、Agent、NLP、RAG等前沿技术动态，定义产品智能化方向与核心价值；
2、Agent架构设计与产品落地
1）主导Agent的产品设计，包括知识问答(RAG)、工具调用链、MCP/Skill扩展等核心模块的规划与优化；
2）输出原型设计及技术实现路径，推动Agent/Skill在业务场景的部署与落地，确保方案兼顾技术可行性与业务实用性；
3、项目推进与跨团队协作
1）制定产品路线图与迭代计划，明确各阶段目标与交付物；
2）协调算法、研发、测试、业务等跨职能团队，推动AI能力在不同业务板块的复用与落地；
3）建立与业务方的需求对接机制，组织评审与验收会议，保障项目按时高质量交付；
4、效果评估与持续优化
1）搭建完善的效果评估体系(测评集构建、准出标准定义)，跟踪产品上线后的关键指标(如成本降低率、效率提升、风险识别准确率)与用户反馈；
2）通过数据分析定位问题，制定迭代优化策略；
3）沉淀AI产品设计方法论、需求模板、Skill资产等，形成产品持续优化闭环。","1、本科及以上学历，计算机科学、人工智能、信息管理、供应链管理或相关专业优先；
2、年限暂不设限，具备B端产品经理经验、AI/LLM相关产品经验，具备完整AI产品从设计到落地的项目案例，具备扎实的产品设计能力及从0到1的产品落地经验；
3、深入理解LLM、NLP、Agent等核心技术原理，熟悉Agent能力边界、产品架构、技术实现与评测方法，熟悉Prompt、Context、Harness、CLI、RAG、MCP/Skill等应用技术路径，能与研发团队高效沟通技术方案的可行性；
4、掌握常用数据分析工具，具备通过数据评估产品效果的能力，有A/B测试设计与解读经验者优先；
5、熟悉集团信息系统相关业务领域（财务、人力、采购、法务等）业务逻辑与合规要求者优先，能将复杂业务需求转化为清晰的产品方案，具备FDE（业务部署）相关能力者优先；
6、优秀的跨部门沟通、表达、逻辑思维与项目管理能力，能独立对接业务方需求并推动产品落地。"
"2","执行日2026-06-08；近3个月过滤+排除5年以上+豆包Top50初筛后人工复核","109","AI产品经理（Agent/开放平台方向）-Spring产品","Spring产品","北京","2026-04-07","https://jobs.bytedance.com/experienced/position/7625934162377230597/detail","开放能力、接口规范、工具链、任务编排、权限控制、版本治理、监控评估，这一整套平台产品要求和你现在的 AI 统一接入层、工具调用、权限边界、效果闭环能力高度贴合。属于少见的强平台匹配岗位。","开放平台生态和标准化治理经验需要再讲得更体系化。","1、负责开放平台的产品规划与落地，设计开放能力、接口规范、接入机制和生态规则；
2、与算法、工程协同，建设Agent调用工具链与任务编排能力，让模型可稳定调用工具能力完成任务；
3、围绕若干个服务场景，抽象标准能力模块，提升任务成功率、调用效率和平台可扩展性；
4、推动模块化开发、能力解耦、版本治理、权限控制、监控评估等平台化机制落地；
5、理解模型侧约束，能与算法团队共同定义Tool Schema、调用策略、反馈闭环和评测指标。","1、产品抽象能力强，能把具体场景沉淀为通用能力和平台机制；
2、技术理解较深，理解模块化开发、接口协议、权限体系、服务治理、日志与监控，能够和研发讨论模块边界、接口设计、状态管理、异常处理，而不是只停留在PRD层面；
3、熟悉Agent基本范式，理解Tool use、Context管理、Memory等关键环节，了解模型训练和评测基本概念（如SFT、RL、数据构造、离线评测、线上指标回流），对大模型、模型训练流程、Agent Harness、Tool调用链路有基本理解，知道模型能力边界和工程约束；
4、具备强协同能力，能同时拉通算法、工程、运营、生态合作方推进复杂项目，有开放平台、生态平台产品经验；
5、做过小程序、开放API、插件体系、任务编排、工具平台、智能体平台中的一类或多类产品；
6、有数据意识，能基于任务成功率、时延、召回率、用户完成率等指标持续优化。

加分项：
1、做过高频服务场景，有开放生态建设经验；
2、参与过智能体、Copilot、Tool调用、工作流编排或模型应用平台建设。

一句话总结：
这是一个“懂产品、懂平台、懂一点模型和工程”的复合型产品角色，适合能把业务需求抽象成平台能力，并能与算法、工程一起把Agent任务闭环真正跑通的人。"
"3","执行日2026-06-08；近3个月过滤+排除5年以上+豆包Top50初筛后人工复核","306","AI生态产品经理-SkillHub","SkillHub","北京","2026-04-10","https://jobs.bytedance.com/experienced/position/7627058918588500229/detail","SkillHub 强调把真实业务流程抽象成 skill、workflow、交付方式和商业闭环，你在合同审核、商机推送、运维智能体里已经做过“从业务流程到 AI 链路”的完整抽象，非常适合这个方向。","生态供给、收费模式和伙伴协同商业化经验还需要补。","1、负责SkillHub方向的产品规划与落地，围绕真实业务场景推动skills生态持续繁荣；
2、深度理解Agent的能力边界、工作方式、产品形态与演进方向，判断具备业务价值、生态价值与规模化潜力的skill类型；
3、深入不同行业与场景，梳理真实业务流程、角色分工与价值链，识别适合被Skill重构、替代或增强的环节；
4、与伙伴、客户及内部团队共同梳理Workflow，将模糊需求沉淀为可落地的端到端场景方案；
5、定义Skill的功能边界、业务流程嵌入方式、价值创造对象、工作模式（替代/新增量）、收费模式、交付方式及可持续业务形态，推动从能力演示走向完整闭环（含场景定义、交付方式、商业模式、产品化抽象和规模化复制），并与合作伙伴协同沉淀方法论、标准、案例和产品机制，提升SkillHub的供给效率与商业化效率。","1、具备较强的业务理解能力和场景抽象能力，能快速看懂一个行业、团队或岗位的真实运转方式；
2、对Agent使用和原理有深刻理解，不只是会使用工具，而是真正理解Agent如何工作、如何与人协作、如何进入业务流程并承担稳定角色；
3、能从业务结果出发思考问题，关注这项能力如何闭环、如何创造价值、如何定价收费、如何持续交付；
4、具备较强的端到端产品判断力，能把复杂、模糊、非结构化的问题转化为真实可落地的场景方案；
5、有较强的一线沟通和推动能力，能直接与伙伴老板、业务负责人、核心操作者对话，把复杂问题一步步拆清楚并推动落地；
6、有很强的学习能力与适应能力，面对陌生行业能够快速进入状态，完成场景理解与产品抽象；愿意亲自动手写代码或验证，不是停留在写方案和提需求，而是能进入场景、跑流程、拿结果。

加分项
1、有商业化产品、平台生态或咨询式产品化经验；
2、有从0到1跑通复杂业务场景并形成闭环的经历；
3、做过AI原生产品、Agent产品、工作流自动化产品或角色/分身类产品；
4、既能和技术团队讨论实现边界，也能和业务团队讨论ROI、交付方式和经营逻辑。"
"4","执行日2026-06-08；近3个月过滤+排除5年以上+豆包Top50初筛后人工复核","578","豆包AI大模型策略产品（Model Hub）-火山方舟MaaS","火山方舟MaaS","北京","2026-05-26","https://jobs.bytedance.com/experienced/position/7644178721017219381/detail","Model Hub 的 token 管理、模型路由、资源分级、权限、ROI 与成本治理，和你做过的模型分发、权限映射、失败切换、用量监控、统一接入层能力非常像，是平台治理能力的强对口岗位。","公司级资源经营和 MaaS 规模化治理经验仍需补充。","团队介绍：火山方舟是火山引擎推出的一站式大模型服务平台，是中国大模型市场产品和份额领跑者。平台提供模型推理、评测、精调等全流程服务。方舟搭载了豆包及业界主流大模型，提供丰富的插件生态和AI应用开发服务，并通过稳定可靠的安全互信方案、专业的算法技术服务，全方位保障企业级AI应用落地。

1、负责公司级模型资源经营相关能力建设，包括：Token管理与度量体系、模型路由与降级能力、资源分级与权限机制、ROI与成本分析能力、模型匹配、资源调度、缓存与利用率优化能力；
2、推动内部模型与外部模型统一视角建设，形成统一Token经营体系；
3、与模型、平台、业务、采购、风控、合规等团队协同，推动资源经营机制落地；
4、将资源治理、供给管理、模型切换等策略产品化、平台化；
5、建立AI产品场景下的经营分析和资源决策能力，而不仅是传统后台功能。","1、有较强的平台产品、策略产品或资源调度类产品经验；
2、能理解AI产品、模型调用、推理成本、token消耗等核心概念；
3、具备较强结构化思考能力，能抽象复杂业务问题；
4、能同时理解业务目标、技术约束和经营逻辑；
5、有跨团队推动复杂项目落地能力。

加分项
1、有MaaS、LLM Platform、广告、推荐、云资源、GPU调度等经验；
2、有资源经营、预算分配、成本治理、策略系统经验；
3、理解模型路由、缓存、Agent、多模型协同等方向；
4、对AI产品商业化、ROI分析有理解；
5、能从“公司级资源经营”而不是“功能开发”视角思考问题。"
"5","执行日2026-06-08；近3个月过滤+排除5年以上+豆包Top50初筛后人工复核","337","AI模型策略产品经理-飞书","飞书","北京","2026-03-23","https://jobs.bytedance.com/experienced/position/7620305191552370949/detail","飞书模型策略岗虽然更偏策略/评测，但它要的企业场景内容理解、效果评测、Agent 执行优化、数据驱动迭代，与你现有 AI 产品闭环和效果优化思路很一致，而且仍然是企业协作场景。","需要补更深的策略产品、评测体系和算法协同表述。","1、负责飞书企业场景下内容理解体系构建，优化数据的处理与提取能力，为LLM落地提供高质量、高可靠的数据供给，加速大模型在企业协作场景的规模化应用；
2、主导AI策略全流程优化，联动算法团队定位模型效果瓶颈，定义理想态并输出可落地的优化方案，持续提升各模块核心指标，并将优化成果沉淀到飞书Agent产品中，直接改善用户体验；
3、从复杂业务场景中提炼共性需求，完成策略定义与抽象，设计可复用的策略框架与能力组件，支撑多业务场景的高效扩展与快速迭代；
4、搭建完整的AI产品效果评测体系，制定专业评测集与量化评估标准，通过数据驱动定位模型能力缺陷，推动算法优化方向落地，对AI功能的最终效果与用户体验负责；
5、协同解决AI Agent任务执行中的核心策略问题，优化Agent任务准确性与执行效率，提升复杂场景下的人机协作体验。","1、本科及以上学历，计算机、软件工程等算法相关专业优先，或具备AI策略/评测/大模型产品经验者优先；
2、深度参与大模型相关产品落地，熟悉LLM技术路径与应用边界，对Agent、SFT/RL调优、评测驱动优化等方向有实践经验或深刻理解；
3、技术背景扎实，能与算法、研发团队深度协作，理解技术方案并转化为清晰的产品需求与迭代路径；
4、具备较强的逻辑分析与数据敏感度，自驱力与跨团队协同能力突出，对AI领域有持续学习热情与探索欲；
5、思维活跃、乐于接触新鲜事物，勇于跨界思考与创新尝试者优先。"
"6","执行日2026-06-08；近3个月过滤+排除5年以上+豆包Top50初筛后人工复核","452","AI基建中台产品经理-抖音生活服务","抖音生活服务","北京","2026-04-16","https://jobs.bytedance.com/experienced/position/7629295282924210485/detail","这个岗位几乎直接点名 AI 基础中台、模型选择、定制优化、Ops 工具和 Coding 能力，和你做集团 AI 中台以及产品工程补位的方式非常贴。属于“平台底座型”强匹配岗位。","生活服务行业知识不是现成优势，面试时要把行业差距和方法迁移讲清楚。","1、基于生活服务业务需要，提供AI基础中台能力，服务各场景业务方向，对生活服务场景的AI发展高度负责；
2、具体工作包括但不限于AI模型选择、定制优化、Ops工具、交互设计、前瞻性领域探索等。","1、对AI有深度运用，具备Vibe coding或者Coding能力，能独立负责一个AI基础建设方向；
2、具备探索精神，能协调资源推进AI独立项目；
3、有明确AI独立项目（已上线）、创业背景（可查询）者优先；
4、需线下面试或线上演示自身项目。"
"7","执行日2026-06-08；近3个月过滤+排除5年以上+豆包Top50初筛后人工复核","390","CRM产品经理（AI方向）-中国广告产品","中国广告产品","北京","2026-05-22","https://jobs.bytedance.com/experienced/position/7642570468751214901/detail","你做过商机推送、销售/业务线索筛选、CRM 相关 AI 场景，这个 CRM AI 岗又强调内部销售与运营工作流、服务效率提升和数据驱动闭环，和你的现有产出能直接形成映射。","广告销售业务域是新领域，需要补对客服务和广告业务链路理解。","1、负责面向内部销售与运营团队的CRM AI产品规划与建设，深入挖掘销售对客服务的全工作流痛点，打造智能化工作台；
2、围绕销售运营对客服务全流程，通过数据驱动闭环，将人工对客服务经验转为AI可落地的策略，持续提升人工服务效率和质量；
3、持续关注AI技术，对AI技术应用与产品落地有深刻的认知与见解，具备较好的AI产品效果评测与迭代能力，以数据驱动产品持续优化升级；
4、与研发和业务团队保持紧密协同，保障产品交付进度，解决落地过程中各类协同难题。","1、具备敏锐的业务洞察和理解能力，能够从复杂的业务需求抽象提炼，输出高质量的产品方案并推动落地；
2、对数据敏感，擅长从数据中挖掘机会点并进行策略制定和落地；
3、具备较强的跨团队沟通协调能力、快速学习能力，对AI前沿技术保持高度敏锐，乐于尝试新技术、新方法。"
"8","执行日2026-06-08；近3个月过滤+排除5年以上+豆包Top50初筛后人工复核","101","商业化系统AI产品经理-飞书","飞书","北京","2026-03-16","https://jobs.bytedance.com/experienced/position/7617825596307015941/detail","飞书商业化系统岗本质是 Leads to Cash 平台化抽象，和你做过的商机平台、CRM 场景、复杂系统拆解和 AI 工具融合能力很接近。你不仅能讲 AI，也能讲系统和流程产品。","商业化系统深度、英文工作能力和飞书内部经营链路需要提前补。","1、基于商业化目标和商业化团队的工作流程，结合AI完成飞书商业化系统的产品设计和规划工作；
2、围绕Leads to Cash链路抽象并沉淀用户友好、易扩展、高可用的平台产品能力，支持飞书商业化发展的诉求；
3、与飞书各业务线深度协作，对业务需求进行分析、引导和优化，结合平台能力形成可落地的产品方案；
4、协调研发、产品、设计、测试资源落地产品方案，与业务团队共同达成预期的业务目标；
5、为销售和市场营销团队提供商业化系统的使用培训和支持，协助销售和市场营销团队制定和执行销售和运营活动。","1、本科及以上学历，计算机或理工科背景，具有2年以上复杂系统或平台产品设计经验；可以熟练使用AI工具解决工作中实际遇到的问题，且过往有AI应用类产品的设计经验；
2、踏实、认真、有思考深度，优秀的逻辑思维和数理能力，具备复杂问题的解构能力，能够对问题抽丝剥茧并提供解决方法；良好的沟通能力，能够在项目中较好的与合作团队配合完成相关工作的落地；
3、对协同办公产品有一定了解，对SaaS商业化有认知；有过营销、增长或者计费、财经、金融、SaaS资产管理、CRM等跟商业化、交易系统相关的经验，对技术有较好的认知；
4、较好的英文语言能力，能用英文工作优先。"
"9","执行日2026-06-08；近3个月过滤+排除5年以上+豆包Top50初筛后人工复核","239","平台产品经理-IT","IT","北京","2026-05-20","https://jobs.bytedance.com/experienced/position/7641818950359468341/detail","IT 平台岗虽然 AI 味道没有飞书搜索那么重，但它更偏你能稳定讲清的 ToB 平台、复杂系统拆解和数据驱动迭代，和你现有的企业 AI 平台、多场景落地与跨团队推进经验更同构；相比搜索专项，它少了一层检索/召回/排序的硬门槛。","岗位不是纯 AI 产品方向，且字节 IT 平台场景与互联网内部工具体系仍需适配，面试里要把 AI 探索经验和平台化抽象能力主动讲出来。","1、负责IT平台产品设计迭代，功能规划、需求定义、开发、测试和上线的全流程；
2、深入客户场景，基于数据指标驱动平台迭代，形成产品方案和系统需求，协调资源推动落地；
3、面向前台产品及目标用户做产品推广，形成明确的路径与节奏规划，推动IT产品一体化。","1、本科及以上学历，2年以上产品经理工作经验；
2、逻辑清晰，善于分析事物本质，擅长系统性解决问题；
3、学习能力强，对To B产品有热情，能快速分析理解新业务；
4、富有创业激情，简单开放，具备良好的团队协作意识；
5、有AI应用探索经验优先，有数据平台/To B SaaS/PaaS产品经验优先。"
"10","执行日2026-06-08；近3个月过滤+排除5年以上+豆包Top50初筛后人工复核","482","AI Agent数据产品经理（开发套件方向）-Data","Data","上海","2026-05-07","https://jobs.bytedance.com/experienced/position/7636972915567167749/detail","Data 开发套件方向强调 Agent/Copilot、MCP、多 Agent、工具链和 0到1 平台建设，你在 Agent 编排、产品工程、跨场景落地上的能力能够支撑这个岗位。它对你来说更像“平台能力迁移”而不是完全跨界。","数据开发、ETL、调度、数据治理的垂域经验不足，是这类岗位最大的短板。","1、AI Agent产品规划：面向全公司所有产品线（抖音、今日头条、火山引擎等）的海量数据场景，规划并打造覆盖数据开发、数据运维、数据治理全链路的AI Agent产品体系，以智能化手段大幅提升数据生产力；
2、产品全流程负责：主导产品全生命周期管理（用户调研、需求评审、方案设计、项目管理、效果度量），与研发紧密协作，对产品最终结果负责；
3、生态建设与运营：建立用户反馈闭环，完善产品宣发与培训机制，推动AI Agent在各业务线规模化落地，持续扩大平台影响力。","1、3年以上数据平台产品或数据开发经验；
2、熟悉数据开发建设全链路，包括ETL开发与测试、元数据管理、数据质量、任务调度与运维等；
3、对AI/大模型技术有良好的理解力，熟悉Agentic AI、LLM、RAG、MCP、Multi-Agent等主流技术范式及其应用边界，能将AI能力转化为可落地的产品方案；
4、用户意识强，善于站在用户视角发现痛点，系统性思考能力突出，自驱力强，具备在模糊地带定义问题并推动落地的能力。

加分项
1、计算机相关专业或有研发背景、有数仓建设经验、有Agent/Skill开发和调优经验、有AI产品设计或落地经验者优先；
2、有AI Agent/Copilot类产品0→1经验，熟悉Agent编排框架或工具链、关注AI行业新标准者优先。"
