company,search_key,source_domain,job_id,title,business_line,department,project,category_name,category_type,batch_name,location,publish_date,publish_date_source,raw_publish_time,raw_modify_time,post_url,responsibility,requirement_text,experience_text,jd_text,circle_names,status,source_file
"千问","产品经理","https://talent.quark.cn","100007800007","千问事业部-夸克网盘生态（分享&快传方向）产品经理-北京","产品类-用户型","","","","","","北京","2026-06-01","publishTime","1780283702000","1780283701000","https://talent.quark.cn/off-campus/position-detail?positionId=100007800007&track_id=SSP1780969974577vAcvkbHRrC1624","1、围绕网盘用户数字资产，聚焦分享、转存、消费三大核心场景，推动数字资产跨端安全流转与价值释放，提升用户体验与生态拓展。
2、深度拆解 C 端用户在文件分享、转存及内容消费全链路的效率与体验痛点，以消费级产品标准极致打磨流程体验，提升用户操作效率、消费意愿与整体满意度。
3、主导需求挖掘、方案设计、技术落地、效果验证的全产品流程，通过数据驱动迭代优化；紧密协同算法、工程团队，保障分享、转存、消费核心功能的业务指标持续提升。","1、本科及以上学历，5年及以上互联网 C 端产品经理经验，具备工具类 或 策略类产品背景优先，对用户行为、交互细节、体验流畅度具备高度敏感度。
2、逻辑清晰，执行力强，擅长跨部门协调资源推动项目闭环；具备基础 AI 技术认知，可高效协同算法、工程团队推进项目落地。","[object Object]","岗位职责：
1、围绕网盘用户数字资产，聚焦分享、转存、消费三大核心场景，推动数字资产跨端安全流转与价值释放，提升用户体验与生态拓展。
2、深度拆解 C 端用户在文件分享、转存及内容消费全链路的效率与体验痛点，以消费级产品标准极致打磨流程体验，提升用户操作效率、消费意愿与整体满意度。
3、主导需求挖掘、方案设计、技术落地、效果验证的全产品流程，通过数据驱动迭代优化；紧密协同算法、工程团队，保障分享、转存、消费核心功能的业务指标持续提升。

任职要求：
1、本科及以上学历，5年及以上互联网 C 端产品经理经验，具备工具类 或 策略类产品背景优先，对用户行为、交互细节、体验流畅度具备高度敏感度。
2、逻辑清晰，执行力强，擅长跨部门协调资源推动项目闭环；具备基础 AI 技术认知，可高效协同算法、工程团队推进项目落地。","","","E:\CLX\project\interview-copilot-desktop\JD\阿里系\千问.txt"
"千问","产品经理","https://talent.quark.cn","100010180020","千问事业部-AIGC产品经理（超级汇川）-北京","产品类-商业型","","","","","","北京","2026-06-03","publishTime","1780474473000","1780474474000","https://talent.quark.cn/off-campus/position-detail?positionId=100010180020&track_id=SSP1780969974577KkIHWyNssx2761","1.负责广告素材AIGC相关产品的规划、设计、落地，包括文生图、图生视频、文生视频、脚本生成等产品方向；
2.根据市场及竞品发展动态、客户及合作伙伴需求，结合业务目标，制定相应的产品方案，并组织资源推动落地实施；
3.与运营、研发等团队紧密合作，确保产品方案完整、准确的实现，及时收集分析数据、调研客户反馈，持续进行迭代优化；
4.关注AI最新发展动态，学习探索各类新兴的AI模型及人工智能技术，并与业务场景相结合，不断寻求新的产品创新。","1.三年以上互联网产品经理工作经验，逻辑清晰，数理思维强，有AIGC相关产品经验者优先；
2.具备较强的需求分析和产品规划能力，熟悉各类AIGC模型能力，善于应用各类AI工具，能提出创新性、可行性的解决方案并落地实施；
3.优秀的沟通协调能力和项目管理能力，能快速响应和解决项目落地过程中的各种问题，主动担当，勇于创新，有较好的抗压能力；
4.对AI时代的发展动态有深入的理解，对AI前沿技术、大模型发展有敏感度和好奇心，善于学习和研究。","[object Object]","岗位职责：
1.负责广告素材AIGC相关产品的规划、设计、落地，包括文生图、图生视频、文生视频、脚本生成等产品方向；
2.根据市场及竞品发展动态、客户及合作伙伴需求，结合业务目标，制定相应的产品方案，并组织资源推动落地实施；
3.与运营、研发等团队紧密合作，确保产品方案完整、准确的实现，及时收集分析数据、调研客户反馈，持续进行迭代优化；
4.关注AI最新发展动态，学习探索各类新兴的AI模型及人工智能技术，并与业务场景相结合，不断寻求新的产品创新。

任职要求：
1.三年以上互联网产品经理工作经验，逻辑清晰，数理思维强，有AIGC相关产品经验者优先；
2.具备较强的需求分析和产品规划能力，熟悉各类AIGC模型能力，善于应用各类AI工具，能提出创新性、可行性的解决方案并落地实施；
3.优秀的沟通协调能力和项目管理能力，能快速响应和解决项目落地过程中的各种问题，主动担当，勇于创新，有较好的抗压能力；
4.对AI时代的发展动态有深入的理解，对AI前沿技术、大模型发展有敏感度和好奇心，善于学习和研究。","","","E:\CLX\project\interview-copilot-desktop\JD\阿里系\千问.txt"
"千问","产品经理","https://talent.quark.cn","100011100012","千问事业部-夸克-商业化产品经理-AI 浏览器","产品类-商业型","","","","","","北京","2026-06-01","publishTime","1780285792000","1780285792000","https://talent.quark.cn/off-campus/position-detail?positionId=100011100012&track_id=SSP1780969974577BvoDsWfNET5807","1.针对夸克浏览器进行付费场景做优化，挖掘新的付费动机，优化当前付费链路，提升付费用户规模和流水
2.基于用户分层设计差异化产品体验，平衡用户体验与商业目标
3. 负责增值会员、商业广告入等商业化模块的需求分析、原型设计及全周期落地，确保功能符合用户场景。
4. 通过A/B测试、漏斗分析、用户行为埋点等手段，挖掘付费转化瓶颈，持续优化定价策略、购买流程及权益触达效率。","1.本科及以上学历，4年以上商业化产品经理工作经验；
2.能把握用户心理，具备较强的数据分析能力可通过数据和反馈挖掘问题
3.逻辑性强，善于深度思考，能分析事物本质并从中提炼规律总结方法
4.自驱力强，有良好的沟通合作意识和团队协作能力","[object Object]","岗位职责：
1.针对夸克浏览器进行付费场景做优化，挖掘新的付费动机，优化当前付费链路，提升付费用户规模和流水
2.基于用户分层设计差异化产品体验，平衡用户体验与商业目标
3. 负责增值会员、商业广告入等商业化模块的需求分析、原型设计及全周期落地，确保功能符合用户场景。
4. 通过A/B测试、漏斗分析、用户行为埋点等手段，挖掘付费转化瓶颈，持续优化定价策略、购买流程及权益触达效率。

任职要求：
1.本科及以上学历，4年以上商业化产品经理工作经验；
2.能把握用户心理，具备较强的数据分析能力可通过数据和反馈挖掘问题
3.逻辑性强，善于深度思考，能分析事物本质并从中提炼规律总结方法
4.自驱力强，有良好的沟通合作意识和团队协作能力","","","E:\CLX\project\interview-copilot-desktop\JD\阿里系\千问.txt"
"千问","产品经理","https://talent.quark.cn","100010200013","千问事业部-千问 Agent产品经理-北京/杭州","产品类-用户型","","","","","","北京 / 杭州","2026-05-26","publishTime","1779764257000","1779764257000","https://talent.quark.cn/off-campus/position-detail?positionId=100010200013&track_id=SSP1780969974577zhaTesCKSA7556","1. 产品规划与战略
- AI Agent产品路线图设计，聚焦大模型场景的创新应用。
- 跟踪行业动态，分析竞品策略，输出差异化竞争方案。
2. 场景化产品设计：围绕用户核心需求定义场景解决方案，完成产品方案落地
3. 基于数据分析的用户体验优化","1、本科及以上学历，3年以上互联网行业产品工作经验，有大型agent项目成功案例者优先；
2、对AI领域的发展趋势和应用有一定的理解，具备敏锐的产品洞察力和商业敏感度；
3、拥有出色的沟通协调能力、优秀的逻辑思维能力、良好的数据分析能力，能独立完成跨职能、跨部门沟通协作；
4、责任心强，良好的执行力和抗压能力，自我驱动。","[object Object]","岗位职责：
1. 产品规划与战略
- AI Agent产品路线图设计，聚焦大模型场景的创新应用。
- 跟踪行业动态，分析竞品策略，输出差异化竞争方案。
2. 场景化产品设计：围绕用户核心需求定义场景解决方案，完成产品方案落地
3. 基于数据分析的用户体验优化

任职要求：
1、本科及以上学历，3年以上互联网行业产品工作经验，有大型agent项目成功案例者优先；
2、对AI领域的发展趋势和应用有一定的理解，具备敏锐的产品洞察力和商业敏感度；
3、拥有出色的沟通协调能力、优秀的逻辑思维能力、良好的数据分析能力，能独立完成跨职能、跨部门沟通协作；
4、责任心强，良好的执行力和抗压能力，自我驱动。","","","E:\CLX\project\interview-copilot-desktop\JD\阿里系\千问.txt"
"千问","产品经理","https://talent.quark.cn","100008920001","千问事业部-夸克搜索-内容策略产品经理-北京/杭州","产品类-用户型","","","","","","北京 / 杭州","2026-06-08","publishTime","1780880501000","1780880501000","https://talent.quark.cn/off-campus/position-detail?positionId=100008920001&track_id=SSP1780969974577HuqMbXVekX6339","1、洞察用户在搜索场景下的内容消费需求，规划并设计卓越的内容产品及策略
2、联合运营与算法等团队，推动内容生态在夸克的良性使用和健康发展
3、追踪和分析产品和业务指标，搭建完善的业务目标监控和分析机制
4、跨团队协作，统筹搜索产品内外协同的内容建设，保证各业务目标顺利完成","1、本科及以上学历，对搜索或内容领域有深刻兴趣
2、3年以上AI、搜索或内容产品经验
3、具备系统性思考与结构化问题解决能力，善于在多目标中平衡取舍，找到最优解
4、具备优秀的数据敏感度和商业洞察力，善于从数据中快速发现业务问题","[object Object]","岗位职责：
1、洞察用户在搜索场景下的内容消费需求，规划并设计卓越的内容产品及策略
2、联合运营与算法等团队，推动内容生态在夸克的良性使用和健康发展
3、追踪和分析产品和业务指标，搭建完善的业务目标监控和分析机制
4、跨团队协作，统筹搜索产品内外协同的内容建设，保证各业务目标顺利完成

任职要求：
1、本科及以上学历，对搜索或内容领域有深刻兴趣
2、3年以上AI、搜索或内容产品经验
3、具备系统性思考与结构化问题解决能力，善于在多目标中平衡取舍，找到最优解
4、具备优秀的数据敏感度和商业洞察力，善于从数据中快速发现业务问题","","","E:\CLX\project\interview-copilot-desktop\JD\阿里系\千问.txt"
"千问","产品经理","https://talent.quark.cn","100011400011","千问事业部-千问-AI工具产品经理-北京/广州","产品类-用户型","","","","","","北京 / 广州","2026-05-22","publishTime","1779418626000","1779418626000","https://talent.quark.cn/off-campus/position-detail?positionId=100011400011&track_id=SSP1780969974577evbWosKISQ8273","1、负责千问 AIPPT、AI文档阅读等AI工具产品的规划与定义，深入理解用户需求，输出高质量的产品策略和需求文档
2、协调项目团队和资源，与设计、研发团队、QA、运营等紧密协作，推动需求保质按时上线
3、持续跟进产品上线后消费数据，深入分析挖掘、提出产品改进方案和优化策略，推动产品迭代升级
4、持续关注AI大模型领域技术进展、市场趋势及行业动态，不断探索AI工具产品新形态","1、本科及以上学历，3年以上互联网产品经验，有AI大模型工具方向经验的优先
2、熟悉大模型AI基本原理与应用场景，对AI工具产品有深入的理解，能够准确把握产品发展方向
3、拥有良好的数据分析挖掘能力，熟练运用数据分析工具，能够通过数据发现和解决问题
4、具备良好的沟通协调与团队协作能力，能够有效地进行跨部门沟通合作，推动项目落地","[object Object]","岗位职责：
1、负责千问 AIPPT、AI文档阅读等AI工具产品的规划与定义，深入理解用户需求，输出高质量的产品策略和需求文档
2、协调项目团队和资源，与设计、研发团队、QA、运营等紧密协作，推动需求保质按时上线
3、持续跟进产品上线后消费数据，深入分析挖掘、提出产品改进方案和优化策略，推动产品迭代升级
4、持续关注AI大模型领域技术进展、市场趋势及行业动态，不断探索AI工具产品新形态

任职要求：
1、本科及以上学历，3年以上互联网产品经验，有AI大模型工具方向经验的优先
2、熟悉大模型AI基本原理与应用场景，对AI工具产品有深入的理解，能够准确把握产品发展方向
3、拥有良好的数据分析挖掘能力，熟练运用数据分析工具，能够通过数据发现和解决问题
4、具备良好的沟通协调与团队协作能力，能够有效地进行跨部门沟通合作，推动项目落地","","","E:\CLX\project\interview-copilot-desktop\JD\阿里系\千问.txt"
"千问","产品经理","https://talent.quark.cn","100013180014","千问事业部-多模态问答产品经理-VQA图片问答方向","产品类-用户型","","","","","","北京 / 杭州","2026-05-11","publishTime","1778468835000","1778468835000","https://talent.quark.cn/off-campus/position-detail?positionId=100013180014&track_id=SSP1780969974577FOdraiuark4792","1、基于对用户需求和大模型发展阶段的判断，探索多模态能力特别是VLM在千问的应用场景，包括不限于图片、视频等形态
2、基于多模态基座模型能力，制定算法迭代策略，设计合理的产品交互逻辑，为最终的用户体验负责
4、可独立完成市场跟踪、需求调研、产品设计，高质量完成项目落地,并通过效果分析，迭代推动目标的达成产品全生命周期
5、跨团队项目管理：协调并整合算法、设计、用增、市场等各方资源，确保产品顺畅推进和持续增长。","1、具备完整的大模型应用产品经验，或持续深度理解多模态大模型技术原理应用者优先。
2、具备敏锐的市场洞察力、逻辑分析能力，能够准确把握用户需求和市场方向，独立制定有效产品策略。
3、专业能力：熟练掌握用户调研、需求分析、产品设计、迭代优化、产品交付等技能，能独立撰写 PRD 全流程负责功能上线
4、学历要求：本科及以上","[object Object]","岗位职责：
1、基于对用户需求和大模型发展阶段的判断，探索多模态能力特别是VLM在千问的应用场景，包括不限于图片、视频等形态
2、基于多模态基座模型能力，制定算法迭代策略，设计合理的产品交互逻辑，为最终的用户体验负责
4、可独立完成市场跟踪、需求调研、产品设计，高质量完成项目落地,并通过效果分析，迭代推动目标的达成产品全生命周期
5、跨团队项目管理：协调并整合算法、设计、用增、市场等各方资源，确保产品顺畅推进和持续增长。

任职要求：
1、具备完整的大模型应用产品经验，或持续深度理解多模态大模型技术原理应用者优先。
2、具备敏锐的市场洞察力、逻辑分析能力，能够准确把握用户需求和市场方向，独立制定有效产品策略。
3、专业能力：熟练掌握用户调研、需求分析、产品设计、迭代优化、产品交付等技能，能独立撰写 PRD 全流程负责功能上线
4、学历要求：本科及以上","","","E:\CLX\project\interview-copilot-desktop\JD\阿里系\千问.txt"
"千问","产品经理","https://talent.quark.cn","100010200012","千问事业部-千问C端产品经理-北京/杭州","产品类-用户型","","","","","","北京 / 杭州","2026-05-20","publishTime","1779256302000","1779256302000","https://talent.quark.cn/off-campus/position-detail?positionId=100010200012&track_id=SSP1780969974577cBSmEAisBR3221","1、负责千问C端产品的整体体验设计与功能演进，围绕模型体验方向持续提升千问C端产品力。
2、紧密协同大模型算法、工程、设计、运营及市场团队，将Qwen系列大模型能力转化为用户可感知、可依赖的AI应用产品。
3、基于数据驱动与用户洞察，定义关键指标（如DAU、留存、使用深度等），通过产品创新与优化，推动用户规模实现指数级增长。
4、持续关注全球消费级AI产品趋势，探索下一代人机交互范式，为千问打造差异化竞争优势。","1、3年以上C端互联网产品经验，有成功主导过工具类或AI类产品从0到1或规模化增长的经验。
2、对大模型技术有深入理解，具备将前沿AI能力产品化的能力，能与技术团队高效沟通。
3、强烈的用户同理心、敏锐的产品直觉，具备优秀的产品品味，对产品体验有极致追求。
4、出色的跨团队协作能力、项目推动力和结果导向思维。
5、具备优秀的英语书面与口头表达能力者优先。","[object Object]","岗位职责：
1、负责千问C端产品的整体体验设计与功能演进，围绕模型体验方向持续提升千问C端产品力。
2、紧密协同大模型算法、工程、设计、运营及市场团队，将Qwen系列大模型能力转化为用户可感知、可依赖的AI应用产品。
3、基于数据驱动与用户洞察，定义关键指标（如DAU、留存、使用深度等），通过产品创新与优化，推动用户规模实现指数级增长。
4、持续关注全球消费级AI产品趋势，探索下一代人机交互范式，为千问打造差异化竞争优势。

任职要求：
1、3年以上C端互联网产品经验，有成功主导过工具类或AI类产品从0到1或规模化增长的经验。
2、对大模型技术有深入理解，具备将前沿AI能力产品化的能力，能与技术团队高效沟通。
3、强烈的用户同理心、敏锐的产品直觉，具备优秀的产品品味，对产品体验有极致追求。
4、出色的跨团队协作能力、项目推动力和结果导向思维。
5、具备优秀的英语书面与口头表达能力者优先。","","","E:\CLX\project\interview-copilot-desktop\JD\阿里系\千问.txt"
"千问","产品经理","https://talent.quark.cn","100010300008","千问事业部-千问策略产品经理-北京/杭州","产品类-用户型","","","","","","北京 / 杭州","2026-05-26","publishTime","1779764776000","1779764777000","https://talent.quark.cn/off-campus/position-detail?positionId=100010300008&track_id=SSP1780969974577UVCkOiBUwU4346","1、负责千问AI助手的主模型策略迭代。结合大模型能力演进与用户核心需求，制定清晰的产品发展路线图与策略方案，对端到端效果负责；
2、深入挖掘用户在业务核心场景中的痛点，结合 LLM、Memory 与 Agent 能力，持续优化用户体验；
3、对 AI 助手长期演进方向有稳定认知与判断，持续追踪行业动态与竞争对手产品策略，结合自身产品定位输出有竞争力的产品方案；
4、主导跨团队协作，联动算法、UED、研发、测试等多团队，主导产品设计、方案落地到效果评估的完整闭环，通过数据分析与用户反馈推动持续迭代。","1、3年以上互联网产品经验，熟悉产品全流程，能够独立推动复杂业务场景下的产品规划与实施落地，具备 AI产品相关设计经验者优先；
2、对大模型、智能体（Agent）、多模态交互等前沿AI技术有一定理解与应用经验，能够结合趋势探索用户体验的新边界；
3、对用户体验有敏锐的洞察力，能够从用户需求出发，设计出具有良好用户体验的产品功能和界面；
4、较强的ownership能力和拿结果能力，跨团队协同能力强，能够在快速变化的AI技术环境中高效推进产品落地。","[object Object]","岗位职责：
1、负责千问AI助手的主模型策略迭代。结合大模型能力演进与用户核心需求，制定清晰的产品发展路线图与策略方案，对端到端效果负责；
2、深入挖掘用户在业务核心场景中的痛点，结合 LLM、Memory 与 Agent 能力，持续优化用户体验；
3、对 AI 助手长期演进方向有稳定认知与判断，持续追踪行业动态与竞争对手产品策略，结合自身产品定位输出有竞争力的产品方案；
4、主导跨团队协作，联动算法、UED、研发、测试等多团队，主导产品设计、方案落地到效果评估的完整闭环，通过数据分析与用户反馈推动持续迭代。

任职要求：
1、3年以上互联网产品经验，熟悉产品全流程，能够独立推动复杂业务场景下的产品规划与实施落地，具备 AI产品相关设计经验者优先；
2、对大模型、智能体（Agent）、多模态交互等前沿AI技术有一定理解与应用经验，能够结合趋势探索用户体验的新边界；
3、对用户体验有敏锐的洞察力，能够从用户需求出发，设计出具有良好用户体验的产品功能和界面；
4、较强的ownership能力和拿结果能力，跨团队协同能力强，能够在快速变化的AI技术环境中高效推进产品落地。","","","E:\CLX\project\interview-copilot-desktop\JD\阿里系\千问.txt"
"千问","产品经理","https://talent.quark.cn","7000046515","千问事业部-全屋智能C端产品经理-杭州","产品类-用户型","","","","","","杭州","2026-04-22","publishTime","1776826059000","1776826059000","https://talent.quark.cn/off-campus/position-detail?positionId=7000046515&track_id=SSP1780969974577YJhxkaDEeN9943","1，负责天猫精灵全屋智能C端软件产品的规划与产品定义；
2，深度调研与分析全屋智能行业趋势、竞争格局及用户需求，结合用户生活场景挖掘核心价值；
3，定义全屋智能的核心场景与体验标准，推动产品从功能到体验的升级；
4，持续跟进用户反馈与数据表现，建立产品迭代机制，不断优化产品结构与功能设计，提升用户满意度与使用频次；
5，探索AI大模型、IoT、边缘计算等技术在全屋智能中的应用可能，推动产品智能化、个性化、场景化能力的持续演进。","1，本科及以上学历，5年以上相关领域产品经验，有全屋智能、家庭中控类产品经验者优先；
2，具备敏锐的用户洞察力与场景理解能力，能够从用户视角出发，提炼高价值场景并转化为产品方案；
3，具备优秀的行业分析与产品规划能力，能独立完成产品需求文档（PRD）、原型设计及项目推进；
4，熟悉智能设备通信方式及IoT平台架构，对软硬件协同有一定理解；
5，具备良好的沟通协调能力与抗压能力，能在复杂多变的项目环境中推动产品高效落地；
6，有AI产品经验或对大模型应用有理解者优先考虑，如语音交互、意图识别、智能应用等方向。","[object Object]","岗位职责：
1，负责天猫精灵全屋智能C端软件产品的规划与产品定义；
2，深度调研与分析全屋智能行业趋势、竞争格局及用户需求，结合用户生活场景挖掘核心价值；
3，定义全屋智能的核心场景与体验标准，推动产品从功能到体验的升级；
4，持续跟进用户反馈与数据表现，建立产品迭代机制，不断优化产品结构与功能设计，提升用户满意度与使用频次；
5，探索AI大模型、IoT、边缘计算等技术在全屋智能中的应用可能，推动产品智能化、个性化、场景化能力的持续演进。

任职要求：
1，本科及以上学历，5年以上相关领域产品经验，有全屋智能、家庭中控类产品经验者优先；
2，具备敏锐的用户洞察力与场景理解能力，能够从用户视角出发，提炼高价值场景并转化为产品方案；
3，具备优秀的行业分析与产品规划能力，能独立完成产品需求文档（PRD）、原型设计及项目推进；
4，熟悉智能设备通信方式及IoT平台架构，对软硬件协同有一定理解；
5，具备良好的沟通协调能力与抗压能力，能在复杂多变的项目环境中推动产品高效落地；
6，有AI产品经验或对大模型应用有理解者优先考虑，如语音交互、意图识别、智能应用等方向。","","","E:\CLX\project\interview-copilot-desktop\JD\阿里系\千问.txt"
