company,source_schema,title,business_line,location,publish_date,post_url,responsibility,requirement_text,experience_text,jd_text
美团,meituan_detail_20260609,LongCat - 大模型数据运营,核心本地商业-基础研发平台,北京市、成都市,2026-05-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=3285026405&highlightType=social,围绕不同场景智能体应用，拆解多轮、规划、插件调用等核心能力，建立评测和标注体系；主导标注人员管理与数据构建；设计自动化数据合成及清洗方案；监测智能体效果并输出系统化分析报告。,本科及以上，计算机/人工智能相关背景；1年以上大模型标注/评测经验，接触过agent或智能系统应用；强调细节和端到端效果，具备良好沟通协作能力。优先：智能体数据建设、大规模数据合成和清洗经验。,1年,"岗位职责：
围绕不同场景智能体应用，拆解多轮、规划、插件调用等核心能力，建立评测和标注体系；主导标注人员管理与数据构建；设计自动化数据合成及清洗方案；监测智能体效果并输出系统化分析报告。

任职要求：
本科及以上，计算机/人工智能相关背景；1年以上大模型标注/评测经验，接触过agent或智能系统应用；强调细节和端到端效果，具备良好沟通协作能力。优先：智能体数据建设、大规模数据合成和清洗经验。"
美团,meituan_detail_20260609,LongCat - Codesign AI 架构师,核心本地商业-基础研发平台,北京市、上海市,2026-05-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4254863736&highlightType=social,参与基座大模型项目，围绕训练与推理做架构优化探索，包括高效Attention、MoE、预后训练调优、投机推理、模型轻量化、Agentic优化策略和应用，产出创新性算法工程成果并在业务场景落地。,计算机及相关专业，硕博优先；熟悉主流深度学习与大规模训推框架，在大模型训练和推理优化方面有经验；熟悉主流大模型架构；有顶会论文或架构优化相关论文优先；具备良好团队合作与沟通能力。,不限,"岗位职责：
参与基座大模型项目，围绕训练与推理做架构优化探索，包括高效Attention、MoE、预后训练调优、投机推理、模型轻量化、Agentic优化策略和应用，产出创新性算法工程成果并在业务场景落地。

任职要求：
计算机及相关专业，硕博优先；熟悉主流深度学习与大规模训推框架，在大模型训练和推理优化方面有经验；熟悉主流大模型架构；有顶会论文或架构优化相关论文优先；具备良好团队合作与沟通能力。"
美团,meituan_detail_20260609,LongCat - Pretrain Infra AI 工程师,核心本地商业-基础研发平台,北京市,2026-05-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=1466951634&highlightType=social,参与超大规模AI大模型训练平台建设；负责LLM Alignment工程方案支持与优化，协同业务和算法效果迭代；跟进RAG、MemGPT、MetaGPT、WebGPT等前沿算法与架构。,熟悉分布式训练原理与Megatron/Zero/FSDP等范式；熟悉LLM推理优化和量化原理；了解强化学习基础及其在LLM的应用；熟悉Python/C++/CUDA；熟悉GPT/VIT等模型结构，有实际优化经验更佳。,3年,"岗位职责：
参与超大规模AI大模型训练平台建设；负责LLM Alignment工程方案支持与优化，协同业务和算法效果迭代；跟进RAG、MemGPT、MetaGPT、WebGPT等前沿算法与架构。

任职要求：
熟悉分布式训练原理与Megatron/Zero/FSDP等范式；熟悉LLM推理优化和量化原理；了解强化学习基础及其在LLM的应用；熟悉Python/C++/CUDA；熟悉GPT/VIT等模型结构，有实际优化经验更佳。"
美团,meituan_detail_20260609,LongCat - 异构算力 AI 工程师,核心本地商业-基础研发平台,北京市、上海市,2026-05-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4285596871&highlightType=social,围绕大模型异构算力集群做训练和推理场景的算力评估、适配和维护，覆盖分布式优化框架、PyTorch、kernel算子、集合通信和Benchmark评测等工作。,有扎实计算机基础，熟练掌握C++或Python；具备问题分析与解决能力；对LLM和多模态模型有基本算法理解；有训练或推理场景实践。优先：PyTorch分布式、NCCL、CUDA、GPU/NPU经验。,1年,"岗位职责：
围绕大模型异构算力集群做训练和推理场景的算力评估、适配和维护，覆盖分布式优化框架、PyTorch、kernel算子、集合通信和Benchmark评测等工作。

任职要求：
有扎实计算机基础，熟练掌握C++或Python；具备问题分析与解决能力；对LLM和多模态模型有基本算法理解；有训练或推理场景实践。优先：PyTorch分布式、NCCL、CUDA、GPU/NPU经验。"
美团,meituan_detail_20260609,LongCat - 大模型数据策略运营,核心本地商业-基础研发平台,北京市、上海市、成都市,2026-06-01,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4476108218&highlightType=social,针对大模型Coding场景，拆解代码生成、补全等核心能力，建立标注和评测体系；主导代码标注资源管理与数据构建；设计自动化数据合成及清洗方案；监测模型效果并持续优化数据方案。,本科及以上，计算机/软件工程/人工智能相关背景；具备扎实编程基础，熟练Python并掌握Java/C++/JavaScript之一；1年以上大模型数据运营经验。优先：代码类数据生产经验、开发工程师经验。,2年,"岗位职责：
针对大模型Coding场景，拆解代码生成、补全等核心能力，建立标注和评测体系；主导代码标注资源管理与数据构建；设计自动化数据合成及清洗方案；监测模型效果并持续优化数据方案。

任职要求：
本科及以上，计算机/软件工程/人工智能相关背景；具备扎实编程基础，熟练Python并掌握Java/C++/JavaScript之一；1年以上大模型数据运营经验。优先：代码类数据生产经验、开发工程师经验。"
美团,meituan_detail_20260609,LongCat - 高性能算子 AI 工程师,核心本地商业-基础研发平台,北京市、上海市,2026-05-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=2978735823&highlightType=social,参与超大规模AI大模型训练和推理平台建设，研发高性能训推算子模块，提升平台MFU/MBU；协同框架算法设计训推方案，并调研业界前沿技术。,扎实计算机理论基础；熟练CUDA和GPU架构，或具备国产AI设备编程经验；熟悉高性能kernel开发、FlashAttention等；熟悉大模型训练推理架构和性能优化实践。,2年,"岗位职责：
参与超大规模AI大模型训练和推理平台建设，研发高性能训推算子模块，提升平台MFU/MBU；协同框架算法设计训推方案，并调研业界前沿技术。

任职要求：
扎实计算机理论基础；熟练CUDA和GPU架构，或具备国产AI设备编程经验；熟悉高性能kernel开发、FlashAttention等；熟悉大模型训练推理架构和性能优化实践。"
美团,meituan_detail_20260609,LongCat - Agentic RL AI 工程师,核心本地商业-基础研发平台,北京市、上海市,2026-05-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=2431837310&highlightType=social,参与超大规模多模态大模型训练Infra建设；负责多模态基座模型训练框架架构迭代、稳定性、易用性、可运维与可观测能力建设；负责数万卡和数万亿参数规模训练性能优化。,扎实计算机理论基础，熟练掌握C++或Python；熟悉CUDA/NPU、RDMA优先；深入了解PyTorch/TensorFlow引擎及深度定制；熟悉Megatron-LM、DeepSpeed、多维并行和多模态模型结构。,不限,"岗位职责：
参与超大规模多模态大模型训练Infra建设；负责多模态基座模型训练框架架构迭代、稳定性、易用性、可运维与可观测能力建设；负责数万卡和数万亿参数规模训练性能优化。

任职要求：
扎实计算机理论基础，熟练掌握C++或Python；熟悉CUDA/NPU、RDMA优先；深入了解PyTorch/TensorFlow引擎及深度定制；熟悉Megatron-LM、DeepSpeed、多维并行和多模态模型结构。"
美团,meituan_detail_20260609,LongCat - 后训练算法研究员,核心本地商业-基础研发平台,北京市、上海市,2026-05-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4487581555&highlightType=social,深度参与LongCat模型基础能力优化，包括指令遵循、幻觉、推理、智能体等；探索大规模RL和多目标RL训练方案；探索Long Horizon场景的大模型优化方案，包括数据合成、上下文管理和长上下文RL。,深入理解大模型开发流程，熟悉预训练、指令微调和RL流程与框架；具备扎实算法和数学基础及良好编程基础，熟悉自然语言处理、生成式AI和机器学习；目标感强，善于分析和推动上下游协作。,不限,"岗位职责：
深度参与LongCat模型基础能力优化，包括指令遵循、幻觉、推理、智能体等；探索大规模RL和多目标RL训练方案；探索Long Horizon场景的大模型优化方案，包括数据合成、上下文管理和长上下文RL。

任职要求：
深入理解大模型开发流程，熟悉预训练、指令微调和RL流程与框架；具备扎实算法和数学基础及良好编程基础，熟悉自然语言处理、生成式AI和机器学习；目标感强，善于分析和推动上下游协作。"
美团,meituan_detail_20260609,LongCat - 通用 agent 算法研究员,核心本地商业-基础研发平台,北京市、上海市,2026-05-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4302139093&highlightType=social,通过Large Scale RL训练模型在真实全模态环境中稳定使用Tools、Skills和Subagents；探索高信息密度memory的构建、维护和复用；提升长程任务拆解与多agent并行执行能力；探索多模态推理与环境交互范式。,本科及以上，计算机、人工智能、自动化、数学、物理等相关专业；在强化学习、大模型训练、Agent等领域有深入研究与实践；具备好奇心驱动、自主探索和协作能力。,不限,"岗位职责：
通过Large Scale RL训练模型在真实全模态环境中稳定使用Tools、Skills和Subagents；探索高信息密度memory的构建、维护和复用；提升长程任务拆解与多agent并行执行能力；探索多模态推理与环境交互范式。

任职要求：
本科及以上，计算机、人工智能、自动化、数学、物理等相关专业；在强化学习、大模型训练、Agent等领域有深入研究与实践；具备好奇心驱动、自主探索和协作能力。"
美团,meituan_detail_20260609,LongCat - Search Agent 算法研究员,核心本地商业-基础研发平台,北京市、上海市,2026-05-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=3750031159&highlightType=social,深度参与LongCat基模Agent能力优化，围绕DeepSearch、DeepResearch等Search Agent能力以及生活服务真实世界复杂任务上的Agentic能力做创新研究；探索大模型+Agent+搜索的新技术和产品范式。,硕士及以上，计算机科学、人工智能、自然语言处理等相关领域优先；熟悉PyTorch/TensorFlow等框架，具备极强AI Coding能力；具备丰富模型训练调优经验；顶会论文或竞赛获奖优先。,3年,"岗位职责：
深度参与LongCat基模Agent能力优化，围绕DeepSearch、DeepResearch等Search Agent能力以及生活服务真实世界复杂任务上的Agentic能力做创新研究；探索大模型+Agent+搜索的新技术和产品范式。

任职要求：
硕士及以上，计算机科学、人工智能、自然语言处理等相关领域优先；熟悉PyTorch/TensorFlow等框架，具备极强AI Coding能力；具备丰富模型训练调优经验；顶会论文或竞赛获奖优先。"
