company,source_schema,source_row_index,title,business_line,location,publish_date,post_url,experience_text,responsibility,requirement_text,jd_text
美团,meituan_manual_20260609,1,LongCat大模型 - Agent 评测产品经理（欢迎算法/工程转型）,核心本地商业-基础研发平台,北京市、上海市,2026-05-29,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4301295312&highlightType=social,3年,"1. Agent能力评测体系设计：围绕 OpenClaw、Claude Code 等主流 Agent 框架，设计并落地适配长程任务场景的评测体系，确保 Agent 在真实约束下的交付稳定性与可度量性。
2. 评测流程与资源建设：设计 Coding、数据分析等核心生产力场景的端到端评测流程，搭建自动化评测数据生产与自动化 Rubrics 生成的标准化 pipeline；同时建设具备强技术背景的专家标注资源池，确保 Case 评审、效果判定等关键环节的专业度与一致性。
3. 数据闭环与模型策略驱动：将评测数据转化为模型迭代的策略输入，建立“评测→归因→策略建议→效果验证”的数据驱动闭环，推动 Agent 能力持续提升形成飞轮。
4. 前沿框架跟踪与评测策略适配：持续跟踪 OpenClaw、Claude Code 及行业前沿 Agent 框架的能力演进与架构变化，及时调整评测策略与度量标准。","1. 本科及以上学历，1年以上大模型评测或智能体应用落地相关经验。
2. 追求评测方案的科学性与细节完备性，并对新范式保持高敏感，关注 Claude Code / OpenClaw 等 Agent 工具链演进，并能转化为相应评测策略。
3. 对评测、观测、数据闭环有直觉，具备基于数据的归因分析能力。
4. 具有良好的沟通能力、评测资源搭建与管理能力、跨团队合作精神以及较强的问题解决能力。
优先：计算机相关专业或技术背景；理解大模型/Agent 基本工作机制；在工作中能熟练使用 AI 提效。","岗位职责：
1. Agent能力评测体系设计：围绕 OpenClaw、Claude Code 等主流 Agent 框架，设计并落地适配长程任务场景的评测体系，确保 Agent 在真实约束下的交付稳定性与可度量性。
2. 评测流程与资源建设：设计 Coding、数据分析等核心生产力场景的端到端评测流程，搭建自动化评测数据生产与自动化 Rubrics 生成的标准化 pipeline；同时建设具备强技术背景的专家标注资源池，确保 Case 评审、效果判定等关键环节的专业度与一致性。
3. 数据闭环与模型策略驱动：将评测数据转化为模型迭代的策略输入，建立“评测→归因→策略建议→效果验证”的数据驱动闭环，推动 Agent 能力持续提升形成飞轮。
4. 前沿框架跟踪与评测策略适配：持续跟踪 OpenClaw、Claude Code 及行业前沿 Agent 框架的能力演进与架构变化，及时调整评测策略与度量标准。

任职要求：
1. 本科及以上学历，1年以上大模型评测或智能体应用落地相关经验。
2. 追求评测方案的科学性与细节完备性，并对新范式保持高敏感，关注 Claude Code / OpenClaw 等 Agent 工具链演进，并能转化为相应评测策略。
3. 对评测、观测、数据闭环有直觉，具备基于数据的归因分析能力。
4. 具有良好的沟通能力、评测资源搭建与管理能力、跨团队合作精神以及较强的问题解决能力。
优先：计算机相关专业或技术背景；理解大模型/Agent 基本工作机制；在工作中能熟练使用 AI 提效。"
美团,meituan_manual_20260609,2,LongCat大模型 - 大模型评测平台产品经理,核心本地商业-基础研发平台,北京市、上海市,2026-05-29,https://zhaopin.meituan.com/web/position/detail?jobUnionId=3506281745&highlightType=social,3年,"1. 平台功能设计与优化：基于用户需求，主导评测平台核心功能迭代，包括基座训练过程追踪、评测集数据管理、评测实验自动化、多维度报表系统、动态评测榜单等。
2. 评测方案科学化迭代：跟进大模型能力迭代路径，提升评测的科学性、全面性与置信度，建立指标稳定性监控体系，确保评测流程可追溯、结果可复现。
3. 评测全链路提效：协同算法/工程团队，优化评测数据建设、评测实验及评测结果追踪流程，提升实验人效。","1. 强产品思维与用户洞察力，能精准拆解需求并转化为高可用功能，精通数据分析，具备通过指标波动、实验失败率等定位系统瓶颈的能力。
2. 熟悉大模型评测关键技术栈，了解主流评测框架的设计逻辑与局限性。
3. 出色的跨团队协调能力，具备敏捷项目管理经验，确保关键节点交付。
优先：有大模型评测/实验平台产品设计经验；具备一定开发基础；深入理解大模型技术栈，或有大模型应用落地成功案例。","岗位职责：
1. 平台功能设计与优化：基于用户需求，主导评测平台核心功能迭代，包括基座训练过程追踪、评测集数据管理、评测实验自动化、多维度报表系统、动态评测榜单等。
2. 评测方案科学化迭代：跟进大模型能力迭代路径，提升评测的科学性、全面性与置信度，建立指标稳定性监控体系，确保评测流程可追溯、结果可复现。
3. 评测全链路提效：协同算法/工程团队，优化评测数据建设、评测实验及评测结果追踪流程，提升实验人效。

任职要求：
1. 强产品思维与用户洞察力，能精准拆解需求并转化为高可用功能，精通数据分析，具备通过指标波动、实验失败率等定位系统瓶颈的能力。
2. 熟悉大模型评测关键技术栈，了解主流评测框架的设计逻辑与局限性。
3. 出色的跨团队协调能力，具备敏捷项目管理经验，确保关键节点交付。
优先：有大模型评测/实验平台产品设计经验；具备一定开发基础；深入理解大模型技术栈，或有大模型应用落地成功案例。"
美团,meituan_manual_20260609,3,产品经理,核心本地商业-美团平台,北京市,2026-04-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4131315764&highlightType=social,3年,"1. 负责Push承接页面的设计与迭代，保证推送内容和承接页面的匹配。
2. 联动商业化引入全业务线供给，搭建供需匹配链路，提升访购率。
3. 设计转化相关玩法，合理利用权益，提升访购率。
4. 联动算法优化人群-承接匹配策略，提升访购率与商业化收入。
5. 数据驱动迭代，沉淀产品SOP与高优策略。
6. 结合AI/大模型能力探索产品智能化方向，推动AI辅助决策或智能交互在产品中的落地应用。","1. 三年以上互联网产品经验，有本地生活/商业化增长经验者优先。
2. 理解用户分层，具备转化类产品设计能力。
3. 优秀跨部门协同能力，数据敏感度高，善于从数据中发现用户核心诉求。
4. 具备AI产品思维，能结合大模型/AI Agent等能力进行产品设计与体验优化，有AI工具辅助需求分析或用户研究经验优先。","岗位职责：
1. 负责Push承接页面的设计与迭代，保证推送内容和承接页面的匹配。
2. 联动商业化引入全业务线供给，搭建供需匹配链路，提升访购率。
3. 设计转化相关玩法，合理利用权益，提升访购率。
4. 联动算法优化人群-承接匹配策略，提升访购率与商业化收入。
5. 数据驱动迭代，沉淀产品SOP与高优策略。
6. 结合AI/大模型能力探索产品智能化方向，推动AI辅助决策或智能交互在产品中的落地应用。

任职要求：
1. 三年以上互联网产品经验，有本地生活/商业化增长经验者优先。
2. 理解用户分层，具备转化类产品设计能力。
3. 优秀跨部门协同能力，数据敏感度高，善于从数据中发现用户核心诉求。
4. 具备AI产品思维，能结合大模型/AI Agent等能力进行产品设计与体验优化，有AI工具辅助需求分析或用户研究经验优先。"
美团,meituan_manual_20260609,4,AI产品经理（NoCode&CatPaw系列产品）,核心本地商业-基础研发平台,北京市,2026-06-09,https://zhaopin.meituan.com/web/social?token=c6ab1e83799a47d8b74143c2e0713657&keyword=%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86,,AI时代每个岗位都在被重新定义，我们在为NoCode&CatPaw系列产品寻找产品经理，在公司的划分中属于产品经理序列，但除了传统的产品经理岗位职责外，还希望你对AI产品充满热情，有很好的动手能力，借助AI工具可以出设计稿、写PRD、开发线上功能、测试、写运营策划案等。,,"岗位职责：
AI时代每个岗位都在被重新定义，我们在为NoCode&CatPaw系列产品寻找产品经理，在公司的划分中属于产品经理序列，但除了传统的产品经理岗位职责外，还希望你对AI产品充满热情，有很好的动手能力，借助AI工具可以出设计稿、写PRD、开发线上功能、测试、写运营策划案等。"
美团,meituan_manual_20260609,5,Agent产品经理,核心本地商业-基础研发平台,北京市,2026-04-20,https://zhaopin.meituan.com/web/social?token=c6ab1e83799a47d8b74143c2e0713657&keyword=%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86,,"1. 负责Agent产品的规划、设计、开发和优化工作，确保产品的持续优化和改进。
2. 负责制定Agent产品的发展战略和路线图，确保产品在市场上的竞争力。",,"岗位职责：
1. 负责Agent产品的规划、设计、开发和优化工作，确保产品的持续优化和改进。
2. 负责制定Agent产品的发展战略和路线图，确保产品在市场上的竞争力。"
美团,meituan_manual_20260609,6,AI高阶产品经理,软硬件服务-餐饮SaaS事业部,北京市、上海市,2026-04-22,https://zhaopin.meituan.com/web/social?token=c6ab1e83799a47d8b74143c2e0713657&keyword=%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86,,"1. 负责AI方向产品从需求定义到商业化落地的全链路推进。
2. AI能力与业务场景深度融合：深入商家真实经营场景，识别高价值的AI落地机会，推动大模型、工具调用、多步骤任务执行等Agent核心能力在业务场景中的落地与验证；深入连锁餐饮客户，挖掘AI能切实替代或升级的核心业务场景。",,"岗位职责：
1. 负责AI方向产品从需求定义到商业化落地的全链路推进。
2. AI能力与业务场景深度融合：深入商家真实经营场景，识别高价值的AI落地机会，推动大模型、工具调用、多步骤任务执行等Agent核心能力在业务场景中的落地与验证；深入连锁餐饮客户，挖掘AI能切实替代或升级的核心业务场景。"
美团,meituan_manual_20260609,7,AI产品经理（AI Builder方向）,核心本地商业-美团平台,北京市,2026-05-19,https://zhaopin.meituan.com/web/social?token=c6ab1e83799a47d8b74143c2e0713657&keyword=%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86,,岗位定位：我们在寻找AI Builder。不是传统产品经理的转型，而是原生于AI时代的产品构建者。你将从0到1定义和落地AI驱动的产品能力，用AI重新定义内容营销、广告投放、用户增长等核心场景。,,"岗位职责：
岗位定位：我们在寻找AI Builder。不是传统产品经理的转型，而是原生于AI时代的产品构建者。你将从0到1定义和落地AI驱动的产品能力，用AI重新定义内容营销、广告投放、用户增长等核心场景。"
美团,meituan_manual_20260609,8,线下场景产品经理,核心本地商业-美团平台,北京市,2026-03-23,https://zhaopin.meituan.com/web/social?token=c6ab1e83799a47d8b74143c2e0713657&keyword=%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86,,"1. 结合现有NFC硬件、终端、软件能力，挖掘并推动垂直场景下行业产品接入，为场景全面性负责。
2. 与线下场景、线上场景结合，设计垂直行业产品链路（如餐饮、酒旅、乐生活等），包含但不限于B端商家、销售系统、C端展示。",,"岗位职责：
1. 结合现有NFC硬件、终端、软件能力，挖掘并推动垂直场景下行业产品接入，为场景全面性负责。
2. 与线下场景、线上场景结合，设计垂直行业产品链路（如餐饮、酒旅、乐生活等），包含但不限于B端商家、销售系统、C端展示。"
美团,meituan_manual_20260609,9,商家生态产品经理,核心本地商业-美团平台,北京市、上海市,2026-03-19,https://zhaopin.meituan.com/web/social?token=c6ab1e83799a47d8b74143c2e0713657&keyword=%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86,,1. 产品规划与设计：深入研究美团用户及商家的热点使用场景，协同商家安全便捷地录入热点信息。,,"岗位职责：
1. 产品规划与设计：深入研究美团用户及商家的热点使用场景，协同商家安全便捷地录入热点信息。"
美团,meituan_manual_20260609,10,中台产品经理,核心本地商业-美团平台,北京市,2026-03-23,https://zhaopin.meituan.com/web/social?token=c6ab1e83799a47d8b74143c2e0713657&keyword=%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86,,"1. 负责在线娱乐中台产品的规划、设计和优化，与各业务方高效合作、设计并优化中台能力、高效支持业务需求并推动业务发展。
2. 负责在线娱乐中台产品的需求分析和产品功能设计，与技术团队密切合作，推动产品的迭代和上线。
3. 同时站在业务视角和中台视角，不断抽象中台产品能力，提高业务方使用中台的效率，同时主动发现机会创造业务价值。
4. 结合AI/大模型能力探索产品智能化方向，推动AI辅助决策或智能交互在产品中的落地应用。",,"岗位职责：
1. 负责在线娱乐中台产品的规划、设计和优化，与各业务方高效合作、设计并优化中台能力、高效支持业务需求并推动业务发展。
2. 负责在线娱乐中台产品的需求分析和产品功能设计，与技术团队密切合作，推动产品的迭代和上线。
3. 同时站在业务视角和中台视角，不断抽象中台产品能力，提高业务方使用中台的效率，同时主动发现机会创造业务价值。
4. 结合AI/大模型能力探索产品智能化方向，推动AI辅助决策或智能交互在产品中的落地应用。"
