"Rank","MatchScore","MatchReason","Attention","RecruitPostName","ProductName","BGName","LocationName","LastUpdateTime","PostURL","Responsibility","RequireWorkYearsName","MatchRuleNote"
"1","185","AI、大模型、Agent 方向与简历主线高度重合；企业 AI 平台、权限治理和协作产品经验可直接迁移；文档、知识、工作流和效率场景与既有项目经验接近；0到1 方案设计、架构规划和跨团队推进要求匹配","","腾讯会议-AI产品经理-企业应用方向","腾讯会议","CSIG","深圳","2026年03月25日","http://careers.tencent.com/jobdesc.html?postId=2036620119203020800","1.负责腾讯会议内 AI 在企业场景相关的产品策划工作；
2.结合AI技术，搭建腾讯会议企业管理体系、身份体系，使Agent在企业内便捷、安全的使用；
3.与腾讯内部SaaS产品线合作，整合面向AI的开放能力，形成拓展性强、高可用的开放体系；
4.持续分析竞品动态及行业趋势，了解企业客户需求，定义产品差异化能力，规划产品功能迭代。","两年以上工作经验","已忽略工作年限，仅按简历能力与岗位内容匹配度排序"
"2","180","AI、大模型、Agent 方向与简历主线高度重合；企业 AI 平台、权限治理和协作产品经验可直接迁移；文档、知识、工作流和效率场景与既有项目经验接近；0到1 方案设计、架构规划和跨团队推进要求匹配","","产品经理（人-Agent 协作编辑器方向）","腾讯文档","CSIG","深圳","2026年06月02日","http://careers.tencent.com/jobdesc.html?postId=2061646301208162304","1.负责下一代 AI 协作编辑器的产品规划与从 0 到 1 设计，主导产品定位、路线图与关键版本落地；
2.定义""人-Agent 协作范式""：设计 Agent 在AI协作工具中的唤起、接管、回退与信任机制，让 AI 成为协作工具的原生参与者而非侧边栏附属；
3.与工程团队深度协作，理解富文本、协同、渲染管线与插件架构的工程约束，共同打磨编辑体验、性能与稳定性；
4.主导大模型在编辑场景的应用：Agent 能力拆解、工作流设计、Prompt 与 Function Call 编排、评测集建设与效果调优，对产品智能化效果负责；
5.面向个人与企业场景开展用户研究与市场洞察，识别高价值落地机会，结合核心指标与用户反馈驱动产品持续迭代。","一年以上工作经验","已忽略工作年限，仅按简历能力与岗位内容匹配度排序"
"3","165","AI、大模型、Agent 方向与简历主线高度重合；文档、知识、工作流和效率场景与既有项目经验接近；0到1 方案设计、架构规划和跨团队推进要求匹配；数据评估、效果闭环和平台监控能力可以复用","","腾讯会议-产品经理-AI策略方向","腾讯会议","CSIG","深圳","2026年05月15日","http://careers.tencent.com/jobdesc.html?postId=1942177600126451712","1.负责腾讯会议AI Agent能力的建设，支持会议AI场景，提升用户体验；
2.结合AI技术的发展趋势，探索AI技术在会议场景下的创新应用并提出可落地的产品方案；
3.基于目标和场景定义评估标准，协同评测团队分析效果并推动解决问题，提升效果。","两年以上工作经验","已忽略工作年限，仅按简历能力与岗位内容匹配度排序"
"4","157","AI、大模型、Agent 方向与简历主线高度重合；企业 AI 平台、权限治理和协作产品经验可直接迁移；文档、知识、工作流和效率场景与既有项目经验接近；0到1 方案设计、架构规划和跨团队推进要求匹配","偏增长或商业化运营，与简历主线不完全一致","企业微信-产品经理-AI智能机器人","企业微信SaaS","WXG","广州","2026年06月03日","http://careers.tencent.com/jobdesc.html?postId=1985253844522782720","1. 负责企业微信AI智能机器人相关产品策划工作，具体包括但不限于功能的策略制定、功能设计及推动上线；
2. 主要负责企业场景下的智能体搭建服务，包括企业应用服务、数据与AI的结合，提供产品解决方案；
3. 持续了解企业AI应用场景，与更多生态伙伴合作，帮助用户解决问题并为企业微信带来增长。","三年以上工作经验","已忽略工作年限，仅按简历能力与岗位内容匹配度排序"
"5","151","AI、大模型、Agent 方向与简历主线高度重合；企业 AI 平台、权限治理和协作产品经验可直接迁移；文档、知识、工作流和效率场景与既有项目经验接近；0到1 方案设计、架构规划和跨团队推进要求匹配","","智能审核平台产品经理","星航内容管线","PCG","北京","2026年05月15日","http://careers.tencent.com/jobdesc.html?postId=2052322555175550976","1.负责智能审核平台产品体系建设，参与机审、人审、管理一个或多个方向的产品规划与落地，推动内容审核从向AI 驱动型演进；
2.深入理解审核全链路（事前机审拦截→事中人审研判→事后质检培训），完成需求分析、产品设计及项目推进；
3.探索大模型、多模态模型及 Agent 技术在审核场景的落地应用，包括智能策略编排、辅助审核决策、自动化质检等；
4.建立数据驱动的迭代机制，定义核心指标体系（准确率、召回率、人效比、降量率等），通过数据归因持续优化效果；
5.与算法、工程、运营协同，推动跨 BG 的平台化能力输出与复用。","三年以上工作经验","已忽略工作年限，仅按简历能力与岗位内容匹配度排序"
"6","146","AI、大模型、Agent 方向与简历主线高度重合；文档、知识、工作流和效率场景与既有项目经验接近；0到1 方案设计、架构规划和跨团队推进要求匹配；企业协作和知识工作场景最贴近简历中的 AI 平台与工作流经验","","腾讯会议-AI产品经理-AI应用体验方向","腾讯会议","CSIG","深圳","2026年05月29日","http://careers.tencent.com/jobdesc.html?postId=2045074510201389056","1.负责AI技术在腾讯会议各场景的框架规划与功能落地，挖掘用户对AI的真实诉求，优化用户体验；
2.结合AI技术的发展趋势和能力，深入探索AI技术在会议场景下的创新应用，提升产品竞争力；
3.协同算法、研发、运营和设计等多团队，确保产品规划的落地实施与持续优化。","两年以上工作经验","已忽略工作年限，仅按简历能力与岗位内容匹配度排序"
"7","144","AI、大模型、Agent 方向与简历主线高度重合；企业 AI 平台、权限治理和协作产品经验可直接迁移；文档、知识、工作流和效率场景与既有项目经验接近；0到1 方案设计、架构规划和跨团队推进要求匹配","","腾讯会议-评测产品经理","腾讯会议","CSIG","深圳","2026年04月07日","http://careers.tencent.com/jobdesc.html?postId=2041409199149314048","1.评测体系规划与建设：负责 ASR与大模型产品的评测体系设计与搭建，覆盖通用能力及专项能力（如语音识别准确率、口语化理解、多轮对话、推理、写作、多模态等）；结合产品目标定义评测维度、指标体系与流程机制，推动评测能力标准化、产品化与可持续迭代；
2.Benchmark研究与业务化落地：跟踪国内外ASR、大模型相关评测方法、行业 Benchmark 与产品趋势，分析其适用场景与优缺点；结合业务需求和真实用户场景，设计或改造评测集与任务，推动通用 Benchmark 向业务评测方案落地，确保评测结果具备真实性、代表性与可复现性；
3.产品效果分析与优化策略制定：定期组织不同版本模型或策略方案的评测与横向对比，输出系统化分析报告，识别产品体验中的优势、短板与关键问题；围绕识别质量、响应质量、稳定性、时延、可控性、用户满意度等维度，设计专项分析框架，支持产品迭代决策与优先级判断；
4.用户反馈分析与体验闭环建设：持续监测用户真实使用数据、交互日志与反馈内容，挖掘 badcase、共性问题及高价值优化方向；联合算法、研发、运营等团队，将用户侧体验问题沉淀为可量化评测项、验收标准与优化方案，建立“用户反馈—评测验证—版本迭代”的闭环机制；
5.跨团队协同与产品推进：与算法、数据、工程、测试等团队紧密协作，推动评测需求定义、数据建设、工具搭建和结果应用；将评测能力嵌入模型研发与产品迭代流程，推动形成从需求定义、评测验证到效果复盘的完整产品机制，提升模型效果与用户体验的持续优化效率。","两年以上工作经验","已忽略工作年限，仅按简历能力与岗位内容匹配度排序"
"8","141","AI、大模型、Agent 方向与简历主线高度重合；企业 AI 平台、权限治理和协作产品经验可直接迁移；0到1 方案设计、架构规划和跨团队推进要求匹配；企业协作和知识工作场景最贴近简历中的 AI 平台与工作流经验","","企业微信-产品经理-AI方向","企业微信SaaS","WXG","广州","2026年06月08日","http://careers.tencent.com/jobdesc.html?postId=1880770535693004800","1.负责企业微信内的基础模块和AI功能的相关产品策划工作，具体包括但不限于基础功能的策略制定、功能设计及推动上线；
2.主要负责的功能模块是企业微信AI相关功能、主框架、基础IM体验、基础管理体验等；
3.持续了解企业通讯工具、协同工具、企业微信与AI结合的需求和体验提升。","一年以上工作经验","已忽略工作年限，仅按简历能力与岗位内容匹配度排序"
"9","136","AI、大模型、Agent 方向与简历主线高度重合；企业 AI 平台、权限治理和协作产品经验可直接迁移；文档、知识、工作流和效率场景与既有项目经验接近；0到1 方案设计、架构规划和跨团队推进要求匹配","","产品经理 — WorkBuddy（ Agent对话/知识空间方向）","腾讯文档","CSIG","深圳","2026年06月02日","http://careers.tencent.com/jobdesc.html?postId=2061646303464697856","1.负责 WorkBuddy 会话的渲染模块，提升对话的可读性、可互动性；
2.设计 WorkBuddy 会话中的组件能力，提升 agent 的表达力上限；
3.基于会话组件，建设完善生态。","五年以上工作经验","已忽略工作年限，仅按简历能力与岗位内容匹配度排序"
"10","132","AI、大模型、Agent 方向与简历主线高度重合；企业 AI 平台、权限治理和协作产品经验可直接迁移；文档、知识、工作流和效率场景与既有项目经验接近；0到1 方案设计、架构规划和跨团队推进要求匹配","","智能体-策略产品经理-CodeBuddy/WorkBuddy","腾讯云-Codebuddy-C端专用","CSIG","深圳","2026年06月05日","http://careers.tencent.com/jobdesc.html?postId=1949322738699182080","1.负责构建Coding Agent评估体系，建立多行业测试用例库，通过CI/CD报告及埋点数据持续监控效果；
2.主导Prompt工程优化工作，开发垂直领域动态Prompt模板，迭代提示词策略，降低幻觉率并提升需求解析精度；
3.进行工具链集成与效能提升，设计工具智能调度规则，提升工具执行成功率和效果；
4.设计分层记忆管理机制，构建短期记忆与长期记忆，提升智能体应答效果，降低调用成本；
5.优化多智能体协同流程，提升 Plan/Design/Coding Agent 的协作效率；
6.备注：base地可选深圳/北京/上海。","五年以上工作经验","已忽略工作年限，仅按简历能力与岗位内容匹配度排序"
