rank,code,title,publish_date,location,total_score,verdict,manual_bucket,manual_note,reason,post_url
1,PR023937,Agent智能服务产品经理,2026-05-17,上海,74,partial,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人有丰富Agent/AI产品0-1经验，但过往为央国企ToB场景，需迁移到电商消费/商家服务场景。,https://careers.pddglobalhr.com/jobs/detail?code=PR023937
2,PR013536,产品经理-企业信息化平台,2026-04-01,上海,68,partial,????,???AI/??/Agent?????????????????C?/??/??/?????????????,有企业内部信息化落地、跨部门推进经验，但缺乏OA/ERP等场景经验，AI能力匹配度一般。,https://careers.pddglobalhr.com/jobs/detail?code=PR013536
3,PR021574,智能客服产品经理,2026-06-03,上海,68,partial,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人有AI产品0-1及Agent落地经验，但缺乏电商、智能客服相关场景沉淀，需适配C端业务逻辑。,https://careers.pddglobalhr.com/jobs/detail?code=PR021574
4,PR021337,商家端产品经理,2026-03-17,上海,58,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人有B端产品落地经验，但缺乏电商商家端场景沉淀，AI能力与岗位匹配度低，迁移成本较高。,https://careers.pddglobalhr.com/jobs/detail?code=PR021337
5,PR020870,合规产品经理,2026-05-11,上海,58,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人有AI产品落地及跨部门推进经验，但缺乏电商合规领域相关经验，业务匹配度低。,https://careers.pddglobalhr.com/jobs/detail?code=PR020870
6,PR023594,平台服务B端产品经理,2026-06-05,上海,57,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人无客服领域沉淀，仅通用AI产品、中台、0-1能力可复用，匹配度较低。,https://careers.pddglobalhr.com/jobs/detail?code=PR023594
7,PR016472,策略中台高级产品经理,2026-05-27,上海,56,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人有AI中台和智能体落地经验，但缺乏电商客服场景沉淀，行业迁移成本较高。,https://careers.pddglobalhr.com/jobs/detail?code=PR016472
8,PR023782,Agent策略产品经理,2026-05-17,上海,54,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人有AI Agent产品能力，但缺乏电商、商品治理相关业务经验，领域迁移成本高。,https://careers.pddglobalhr.com/jobs/detail?code=PR023782
9,PR022880,产品经理（规则策略）,2026-05-21,上海,54,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人有AI审核/规则设计经验，但缺乏电商风控、平台规则相关背景，领域迁移成本较高。,https://careers.pddglobalhr.com/jobs/detail?code=PR022880
10,PR023849,商家入驻产品经理,2026-05-18,上海,52,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人擅长企业AI产品落地，无电商商家入驻相关经验，业务匹配度低，领域迁移成本较高。,https://careers.pddglobalhr.com/jobs/detail?code=PR023849
11,PR020283,客服产品经理,2026-06-03,上海,52,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人擅长企业级AI产品经验丰富，但岗位是电商客服C端场景，业务匹配度低，领域迁移成本较高。,https://careers.pddglobalhr.com/jobs/detail?code=PR020283
12,PR023246,产品经理（数据产品方向）,2026-05-11,上海,51,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人是AI产品背景，岗位为电商数据产品，业务场景差异大，缺乏互联网商品相关经验，匹配度低。,https://careers.pddglobalhr.com/jobs/detail?code=PR023246
13,PR022017,C端电商AI产品经理,2026-05-28,上海,47,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人过往为ToB企业AI产品经验，无C端电商相关沉淀，业务场景匹配度低，迁移成本高。,https://careers.pddglobalhr.com/jobs/detail?code=PR022017
14,PR023702,商品内容产品经理,2026-03-14,上海,43,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人是AI产品方向，无电商商品领域相关经验，岗位为纯电商商品内容中后台，匹配度低。,https://careers.pddglobalhr.com/jobs/detail?code=PR023702
15,PR023703,商家入驻产品经理,2026-03-14,上海,42,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人经验集中于企业AI产品，与电商商家入驻场景不匹配，无相关行业及岗位经验，适配成本高。,https://careers.pddglobalhr.com/jobs/detail?code=PR023703
